Conc1	3.33E-08	
Start1	240	
Stop1	599.8	
Kobs	2.14939956600862E-49	
Error Kobs	3.2807550327554E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.00110242	0	
240.2	0.0009117	0.00004156	
240.4	0.00098644	0.00008312	
240.6	0.0010688	0.00012468	
240.8	0.00129874	0.00016623	
241	0.00153385	0.00020778	
241.2	0.00173212	0.00024933	
241.4	0.00204169	0.00029088	
241.6	0.00229689	0.00033243	
241.8	0.00223377	0.00037398	
242	0.0021386	0.00041552	
242.2	0.00236076	0.00045706	
242.4	0.0017146	0.0004986	
242.6	0.00168103	0.00054014	
242.8	0.00102874	0.00058167	
243	0.00077257	0.00062321	
243.2	0.00097628	0.00066474	
243.4	0.00079696	0.00070627	
243.6	-0.00001266	0.0007478	
243.8	0.00006834	0.00078932	
244	0.00007	0.00083085	
244.2	-0.00072723	0.00087237	
244.4	-0.00069201	0.00091389	
244.6	-0.00101734	0.00095541	
244.8	-0.00088531	0.00099693	
245	-0.00127831	0.00103844	
245.2	-0.00121861	0.00107995	
245.4	-0.00118248	0.00112146	
245.6	-0.00107517	0.00116297	
245.8	-0.00139339	0.00120448	
246	-0.00126675	0.00124598	
246.2	-0.00111635	0.00128749	
246.4	-0.00151482	0.00132899	
246.6	-0.0016101	0.00137049	
246.8	-0.0020051	0.00141199	
247	-0.00191168	0.00145348	
247.2	-0.00143118	0.00149498	
247.4	-0.00156876	0.00153647	
247.6	-0.0018048	0.00157796	
247.8	-0.0020527	0.00161945	
248	-0.00236599	0.00166093	
248.2	-0.00252754	0.00170242	
248.4	-0.00192768	0.0017439	
248.6	-0.00235386	0.00178538	
248.8	-0.00218527	0.00182686	
249	-0.00238745	0.00186833	
249.2	-0.00245195	0.00190981	
249.4	-0.00255641	0.00195128	
249.6	-0.00271152	0.00199275	
249.8	-0.00297615	0.00203422	
250	-0.00243348	0.00207569	
250.2	-0.00281617	0.00211715	
250.4	-0.00316374	0.00215862	
250.6	-0.00437396	0.00220008	
250.8	-0.0052815	0.00224154	
251	-0.00565239	0.00228299	
251.2	-0.00547166	0.00232445	
251.4	-0.0058948	0.0023659	
251.6	-0.0057426	0.00240735	
251.8	-0.00551629	0.0024488	
252	-0.00478338	0.00249025	
252.2	-0.00378098	0.0025317	
252.4	-0.00304518	0.00257314	
252.6	-0.00340126	0.00261458	
252.8	-0.00273204	0.00265603	
253	-0.00221763	0.00269746	
253.2	-0.00234054	0.0027389	
253.4	-0.00189514	0.00278033	
253.6	-0.00209905	0.00282177	
253.8	-0.00180154	0.0028632	
254	-0.00142684	0.00290463	
254.2	-0.00198456	0.00294605	
254.4	-0.00235354	0.00298748	
254.6	-0.00318867	0.0030289	
254.8	-0.00321633	0.00307032	
255	-0.00290734	0.00311174	
255.2	-0.00302922	0.00315316	
255.4	-0.00321041	0.00319458	
255.6	-0.00295925	0.00323599	
255.8	-0.00329858	0.0032774	
256	-0.00330995	0.00331881	
256.2	-0.00403102	0.00336022	
256.4	-0.00456878	0.00340163	
256.6	-0.00528723	0.00344303	
256.8	-0.00535088	0.00348443	
257	-0.0055421	0.00352583	
257.2	-0.00602615	0.00356723	
257.4	-0.00539958	0.00360863	
257.6	-0.00553551	0.00365002	
257.8	-0.00526103	0.00369141	
258	-0.0048374	0.00373281	
258.2	-0.00412636	0.00377419	
258.4	-0.00305417	0.00381558	
258.6	-0.00202565	0.00385697	
258.8	-0.00131799	0.00389835	
259	-0.00105559	0.00393973	
259.2	-0.00097042	0.00398111	
259.4	-0.00053692	0.00402249	
259.6	-0.00073053	0.00406386	
259.8	-0.00106295	0.00410524	
260	-0.00155074	0.00414661	
260.2	-0.00237001	0.00418798	
260.4	-0.0025661	0.00422935	
260.6	-0.00292548	0.00427071	
260.8	-0.0033189	0.00431208	
261	-0.00367203	0.00435344	
261.2	-0.00387429	0.0043948	
261.4	-0.00386055	0.00443616	
261.6	-0.00416343	0.00447751	
261.8	-0.00460603	0.00451887	
262	-0.00431223	0.00456022	
262.2	-0.00382603	0.00460157	
262.4	-0.00333569	0.00464292	
262.6	-0.00329641	0.00468427	
262.8	-0.00380439	0.00472561	
263	-0.00396121	0.00476696	
263.2	-0.00365677	0.0048083	
263.4	-0.00339816	0.00484964	
263.6	-0.00326701	0.00489098	
263.8	-0.00315241	0.00493231	
264	-0.00310947	0.00497364	
264.2	-0.00283805	0.00501498	
264.4	-0.00223353	0.00505631	
264.6	-0.00229327	0.00509763	
264.8	-0.00214966	0.00513896	
265	-0.00194658	0.00518029	
265.2	-0.0018129	0.00522161	
265.4	-0.00224897	0.00526293	
265.6	-0.0020344	0.00530425	
265.8	-0.00224113	0.00534556	
266	-0.0019892	0.00538688	
266.2	-0.00161907	0.00542819	
266.4	-0.00200772	0.0054695	
266.6	-0.00203553	0.00551081	
266.8	-0.00226936	0.00555212	
267	-0.00176866	0.00559342	
267.2	-0.00146991	0.00563473	
267.4	-0.00116515	0.00567603	
267.6	-0.00081787	0.00571733	
267.8	-0.00095765	0.00575863	
268	-0.00082655	0.00579992	
268.2	-0.00068007	0.00584122	
268.4	-0.00050042	0.00588251	
268.6	-0.00078817	0.0059238	
268.8	-0.00063837	0.00596509	
269	-0.00092887	0.00600637	
269.2	-0.00142314	0.00604766	
269.4	-0.00212968	0.00608894	
269.6	-0.00202594	0.00613022	
269.8	-0.0020028	0.0061715	
270	-0.00198668	0.00621277	
270.2	-0.00190623	0.00625405	
270.4	-0.00219069	0.00629532	
270.6	-0.00179756	0.00633659	
270.8	-0.0017337	0.00637786	
271	-0.00161851	0.00641913	
271.2	-0.00140079	0.0064604	
271.4	-0.00139618	0.00650166	
271.6	-0.000906	0.00654292	
271.8	-0.00134089	0.00658418	
272	-0.00118384	0.00662544	
272.2	-0.00104968	0.00666669	
272.4	-0.00092297	0.00670795	
272.6	-0.00108641	0.0067492	
