Conc1	8.85E-09	
Start1	300	
Stop1	539.8	
Kobs	0.00131974590883393	
Error Kobs	8.00259665468593E-06	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	-0.00100477	0	
300.2	0.0001064	0.00099347	
300.4	0.00143782	0.00198623	
300.6	0.00282288	0.00297827	
300.8	0.00447663	0.0039696	
301	0.00579396	0.00496022	
301.2	0.00772412	0.00595013	
301.4	0.00919376	0.00693933	
301.6	0.01051925	0.00792782	
301.8	0.01173204	0.0089156	
302	0.01348859	0.00990267	
302.2	0.01446399	0.01088903	
302.4	0.01566689	0.01187468	
302.6	0.01624644	0.01285962	
302.8	0.01715157	0.01384386	
303	0.01763903	0.01482739	
303.2	0.01889208	0.01581021	
303.4	0.01942595	0.01679233	
303.6	0.02039385	0.01777374	
303.8	0.02152877	0.01875445	
304	0.02218874	0.01973445	
304.2	0.02308321	0.02071375	
304.4	0.02411376	0.02169235	
304.6	0.02497881	0.02267024	
304.8	0.02620124	0.02364744	
305	0.02713392	0.02462393	
305.2	0.02901277	0.02559972	
305.4	0.02993543	0.0265748	
305.6	0.03161192	0.02754919	
305.8	0.03281898	0.02852288	
306	0.0344045	0.02949587	
306.2	0.03524997	0.03046816	
306.4	0.03598988	0.03143975	
306.6	0.03679251	0.03241065	
306.8	0.03798247	0.03338085	
307	0.03873375	0.03435035	
307.2	0.03995522	0.03531915	
307.4	0.04059458	0.03628726	
307.6	0.04176249	0.03725467	
307.8	0.04181033	0.03822139	
308	0.04232338	0.03918742	
308.2	0.04297335	0.04015275	
308.4	0.04383832	0.04111739	
308.6	0.04476422	0.04208133	
308.8	0.04593009	0.04304459	
309	0.04649995	0.04400715	
309.2	0.04779783	0.04496902	
309.4	0.04870184	0.0459302	
309.6	0.04984668	0.04689069	
309.8	0.05037309	0.04785049	
310	0.05134618	0.0488096	
310.2	0.0524467	0.04976802	
310.4	0.05386464	0.05072576	
310.6	0.05521176	0.0516828	
310.8	0.0564907	0.05263916	
311	0.0578881	0.05359483	
311.2	0.05908267	0.05454982	
311.4	0.05987975	0.05550412	
311.6	0.061064	0.05645774	
311.8	0.06167049	0.05741067	
312	0.06292025	0.05836291	
312.2	0.06387689	0.05931447	
312.4	0.06511496	0.06026535	
312.6	0.06596263	0.06121555	
312.8	0.06688842	0.06216506	
313	0.06746608	0.0631139	
313.2	0.06878856	0.06406205	
313.4	0.06945327	0.06500952	
313.6	0.07010964	0.06595631	
313.8	0.0705316	0.06690242	
314	0.07160979	0.06784785	
314.2	0.07246454	0.0687926	
314.4	0.07357489	0.06973667	
314.6	0.07399988	0.07068007	
314.8	0.07488046	0.07162278	
315	0.07559582	0.07256482	
315.2	0.07600266	0.07350619	
315.4	0.07664792	0.07444688	
315.6	0.07742144	0.07538689	
315.8	0.0778309	0.07632623	
316	0.07928065	0.07726489	
316.2	0.08074193	0.07820288	
316.4	0.08209601	0.0791402	
316.6	0.08320579	0.08007684	
316.8	0.08465174	0.08101281	
317	0.08545738	0.08194811	
317.2	0.08644239	0.08288274	
317.4	0.08706612	0.08381669	
317.6	0.08799699	0.08474998	
