Conc1	3E-07	
Start1	240.01	
Stop1	479.8	
Kobs	0.0123789802839292	
Error Kobs	9.06658121455852E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240.01	0.02444947	0	
240.21	0.02913397	0.0107905	
240.41	0.03466581	0.02150531	
240.61	0.04114067	0.03214496	
240.81	0.04862035	0.04270998	
241.01	0.05710436	0.05320089	
241.21	0.0663122	0.06361821	
241.41	0.07614255	0.07396246	
241.61	0.08634999	0.08423415	
241.81	0.09681262	0.09443379	
242.01	0.10698071	0.10456189	
242.21	0.11660237	0.11461894	
242.41	0.1262853	0.12460545	
242.61	0.13567265	0.13452191	
242.81	0.14518456	0.14436881	
243.01	0.15432057	0.15414664	
243.21	0.1637968	0.16385588	
243.41	0.17294762	0.17349702	
243.61	0.18222511	0.18307052	
243.81	0.19130672	0.19257688	
244.01	0.19970351	0.20201656	
244.21	0.20819603	0.21139002	
244.41	0.21676772	0.22069773	
244.61	0.225403	0.22994015	
244.81	0.23392385	0.23911774	
245.01	0.24312003	0.24823095	
245.21	0.25172843	0.25728024	
245.41	0.26012052	0.26626606	
245.61	0.26862964	0.27518884	
245.81	0.27737961	0.28404904	
246.01	0.28553683	0.29284709	
246.21	0.29401556	0.30158342	
246.41	0.30265136	0.31025847	
246.61	0.3110851	0.31887267	
246.81	0.31949263	0.32742645	
247.01	0.32743393	0.33592022	
247.21	0.33560331	0.34435442	
247.41	0.34403341	0.35272946	
247.61	0.3523176	0.36104575	
247.81	0.35986249	0.3693037	
248.01	0.36716582	0.37750373	
248.21	0.37508381	0.38564624	
248.41	0.38296502	0.39373164	
248.61	0.39042261	0.40176032	
248.81	0.39778688	0.40973268	
249.01	0.40558701	0.41764912	
249.21	0.41269902	0.42551004	
249.41	0.42005859	0.43331581	
249.61	0.42816793	0.44106683	
249.81	0.43587648	0.44876348	
250.01	0.44294122	0.45640614	
250.21	0.45028458	0.46399519	
250.41	0.45764101	0.47153101	
250.61	0.46489847	0.47901397	
250.81	0.47199818	0.48644444	
251.01	0.47912575	0.49382279	
251.21	0.48641333	0.50114939	
251.41	0.49376303	0.50842459	
251.61	0.50062071	0.51564876	
251.81	0.5072438	0.52282226	
252.01	0.51380481	0.52994544	
252.21	0.52058509	0.53701865	
252.41	0.5273859	0.54404225	
252.61	0.53410791	0.55101658	
252.81	0.54055575	0.55794199	
253.01	0.54728757	0.56481882	
253.21	0.55434319	0.57164742	
253.41	0.5613623	0.57842812	
253.61	0.56855588	0.58516125	
253.81	0.57526053	0.59184715	
254.01	0.58151958	0.59848616	
254.21	0.58796584	0.6050786	
254.41	0.59467184	0.61162479	
254.61	0.60112487	0.61812507	
254.81	0.60756067	0.62457975	
255.01	0.61408967	0.63098915	
255.21	0.62023606	0.6373536	
255.41	0.62652551	0.6436734	
255.61	0.63268247	0.64994887	
255.81	0.63906003	0.65618033	
256.01	0.6452796	0.66236807	
256.21	0.65154729	0.66851241	
256.41	0.6578311	0.67461365	
256.61	0.66374227	0.68067209	
256.81	0.66946839	0.68668804	
257.01	0.67570058	0.69266179	
257.21	0.68223902	0.69859363	
257.41	0.68823908	0.70448387	
257.61	0.69441612	0.71033279	
257.81	0.69997886	0.71614068	
258.01	0.70548033	0.72190783	
258.21	0.71124913	0.72763453	
258.41	0.7167392	0.73332106	
258.61	0.72270086	0.7389677	
258.81	0.72839512	0.74457474	
259.01	0.73391004	0.75014244	
259.21	0.73954292	0.75567109	
259.41	0.74535846	0.76116096	
259.61	0.75092919	0.76661232	
259.81	0.75680106	0.77202544	
260.01	0.7626373	0.77740059	
