Conc1	3.33E-08	
Start1	240	
Stop1	479.8	
Kobs	0.00876706432728739	
Error Kobs	0.000105182779450335	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.00195516	0	
240.2	0.00288769	0.00204179	
240.4	0.00414816	0.00407683	
240.6	0.00556205	0.00610516	
240.8	0.00727015	0.00812679	
241	0.00919092	0.01014176	
241.2	0.01106192	0.01215007	
241.4	0.01305377	0.01415175	
241.6	0.01545068	0.01614682	
241.8	0.01772896	0.01813531	
242	0.02004055	0.02011723	
242.2	0.02212906	0.02209262	
242.4	0.02420413	0.02406148	
242.6	0.0261239	0.02602384	
242.8	0.02803351	0.02797973	
243	0.0302322	0.02992916	
243.2	0.03209765	0.03187216	
243.4	0.03365397	0.03380874	
243.6	0.03555732	0.03573893	
243.8	0.03773967	0.03766275	
244	0.03958399	0.03958022	
244.2	0.04172863	0.04149136	
244.4	0.04371863	0.04339619	
244.6	0.04555523	0.04529474	
244.8	0.04739912	0.04718702	
245	0.04906402	0.04907305	
245.2	0.05128817	0.05095286	
245.4	0.05315143	0.05282646	
245.6	0.05490018	0.05469388	
245.8	0.05651585	0.05655513	
246	0.05811055	0.05841024	
246.2	0.05965648	0.06025923	
246.4	0.06154431	0.06210211	
246.6	0.06332915	0.06393891	
246.8	0.06436606	0.06576965	
247	0.06586093	0.06759435	
247.2	0.06686128	0.06941302	
247.4	0.0686022	0.07122569	
247.6	0.0702567	0.07303237	
247.8	0.07204225	0.0748331	
248	0.07350458	0.07662788	
248.2	0.07496581	0.07841673	
248.4	0.07623426	0.08019968	
248.6	0.07781124	0.08197675	
248.8	0.07995137	0.08374795	
249	0.08185947	0.0855133	
249.2	0.08412913	0.08727283	
249.4	0.08549235	0.08902654	
249.6	0.08673535	0.09077447	
249.8	0.08856079	0.09251663	
250	0.0900341	0.09425304	
250.2	0.09156231	0.09598372	
250.4	0.092988	0.09770869	
250.6	0.09428949	0.09942796	
250.8	0.0951242	0.10114156	
251	0.09665998	0.1028495	
251.2	0.09777389	0.1045518	
251.4	0.09951453	0.10624849	
251.6	0.10115176	0.10793957	
251.8	0.10281592	0.10962507	
252	0.10448182	0.11130501	
252.2	0.10594477	0.11297941	
252.4	0.10760473	0.11464827	
252.6	0.10946352	0.11631163	
252.8	0.1117993	0.1179695	
253	0.1131392	0.1196219	
253.2	0.11467699	0.12126884	
253.4	0.11616931	0.12291034	
253.6	0.11741756	0.12454643	
253.8	0.11869741	0.12617712	
254	0.11982052	0.12780242	
254.2	0.12093447	0.12942236	
254.4	0.1222402	0.13103695	
254.6	0.12348156	0.13264622	
254.8	0.12461793	0.13425017	
255	0.12590614	0.13584883	
255.2	0.12728068	0.13744221	
255.4	0.12874806	0.13903033	
255.6	0.13054553	0.14061321	
255.8	0.13215446	0.14219086	
256	0.13378414	0.14376331	
256.2	0.13528415	0.14533056	
256.4	0.13696792	0.14689265	
256.6	0.1386368	0.14844957	
256.8	0.14052209	0.15000136	
257	0.14167368	0.15154803	
257.2	0.14315376	0.15308959	
257.4	0.14478393	0.15462606	
257.6	0.14597065	0.15615746	
257.8	0.14710779	0.15768381	
258	0.14860919	0.15920512	
258.2	0.15003917	0.16072141	
258.4	0.15149031	0.16223269	
258.6	0.15265726	0.16373898	
258.8	0.15372898	0.1652403	
259	0.15506232	0.16673667	
259.2	0.15635644	0.1682281	
259.4	0.15770811	0.1697146	
259.6	0.15933106	0.1711962	
259.8	0.1603272	0.1726729	
260	0.16116814	0.17414474	
260.2	0.16223375	0.17561171	
260.4	0.16341432	0.17707384	
260.6	0.16459195	0.17853115	
260.8	0.16550743	0.17998365	
261	0.16679049	0.18143135	
261.2	0.1678618	0.18287427	
261.4	0.16888546	0.18431243	
261.6	0.1699828	0.18574585	
261.8	0.17089043	0.18717453	
262	0.17241098	0.18859849	
262.2	0.17364795	0.19001776	
262.4	0.17513641	0.19143234	
262.6	0.1767615	0.19284225	
262.8	0.17808243	0.19424751	
263	0.17958923	0.19564813	
263.2	0.18106841	0.19704413	
263.4	0.18255739	0.19843552	
263.6	0.18369363	0.19982231	
263.8	0.18447176	0.20120453	
264	0.18566195	0.20258219	
264.2	0.18706116	0.2039553	
264.4	0.18836785	0.20532388	
264.6	0.18953566	0.20668794	
264.8	0.19087318	0.20804749	
265	0.19211749	0.20940256	
265.2	0.19279974	0.21075316	
265.4	0.19397286	0.2120993	
265.6	0.19543606	0.21344099	
265.8	0.1962403	0.21477826	
266	0.1974977	0.21611111	
266.2	0.19854902	0.21743957	
266.4	0.20012229	0.21876364	
266.6	0.20157815	0.22008333	
266.8	0.20260325	0.22139868	
267	0.20389667	0.22270968	
267.2	0.20504745	0.22401635	
267.4	0.20622684	0.22531871	
267.6	0.20733475	0.22661677	
267.8	0.20843626	0.22791055	
268	0.20977211	0.22920005	
268.2	0.21103576	0.2304853	
268.4	0.21196065	0.23176631	
268.6	0.21291098	0.23304309	
268.8	0.21420032	0.23431566	
269	0.2148255	0.23558402	
269.2	0.21578079	0.2368482	
269.4	0.21673812	0.2381082	
269.6	0.2178421	0.23936405	
269.8	0.21837169	0.24061575	
270	0.21934239	0.24186332	
270.2	0.22072683	0.24310677	
270.4	0.22175487	0.24434612	
270.6	0.22310818	0.24558138	
270.8	0.22404604	0.24681255	
271	0.2252282	0.24803967	
271.2	0.22629615	0.24926273	
271.4	0.22751285	0.25048176	
271.6	0.22884158	0.25169677	
271.8	0.23020335	0.25290776	
272	0.2315798	0.25411476	
272.2	0.23293245	0.25531777	
272.4	0.23362985	0.25651681	
272.6	0.23502184	0.25771189	
272.8	0.23620953	0.25890303	
273	0.23716382	0.26009024	
273.2	0.23851166	0.26127353	
273.4	0.23965146	0.26245291	
273.6	0.24072279	0.2636284	
273.8	0.24202904	0.26480001	
274	0.24310668	0.26596775	
274.2	0.24397201	0.26713164	
274.4	0.24495037	0.26829169	
274.6	0.24588964	0.26944791	
274.8	0.2464076	0.27060031	
275	0.24728422	0.27174891	
275.2	0.24808199	0.27289371	
275.4	0.2489729	0.27403474	
275.6	0.24984357	0.275172	
275.8	0.2509405	0.27630551	
276	0.25168759	0.27743527	
276.2	0.25253217	0.27856131	
276.4	0.25347754	0.27968363	
276.6	0.25481914	0.28080225	
276.8	0.25577194	0.28191717	
277	0.25676125	0.28302841	
277.2	0.25811224	0.28413599	
277.4	0.25950991	0.28523991	
277.6	0.26048097	0.28634018	
277.8	0.26179313	0.28743683	
278	0.26284719	0.28852985	
278.2	0.26407985	0.28961927	
278.4	0.26560043	0.29070509	
278.6	0.26633154	0.29178732	
278.8	0.26744697	0.29286599	
279	0.26819295	0.29394109	
279.2	0.26916555	0.29501265	
279.4	0.27009427	0.29608066	
279.6	0.2708012	0.29714516	
279.8	0.27189011	0.29820614	
280	0.27247335	0.29926361	
280.2	0.27324795	0.3003176	
280.4	0.27424592	0.30136811	
280.6	0.27484325	0.30241515	
280.8	0.27592242	0.30345873	
281	0.27673912	0.30449887	
281.2	0.27809515	0.30553558	
281.4	0.27927151	0.30656886	
281.6	0.28004211	0.30759873	
281.8	0.28105623	0.30862521	
282	0.28232799	0.30964829	
282.2	0.28342684	0.310668	
282.4	0.28424807	0.31168435	
282.6	0.285366	0.31269734	
282.8	0.28625867	0.31370698	
283	0.28693776	0.31471329	
283.2	0.28840588	0.31571628	
283.4	0.28879075	0.31671596	
283.6	0.28948216	0.31771234	
283.8	0.29045646	0.31870544	
284	0.29117534	0.31969525	
284.2	0.29184454	0.3206818	
284.4	0.29276516	0.32166509	
284.6	0.29370803	0.32264513	
284.8	0.29486319	0.32362194	
285	0.29593098	0.32459553	
285.2	0.29716365	0.3255659	
285.4	0.29823768	0.32653307	
285.6	0.29922225	0.32749704	
285.8	0.30007599	0.32845784	
286	0.30088622	0.32941546	
286.2	0.30182892	0.33036992	
286.4	0.30295387	0.33132124	
286.6	0.30439629	0.33226941	
286.8	0.3049808	0.33321445	
287	0.30579125	0.33415637	
287.2	0.3062388	0.33509519	
287.4	0.30648679	0.3360309	
287.6	0.30759292	0.33696353	
287.8	0.30819497	0.33789308	
288	0.30879759	0.33881956	
288.2	0.30942214	0.33974298	
288.4	0.30981561	0.34066335	
288.6	0.31060927	0.34158069	
288.8	0.31143819	0.34249499	
289	0.31228882	0.34340628	
289.2	0.31305779	0.34431457	
289.4	0.31415332	0.34521985	
289.6	0.31532652	0.34612215	
289.8	0.31615321	0.34702146	
290	0.31712942	0.34791781	
290.2	0.31809929	0.3488112	
290.4	0.31906288	0.34970165	
290.6	0.31979986	0.35058915	
290.8	0.32061467	0.35147372	
291	0.32129763	0.35235537	
291.2	0.32185912	0.35323412	
291.4	0.32261359	0.35410996	
291.6	0.32352043	0.35498291	
291.8	0.32390939	0.35585298	
292	0.32460201	0.35672018	
292.2	0.32509551	0.35758452	
292.4	0.32576186	0.358446	
292.6	0.32674922	0.35930464	
292.8	0.32760442	0.36016044	
293	0.32876115	0.36101342	
293.2	0.33003594	0.36186359	
293.4	0.3312174	0.36271095	
293.6	0.33239604	0.36355551	
293.8	0.33355823	0.36439728	
294	0.33442896	0.36523628	
294.2	0.33492328	0.36607251	
