Conc1	1.13E-08	
Start1	300	
Stop1	539.8	
Kobs	0.0102850491183928	
Error Kobs	0.000137057599954069	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	0.00518565	0	
300.2	0.00583482	0.00035484	
300.4	0.00649496	0.00070861	
300.6	0.0075314	0.00106131	
300.8	0.00865407	0.00141294	
301	0.0095483	0.0017635	
301.2	0.01075789	0.00211301	
301.4	0.01180436	0.00246145	
301.6	0.01285505	0.00280884	
301.8	0.01413094	0.00315517	
302	0.01547303	0.00350045	
302.2	0.01564685	0.00384469	
302.4	0.01653698	0.00418789	
302.6	0.01696182	0.00453005	
302.8	0.01734566	0.00487117	
303	0.01753168	0.00521125	
303.2	0.01813519	0.00555031	
303.4	0.01895217	0.00588834	
303.6	0.01947347	0.00622534	
303.8	0.01983604	0.00656132	
304	0.0199081	0.00689629	
304.2	0.02033904	0.00723024	
304.4	0.02069526	0.00756318	
304.6	0.0213519	0.00789511	
304.8	0.02182469	0.00822603	
305	0.02252221	0.00855595	
305.2	0.02343187	0.00888487	
305.4	0.02411526	0.0092128	
305.6	0.02450722	0.00953973	
305.8	0.02511725	0.00986567	
306	0.02578055	0.01019062	
306.2	0.02610959	0.01051459	
306.4	0.02721124	0.01083758	
306.6	0.02769108	0.01115959	
306.8	0.02897858	0.01148062	
307	0.02943738	0.01180068	
307.2	0.02960854	0.01211977	
307.4	0.03052869	0.0124379	
307.6	0.03079045	0.01275506	
307.8	0.03104971	0.01307126	
308	0.03126253	0.0133865	
308.2	0.031523	0.01370078	
308.4	0.0316307	0.01401412	
308.6	0.03215006	0.0143265	
308.8	0.03240737	0.01463794	
309	0.03279086	0.01494844	
309.2	0.03269199	0.01525799	
309.4	0.03280649	0.01556661	
309.6	0.03245109	0.01587429	
309.8	0.03265939	0.01618103	
310	0.03320212	0.01648685	
310.2	0.03340364	0.01679175	
310.4	0.03357471	0.01709572	
310.6	0.03430113	0.01739876	
310.8	0.03502546	0.01770089	
311	0.03504573	0.01800211	
311.2	0.03575473	0.01830241	
311.4	0.03640654	0.0186018	
311.6	0.03713662	0.01890029	
311.8	0.03799454	0.01919787	
312	0.03795839	0.01949454	
312.2	0.03849064	0.01979032	
312.4	0.03893585	0.02008521	
312.6	0.03902083	0.0203792	
312.8	0.03942413	0.0206723	
313	0.04027775	0.02096451	
313.2	0.04035657	0.02125584	
313.4	0.04089895	0.02154628	
313.6	0.04057487	0.02183584	
313.8	0.04107902	0.02212453	
314	0.0413997	0.02241234	
314.2	0.04128981	0.02269928	
314.4	0.04167775	0.02298535	
314.6	0.0423124	0.02327055	
314.8	0.04229049	0.02355489	
315	0.04257424	0.02383837	
315.2	0.04271634	0.02412099	
315.4	0.04279143	0.02440275	
315.6	0.04385472	0.02468366	
315.8	0.04349902	0.02496372	
316	0.04307163	0.02524293	
316.2	0.04366773	0.02552129	
316.4	0.04390328	0.02579881	
316.6	0.04369582	0.02607549	
