Conc1	1.19E-08	
Start1	300	
Stop1	539.8	
Kobs	0.00443076591604262	
Error Kobs	4.69129931370029E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	0.00545014	0	
300.2	0.00536133	0.00029578	
300.4	0.00472024	0.00059128	
300.6	0.0047558	0.00088649	
300.8	0.00473349	0.00118142	
301	0.00476556	0.00147606	
301.2	0.00481363	0.00177042	
301.4	0.00487189	0.00206449	
301.6	0.00465607	0.00235828	
301.8	0.00497982	0.00265178	
302	0.00507375	0.002945	
302.2	0.00571246	0.00323794	
302.4	0.00569066	0.00353059	
302.6	0.00571562	0.00382296	
302.8	0.00557795	0.00411505	
303	0.00639057	0.00440686	
303.2	0.00593541	0.00469838	
303.4	0.00531373	0.00498963	
303.6	0.00495769	0.00528059	
303.8	0.00472534	0.00557127	
304	0.00490442	0.00586167	
304.2	0.00537025	0.00615179	
304.4	0.00529554	0.00644163	
304.6	0.00591169	0.00673118	
304.8	0.00632613	0.00702046	
305	0.00651029	0.00730946	
305.2	0.00662036	0.00759818	
305.4	0.00644186	0.00788662	
305.6	0.00650628	0.00817479	
305.8	0.0069729	0.00846267	
306	0.00746686	0.00875027	
306.2	0.00804132	0.0090376	
306.4	0.00806034	0.00932465	
306.6	0.00825209	0.00961142	
306.8	0.00834013	0.00989792	
307	0.00918075	0.01018414	
307.2	0.00923987	0.01047008	
307.4	0.00928425	0.01075575	
307.6	0.00977702	0.01104114	
307.8	0.01082296	0.01132625	
308	0.01156098	0.01161109	
308.2	0.01248354	0.01189565	
308.4	0.01316554	0.01217994	
308.6	0.01335963	0.01246395	
308.8	0.01356743	0.01274769	
309	0.01348568	0.01303116	
309.2	0.01329582	0.01331435	
309.4	0.01333593	0.01359727	
309.6	0.01337546	0.01387991	
309.8	0.01311016	0.01416228	
310	0.01331626	0.01444438	
310.2	0.01336092	0.0147262	
310.4	0.01332877	0.01500776	
310.6	0.01297454	0.01528904	
310.8	0.01309458	0.01557005	
311	0.01349519	0.01585079	
311.2	0.01357402	0.01613125	
311.4	0.01365665	0.01641145	
311.6	0.01457242	0.01669137	
311.8	0.01509944	0.01697103	
312	0.01549605	0.01725041	
312.2	0.016196	0.01752952	
312.4	0.01608421	0.01780837	
312.6	0.01598375	0.01808694	
312.8	0.01617908	0.01836525	
313	0.01639519	0.01864329	
313.2	0.0163687	0.01892105	
313.4	0.01664693	0.01919855	
313.6	0.01674719	0.01947579	
313.8	0.01684181	0.01975275	
314	0.01759664	0.02002945	
314.2	0.01816096	0.02030587	
314.4	0.01807299	0.02058204	
314.6	0.01836961	0.02085793	
314.8	0.01971094	0.02113356	
315	0.02068236	0.02140892	
315.2	0.02168849	0.02168402	
315.4	0.02240542	0.02195885	
315.6	0.02283279	0.02223341	
315.8	0.02308179	0.02250771	
316	0.02367934	0.02278174	
316.2	0.02383138	0.02305551	
316.4	0.02380236	0.02332902	
316.6	0.02385086	0.02360226	
316.8	0.02334526	0.02387523	
317	0.02292535	0.02414794	
317.2	0.02269178	0.02442039	
317.4	0.02265575	0.02469258	
317.6	0.0230445	0.0249645	
317.8	0.02275094	0.02523616	
318	0.02245791	0.02550756	
318.2	0.02259319	0.02577869	
318.4	0.02302238	0.02604957	
318.6	0.02388784	0.02632018	
318.8	0.02465403	0.02659053	
319	0.02507485	0.02686062	
319.2	0.02544773	0.02713045	
319.4	0.02571297	0.02740001	
