Conc1	1E-07	
Start1	240	
Stop1	479.8	
Kobs	0.00398938283118634	
Error Kobs	5.22146019654848E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.016337	0	
240.2	0.01755645	0.00214055	
240.4	0.01863173	0.00427832	
240.6	0.02032263	0.00641331	
240.8	0.02197895	0.00854552	
241	0.02353665	0.01067496	
241.2	0.02521758	0.01280163	
241.4	0.0270986	0.01492553	
241.6	0.0293811	0.01704667	
241.8	0.03112906	0.01916506	
242	0.03290396	0.02128069	
242.2	0.03479194	0.02339357	
242.4	0.03665504	0.0255037	
242.6	0.03823792	0.02761109	
242.8	0.03960107	0.02971574	
243	0.04129714	0.03181765	
243.2	0.04273833	0.03391683	
243.4	0.04446803	0.03601328	
243.6	0.045958	0.038107	
243.8	0.04751098	0.040198	
244	0.04901592	0.04228628	
244.2	0.04981294	0.04437185	
244.4	0.05066847	0.0464547	
244.6	0.05225564	0.04853485	
244.8	0.05341136	0.05061229	
245	0.05475842	0.05268703	
245.2	0.05638049	0.05475907	
245.4	0.05794201	0.05682842	
245.6	0.05973282	0.05889508	
245.8	0.06107005	0.06095905	
246	0.06275425	0.06302034	
246.2	0.06458325	0.06507894	
246.4	0.06580573	0.06713487	
246.6	0.06707811	0.06918813	
246.8	0.06880107	0.07123871	
247	0.0706987	0.07328663	
247.2	0.07228385	0.07533189	
247.4	0.07386071	0.07737449	
247.6	0.07521183	0.07941443	
247.8	0.07671789	0.08145172	
248	0.07814906	0.08348636	
248.2	0.07945096	0.08551835	
248.4	0.08127315	0.0875477	
248.6	0.08302626	0.08957442	
248.8	0.08454177	0.0915985	
249	0.08608626	0.09361994	
249.2	0.08732194	0.09563876	
249.4	0.08890976	0.09765495	
249.6	0.09052317	0.09966852	
249.8	0.09207482	0.10167948	
250	0.09336291	0.10368781	
250.2	0.09491232	0.10569354	
250.4	0.09635123	0.10769666	
250.6	0.09784852	0.10969717	
250.8	0.09996083	0.11169509	
251	0.10163795	0.1136904	
251.2	0.10312867	0.11568312	
251.4	0.10478567	0.11767325	
251.6	0.10607428	0.11966079	
251.8	0.10783689	0.12164575	
252	0.10909343	0.12362812	
252.2	0.11035895	0.12560792	
252.4	0.11180687	0.12758515	
252.6	0.11258787	0.1295598	
252.8	0.11376318	0.13153189	
253	0.11516021	0.13350141	
253.2	0.11664767	0.13546837	
253.4	0.11846213	0.13743277	
253.6	0.11973367	0.13939462	
253.8	0.12144628	0.14135391	
254	0.12298261	0.14331066	
254.2	0.12446214	0.14526487	
254.4	0.12631212	0.14721653	
254.6	0.12746643	0.14916566	
254.8	0.12913246	0.15111225	
255	0.1304279	0.15305631	
255.2	0.13225139	0.15499785	
255.4	0.13371058	0.15693686	
255.6	0.13503218	0.15887334	
255.8	0.13663346	0.16080731	
256	0.13800685	0.16273877	
256.2	0.13969943	0.16466771	
256.4	0.141576	0.16659414	
256.6	0.14293977	0.16851807	
256.8	0.1447443	0.1704395	
257	0.1466997	0.17235843	
257.2	0.14870542	0.17427487	
257.4	0.1503384	0.17618881	
257.6	0.15187382	0.17810027	
257.8	0.15347724	0.18000923	
258	0.15513338	0.18191572	
258.2	0.15622576	0.18381973	
258.4	0.15763827	0.18572126	
258.6	0.15833123	0.18762032	
258.8	0.15976435	0.18951691	
259	0.16144365	0.19141103	
259.2	0.16290234	0.19330269	
259.4	0.16405912	0.19519189	
259.6	0.16603291	0.19707864	
259.8	0.16782078	0.19896293	
260	0.16915381	0.20084477	
260.2	0.17094479	0.20272417	
260.4	0.17292822	0.20460112	
260.6	0.1742751	0.20647563	
260.8	0.17580776	0.2083477	
261	0.17781467	0.21021734	
261.2	0.17950576	0.21208454	
261.4	0.18103287	0.21394932	
261.6	0.18247472	0.21581168	
261.8	0.18411753	0.21767161	
262	0.18579108	0.21952913	
262.2	0.18687767	0.22138423	
262.4	0.18832132	0.22323691	
262.6	0.1895464	0.22508719	
262.8	0.19112696	0.22693506	
263	0.19255786	0.22878053	
263.2	0.19385806	0.2306236	
263.4	0.19529195	0.23246428	
263.6	0.19691495	0.23430255	
263.8	0.19811379	0.23613844	
264	0.1994498	0.23797195	
264.2	0.20123128	0.23980306	
264.4	0.20247464	0.2416318	
264.6	0.20362542	0.24345816	
264.8	0.20492169	0.24528215	
265	0.20649522	0.24710376	
265.2	0.20789209	0.248923	
265.4	0.20949881	0.25073988	
265.6	0.21091322	0.2525544	
265.8	0.21267929	0.25436655	
266	0.21412978	0.25617636	
266.2	0.21579883	0.2579838	
266.4	0.21721433	0.2597889	
266.6	0.21877461	0.26159165	
266.8	0.2204739	0.26339205	
267	0.22194617	0.26519012	
267.2	0.22362692	0.26698585	
267.4	0.2248321	0.26877924	
267.6	0.22643899	0.2705703	
267.8	0.22770638	0.27235903	
268	0.22921806	0.27414543	
268.2	0.23012852	0.27592952	
268.4	0.23160881	0.27771128	
268.6	0.2331748	0.27949072	
268.8	0.2346292	0.28126786	
269	0.23642167	0.28304268	
269.2	0.23807198	0.28481519	
269.4	0.23971262	0.2865854	
269.6	0.24121455	0.2883533	
269.8	0.2425813	0.29011891	
270	0.24422355	0.29188222	
270.2	0.24586076	0.29364324	
270.4	0.24709973	0.29540197	
270.6	0.24887695	0.29715842	
270.8	0.25005697	0.29891257	
271	0.25136128	0.30066445	
271.2	0.25261306	0.30241405	
271.4	0.25409464	0.30416138	
271.6	0.25520853	0.30590643	
271.8	0.25650728	0.30764921	
272	0.25795232	0.30938973	
272.2	0.25917834	0.31112798	
272.4	0.26114064	0.31286398	
272.6	0.2628864	0.31459772	
272.8	0.26438807	0.3163292	
273	0.2657818	0.31805843	
273.2	0.26720361	0.31978541	
273.4	0.2689408	0.32151015	
273.6	0.27056383	0.32323264	
273.8	0.27195568	0.3249529	
274	0.27376774	0.32667092	
274.2	0.27542057	0.3283867	
274.4	0.27689698	0.33010025	
274.6	0.27827834	0.33181158	
274.8	0.27962392	0.33352068	
275	0.28129613	0.33522755	
275.2	0.28281283	0.33693221	
275.4	0.28468074	0.33863465	
275.6	0.28567274	0.34033488	
275.8	0.2872327	0.3420329	
276	0.28871402	0.34372871	
276.2	0.29020828	0.34542231	
276.4	0.29184729	0.34711371	
276.6	0.29302228	0.34880291	
276.8	0.29413958	0.35048992	
277	0.29549683	0.35217473	
277.2	0.29717061	0.35385735	
277.4	0.29874012	0.35553779	
277.6	0.30021121	0.35721603	
277.8	0.30172921	0.3588921	
278	0.30343324	0.36056599	
278.2	0.30489499	0.3622377	
278.4	0.30619128	0.36390723	
278.6	0.30704866	0.3655746	
278.8	0.30848264	0.3672398	
279	0.30982733	0.36890283	
279.2	0.31115441	0.3705637	
279.4	0.31269844	0.37222241	
279.6	0.3138991	0.37387897	
279.8	0.31553037	0.37553336	
280	0.3169809	0.37718561	
280.2	0.31846255	0.37883571	
280.4	0.31978202	0.38048367	
280.6	0.32118359	0.38212948	
280.8	0.32296166	0.38377315	
281	0.32437293	0.38541469	
281.2	0.32537794	0.38705409	
281.4	0.3267442	0.38869135	
281.6	0.32826123	0.39032649	
281.8	0.32941333	0.39195951	
282	0.3309004	0.3935904	
282.2	0.33254581	0.39521916	
282.4	0.33401937	0.39684582	
282.6	0.33514058	0.39847035	
282.8	0.33675006	0.40009278	
283	0.33858958	0.40171309	
283.2	0.34049629	0.4033313	
283.4	0.342384	0.4049474	
283.6	0.34430558	0.4065614	
283.8	0.34598209	0.40817331	
284	0.34753488	0.40978311	
284.2	0.34907441	0.41139083	
284.4	0.35037893	0.41299645	
284.6	0.3517534	0.41459999	
284.8	0.35293153	0.41620144	
285	0.3538274	0.4178008	
285.2	0.35452863	0.41939809	
285.4	0.35595066	0.4209933	
