Conc1	1.02E-07	
Start1	300	
Stop1	539.8	
Kobs	0.00860689367448577	
Error Kobs	0.000106164265091788	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	-0.00308527	0	
300.2	0.00078152	0.00996994	
300.4	0.00517944	0.0198684	
300.6	0.01024559	0.02969591	
300.8	0.01575845	0.03945297	
301	0.02206524	0.04914009	
301.2	0.02929816	0.05875776	
301.4	0.03649679	0.06830648	
301.6	0.04436658	0.07778675	
301.8	0.05225495	0.08719907	
302	0.0601639	0.09654391	
302.2	0.06757643	0.10582176	
302.4	0.07549455	0.1150331	
302.6	0.08214911	0.1241784	
302.8	0.08912559	0.13325815	
303	0.09632166	0.14227281	
303.2	0.10369915	0.15122285	
303.4	0.11100809	0.16010872	
303.6	0.1177325	0.1689309	
303.8	0.12433022	0.17768983	
304	0.13075499	0.18638598	
304.2	0.13672701	0.19501978	
304.4	0.14305592	0.2035917	
304.6	0.14905311	0.21210216	
304.8	0.15533735	0.22055162	
305	0.16247259	0.2289405	
305.2	0.16923728	0.23726925	
305.4	0.17579894	0.24553829	
305.6	0.18255102	0.25374805	
305.8	0.18989866	0.26189896	
306	0.19688794	0.26999144	
306.2	0.20370538	0.27802591	
306.4	0.21034109	0.28600278	
306.6	0.21678058	0.29392247	
306.8	0.22434059	0.30178539	
307	0.23135798	0.30959194	
307.2	0.23802016	0.31734252	
307.4	0.24476688	0.32503755	
307.6	0.25096424	0.33267741	
307.8	0.25703906	0.34026251	
308	0.26337509	0.34779323	
308.2	0.26995262	0.35526996	
308.4	0.27678139	0.3626931	
308.6	0.28343285	0.37006302	
308.8	0.29055616	0.37738012	
309	0.29798781	0.38464475	
309.2	0.30395969	0.39185731	
309.4	0.31045798	0.39901817	
309.6	0.31711178	0.40612769	
309.8	0.32441089	0.41318625	
310	0.33057747	0.42019421	
310.2	0.33705164	0.42715193	
310.4	0.3433858	0.43405977	
310.6	0.3498175	0.44091809	
310.8	0.3560425	0.44772725	
311	0.36204444	0.45448759	
311.2	0.36751478	0.46119948	
311.4	0.37348666	0.46786325	
311.6	0.37969707	0.47447924	
311.8	0.38566187	0.48104781	
312	0.39157131	0.4875693	
312.2	0.39769401	0.49404403	
312.4	0.40430079	0.50047235	
312.6	0.41126802	0.50685458	
312.8	0.41778872	0.51319106	
313	0.42510403	0.51948212	
313.2	0.43142475	0.52572808	
313.4	0.43842873	0.53192927	
313.6	0.4454842	0.538086	
313.8	0.45195354	0.5441986	
314	0.45843822	0.55026738	
314.2	0.46535623	0.55629265	
314.4	0.4717571	0.56227473	
314.6	0.4782695	0.56821392	
314.8	0.48432549	0.57411055	
315	0.49085003	0.5799649	
315.2	0.49691928	0.58577728	
315.4	0.50327405	0.59154799	
315.6	0.5099911	0.59727734	
315.8	0.5156027	0.60296562	
316	0.52145182	0.60861311	
316.2	0.52781839	0.61422013	
316.4	0.53397464	0.61978695	
316.6	0.54002057	0.62531386	
316.8	0.54608819	0.63080115	
317	0.55235366	0.63624911	
317.2	0.55807579	0.64165801	
317.4	0.56358697	0.64702813	
317.6	0.56893733	0.65235977	
317.8	0.57451015	0.65765318	
318	0.58058511	0.66290864	
318.2	0.58692772	0.66812643	
318.4	0.59229632	0.67330681	
318.6	0.59844085	0.67845006	
318.8	0.60470273	0.68355644	
319	0.61108889	0.68862621	
319.2	0.61703791	0.69365964	
319.4	0.62315255	0.69865699	
319.6	0.6299565	0.70361851	
319.8	0.63612514	0.70854446	
320	0.64277156	0.71343511	
320.2	0.64962929	0.71829069	
320.4	0.65556826	0.72311146	
320.6	0.66209994	0.72789768	
320.8	0.66882368	0.73264959	
321	0.67488688	0.73736743	
321.2	0.68096339	0.74205145	
321.4	0.68664483	0.74670189	
321.6	0.69184828	0.751319	
321.8	0.69734954	0.75590301	
322	0.70308718	0.76045415	
322.2	0.70843416	0.76497267	
322.4	0.71298858	0.7694588	
322.6	0.71853576	0.77391277	
322.8	0.72378727	0.77833481	
323	0.72894337	0.78272515	
323.2	0.73393807	0.78708402	
323.4	0.73899867	0.79141164	
323.6	0.74469182	0.79570824	
323.8	0.75038532	0.79997404	
324	0.75600473	0.80420926	
324.2	0.7615969	0.80841411	
324.4	0.76721704	0.81258883	
324.6	0.77378329	0.81673361	
324.8	0.77992999	0.82084869	
325	0.785417	0.82493426	
325.2	0.79113849	0.82899055	
325.4	0.79670579	0.83301776	
325.6	0.80145633	0.8370161	
325.8	0.80718314	0.84098577	
326	0.81251206	0.84492699	
326.2	0.81715253	0.84883996	
326.4	0.82144336	0.85272487	
326.6	0.82647506	0.85658194	
326.8	0.83198805	0.86041136	
327	0.83732113	0.86421332	
327.2	0.84233935	0.86798803	
327.4	0.84710374	0.87173568	
327.6	0.85236629	0.87545646	
327.8	0.85741733	0.87915058	
328	0.86236853	0.88281821	
328.2	0.86795099	0.88645954	
328.4	0.87365651	0.89007478	
328.6	0.87942144	0.8936641	
328.8	0.88465009	0.89722768	
329	0.88984045	0.90076573	
329.2	0.89474405	0.9042784	
329.4	0.89962822	0.9077659	
329.6	0.90437301	0.9112284	
329.8	0.909145	0.91466607	
330	0.91318859	0.91807911	
330.2	0.91759367	0.92146767	
330.4	0.92187869	0.92483195	
330.6	0.92691658	0.9281721	
330.8	0.93224523	0.93148832	
331	0.93683815	0.93478076	
331.2	0.94138407	0.93804959	
331.4	0.94547315	0.941295	
331.6	0.95010696	0.94451714	
331.8	0.95477029	0.94771618	
332	0.95937077	0.95089229	
332.2	0.96441056	0.95404563	
332.4	0.96914775	0.95717636	
332.6	0.9736624	0.96028465	
332.8	0.97824347	0.96337066	
333	0.98231718	0.96643455	
333.2	0.98617595	0.96947647	
333.4	0.99057146	0.97249659	
333.6	0.9947713	0.97549505	
333.8	0.9987673	0.97847203	
334	1.00264969	0.98142766	
334.2	1.00664558	0.9843621	
334.4	1.01091498	0.98727551	
334.6	1.01512544	0.99016803	
334.8	1.01906234	0.99303981	
335	1.02367386	0.99589101	
335.2	1.02754306	0.99872177	
335.4	1.03117786	1.00153224	
335.6	1.0357269	1.00432256	
335.8	1.04049589	1.00709288	
336	1.04458451	1.00984334	
336.2	1.04915566	1.01257408	
336.4	1.05312218	1.01528525	
336.6	1.05745375	1.01797698	
336.8	1.06136523	1.02064941	
337	1.06529652	1.02330269	
337.2	1.06923859	1.02593694	
337.4	1.0733217	1.02855232	
337.6	1.07689246	1.03114894	
337.8	1.08041932	1.03372695	
338	1.08378918	1.03628648	
338.2	1.08709391	1.03882766	
338.4	1.09054493	1.04135062	
338.6	1.09378475	1.0438555	
338.8	1.09690296	1.04634242	
339	1.10032984	1.04881151	
339.2	1.10302485	1.0512629	
339.4	1.10629602	1.05369672	
339.6	1.11005883	1.0561131	
339.8	1.11355862	1.05851215	
340	1.11682828	1.060894	
340.2	1.12063631	1.06325878	
340.4	1.1242597	1.0656066	
340.6	1.12869878	1.0679376	
340.8	1.13232951	1.07025188	
341	1.1363376	1.07254958	
341.2	1.1401374	1.0748308	
341.4	1.14408885	1.07709567	
341.6	1.14726783	1.0793443	
341.8	1.15091865	1.08157682	
342	1.15407542	1.08379333	
342.2	1.15675861	1.08599395	
342.4	1.15984124	1.0881788	
342.6	1.16239088	1.09034798	
342.8	1.16465314	1.09250161	
343	1.16699506	1.09463981	
343.2	1.16954271	1.09676267	
343.4	1.1722179	1.09887032	
343.6	1.17494622	1.10096286	
343.8	1.17771663	1.1030404	
344	1.18062042	1.10510305	
344.2	1.18381013	1.10715091	
344.4	1.18702431	1.10918408	
344.6	1.19018489	1.11120269	
344.8	1.19266393	1.11320682	
345	1.19544399	1.11519659	
345.2	1.19804192	1.11717209	
345.4	1.20082713	1.11913343	
345.6	1.20297186	1.12108071	
345.8	1.20606257	1.12301403	
346	1.20845038	1.1249335	
346.2	1.21086153	1.1268392	
346.4	1.21338875	1.12873124	
346.6	1.21571702	1.13060972	
346.8	1.21857422	1.13247473	
347	1.2211204	1.13432637	
347.2	1.2238181	1.13616474	
347.4	1.22664175	1.13798993	
347.6	1.22904945	1.13980203	
347.8	1.23157177	1.14160115	
348	1.2341615	1.14338737	
348.2	1.23665023	1.14516078	
348.4	1.23948661	1.14692148	
348.6	1.2419216	1.14866956	
348.8	1.24395192	1.15040511	
349	1.24619204	1.15212821	
349.2	1.2480655	1.15383897	
349.4	1.25044692	1.15553745	
349.6	1.25218434	1.15722377	
349.8	1.25420124	1.15889799	
350	1.25606416	1.16056022	
350.2	1.25790741	1.16221052	
350.4	1.25953825	1.163849	
350.6	1.26153473	1.16547573	
350.8	1.26321184	1.1670908	
351	1.26457105	1.16869429	
351.2	1.26653116	1.17028629	
351.4	1.26832067	1.17186688	
351.6	1.26930755	1.17343613	
351.8	1.27136429	1.17499413	
352	1.27320648	1.17654097	
352.2	1.27556017	1.17807672	
352.4	1.27772505	1.17960146	
352.6	1.27958727	1.18111526	
352.8	1.28115322	1.18261822	
353	1.28331152	1.1841104	
353.2	1.28526156	1.18559189	
353.4	1.28734165	1.18706275	
353.6	1.2890928	1.18852307	
353.8	1.29071214	1.18997292	
354	1.29249815	1.19141238	
354.2	1.29365705	1.19284152	
354.4	1.29469028	1.19426041	
354.6	1.29640674	1.19566914	
354.8	1.29749932	1.19706776	
355	1.29823604	1.19845636	
355.2	1.29945412	1.199835	
355.4	1.30047263	1.20120376	
355.6	1.30136033	1.20256271	
355.8	1.303443	1.20391192	
356	1.3050558	1.20525146	
356.2	1.30647031	1.20658139	
356.4	1.30714769	1.20790179	
356.6	1.30859611	1.20921272	
356.8	1.31033798	1.21051425	
357	1.31199656	1.21180646	
357.2	1.31373078	1.2130894	
357.4	1.31547582	1.21436315	
357.6	1.31734127	1.21562776	
357.8	1.31827504	1.21688331	
358	1.31944492	1.21812986	
358.2	1.3205781	1.21936747	
358.4	1.32101682	1.22059621	
358.6	1.32179979	1.22181614	
358.8	1.32228092	1.22302733	
359	1.32270481	1.22422983	
359.2	1.32370062	1.22542371	
359.4	1.32441748	1.22660904	
359.6	1.32528284	1.22778586	
359.8	1.32612759	1.22895426	
360	1.32654412	1.23011427	
360.2	1.32700052	1.23126597	
360.4	1.32764576	1.23240942	
360.6	1.32930221	1.23354466	
360.8	1.33070198	1.23467177	
361	1.3318742	1.2357908	
361.2	1.33343048	1.23690181	
361.4	1.33505812	1.23800485	
361.6	1.33673341	1.23909998	
361.8	1.33760046	1.24018727	
362	1.33898639	1.24126676	
362.2	1.33945248	1.24233851	
362.4	1.34008561	1.24340258	
362.6	1.34128869	1.24445902	
362.8	1.34238613	1.24550789	
363	1.34286355	1.24654924	
363.2	1.34366046	1.24758312	
363.4	1.3436204	1.24860959	
363.6	1.3442625	1.24962871	
363.8	1.34469292	1.25064051	
364	1.34512227	1.25164507	
364.2	1.34597984	1.25264242	
364.4	1.3465787	1.25363263	
364.6	1.34759522	1.25461573	
364.8	1.34800659	1.25559179	
365	1.34890214	1.25656085	
365.2	1.35017401	1.25752296	
365.4	1.35087496	1.25847818	
365.6	1.35175583	1.25942655	
365.8	1.35272188	1.26036812	
366	1.35336786	1.26130294	
366.2	1.35360358	1.26223106	
366.4	1.35441802	1.26315253	
366.6	1.3551138	1.26406739	
366.8	1.35567671	1.26497569	
367	1.35641295	1.26587748	
367.2	1.35680635	1.26677281	
367.4	1.3570969	1.26766172	
367.6	1.35754378	1.26854425	
367.8	1.35815246	1.26942046	
368	1.35840976	1.27029039	
368.2	1.35915012	1.27115408	
368.4	1.35944405	1.27201158	
368.6	1.35995657	1.27286294	
368.8	1.36052858	1.27370819	
369	1.36130729	1.27454738	
369.2	1.36225715	1.27538055	
369.4	1.36225096	1.27620776	
369.6	1.3631377	1.27702903	
369.8	1.36354794	1.27784441	
370	1.36365588	1.27865395	
370.2	1.36395809	1.27945769	
370.4	1.36451051	1.28025567	
370.6	1.36534211	1.28104792	
370.8	1.36582371	1.2818345	
371	1.36608152	1.28261543	
371.2	1.36608854	1.28339077	
371.4	1.36636247	1.28416055	
371.6	1.36627336	1.28492481	
371.8	1.36704296	1.2856836	
372	1.3672266	1.28643694	
372.2	1.36770811	1.28718488	
372.4	1.36792595	1.28792746	
372.6	1.36851142	1.28866472	
372.8	1.3685865	1.2893967	
373	1.36860653	1.29012342	
373.2	1.36873977	1.29084494	
373.4	1.36906769	1.29156128	
373.6	1.3698671	1.29227249	
373.8	1.37080877	1.2929786	
374	1.37163755	1.29367965	
374.2	1.37258676	1.29437567	
374.4	1.37365853	1.29506671	
374.6	1.37412551	1.29575279	
374.8	1.37468782	1.29643395	
375	1.37485385	1.29711023	
375.2	1.37535997	1.29778166	
375.4	1.37481723	1.29844827	
375.6	1.37448313	1.29911011	
375.8	1.37507255	1.29976721	
376	1.37475297	1.30041959	
376.2	1.37455812	1.3010673	
376.4	1.37440627	1.30171036	
376.6	1.37384287	1.30234881	
376.8	1.37331236	1.30298269	
377	1.37314761	1.30361202	
377.2	1.37322937	1.30423685	
377.4	1.37370204	1.30485719	
377.6	1.37416847	1.30547308	
377.8	1.37521769	1.30608456	
378	1.3761013	1.30669166	
378.2	1.37696585	1.3072944	
378.4	1.37751294	1.30789283	
378.6	1.37809125	1.30848696	
378.8	1.37908058	1.30907684	
379	1.37931877	1.30966248	
379.2	1.37942342	1.31024393	
379.4	1.37909038	1.31082121	
379.6	1.37952164	1.31139435	
379.8	1.37983222	1.31196339	
380	1.3793127	1.31252834	
380.2	1.37913811	1.31308924	
380.4	1.37933465	1.31364613	
380.6	1.37877211	1.31419902	
380.8	1.37902574	1.31474794	
381	1.37845427	1.31529294	
381.2	1.37825093	1.31583402	
381.4	1.37859212	1.31637123	
381.6	1.37875809	1.31690458	
381.8	1.37958023	1.31743411	
382	1.37967085	1.31795985	
382.2	1.38013159	1.31848182	
382.4	1.38061365	1.31900004	
382.6	1.38173658	1.31951455	
382.8	1.38208198	1.32002538	
383	1.38209443	1.32053254	
383.2	1.38245811	1.32103606	
383.4	1.38278112	1.32153597	
383.6	1.38301853	1.32203231	
383.8	1.38281954	1.32252508	
384	1.38296803	1.32301432	
384.2	1.38271658	1.32350005	
384.4	1.38317581	1.3239823	
384.6	1.38295254	1.3244611	
384.8	1.38315019	1.32493646	
385	1.38280409	1.32540842	
385.2	1.38283613	1.32587699	
385.4	1.38300487	1.3263422	
385.6	1.38232695	1.32680408	
385.8	1.38233294	1.32726264	
386	1.38249223	1.32771792	
386.2	1.38256777	1.32816994	
386.4	1.38270238	1.32861871	
386.6	1.38253239	1.32906427	
386.8	1.38218394	1.32950663	
387	1.3822961	1.32994582	
387.2	1.38334955	1.33038187	
387.4	1.3836622	1.33081479	
387.6	1.38400503	1.3312446	
387.8	1.38408843	1.33167134	
388	1.38479902	1.33209501	
388.2	1.38540259	1.33251565	
388.4	1.38644037	1.33293327	
388.6	1.38647725	1.3333479	
388.8	1.38647367	1.33375955	
389	1.38669926	1.33416826	
389.2	1.38629899	1.33457403	
389.4	1.38616642	1.3349769	
389.6	1.38562088	1.33537688	
389.8	1.38522352	1.33577399	
390	1.38510744	1.33616825	
390.2	1.38428944	1.33655969	
390.4	1.38444473	1.33694832	
390.6	1.38446526	1.33733417	
390.8	1.38469427	1.33771725	
391	1.38501245	1.33809758	
391.2	1.38564338	1.33847519	
391.4	1.38517837	1.33885009	
391.6	1.38530158	1.3392223	
391.8	1.38590132	1.33959185	
392	1.38664376	1.33995874	
392.2	1.38724537	1.34032301	
392.4	1.38773397	1.34068466	
392.6	1.38768614	1.34104372	
392.8	1.3881843	1.34140021	
393	1.38832024	1.34175414	
393.2	1.38817029	1.34210554	
393.4	1.38809405	1.34245441	
393.6	1.38768115	1.34280079	
393.8	1.38718694	1.34314468	
394	1.38738027	1.3434861	
394.2	1.38753714	1.34382508	
394.4	1.38815143	1.34416163	
394.6	1.38819278	1.34449577	
394.8	1.38771571	1.34482751	
395	1.38769202	1.34515687	
395.2	1.38754238	1.34548387	
395.4	1.38716366	1.34580853	
395.6	1.38738256	1.34613086	
395.8	1.38767782	1.34645088	
396	1.38773039	1.34676861	
396.2	1.3877933	1.34708405	
396.4	1.38832406	1.34739724	
396.6	1.38820557	1.34770818	
396.8	1.38881169	1.34801689	
397	1.38871017	1.34832339	
397.2	1.38894679	1.34862769	
397.4	1.38866573	1.34892981	
397.6	1.38886997	1.34922977	
397.8	1.38892744	1.34952757	
398	1.38937662	1.34982324	
398.2	1.39008427	1.35011679	
398.4	1.39022872	1.35040824	
398.6	1.38977772	1.3506976	
398.8	1.38977873	1.35098488	
399	1.38983648	1.3512701	
399.2	1.3897857	1.35155328	
399.4	1.38907817	1.35183443	
399.6	1.38868889	1.35211356	
399.8	1.38842908	1.35239069	
400	1.38809342	1.35266584	
400.2	1.38802345	1.35293901	
400.4	1.38814098	1.35321022	
400.6	1.38783278	1.35347949	
400.8	1.38774953	1.35374683	
401	1.38751315	1.35401226	
401.2	1.38776187	1.35427578	
401.4	1.3875208	1.35453741	
401.6	1.38809779	1.35479717	
401.8	1.38798847	1.35505506	
402	1.38874402	1.35531111	
402.2	1.38881146	1.35556532	
402.4	1.38879061	1.3558177	
402.6	1.38892251	1.35606828	
402.8	1.38914626	1.35631706	
403	1.38923622	1.35656406	
403.2	1.3892147	1.35680929	
