Conc1	5.1E-08	
Start1	300	
Stop1	539.8	
Kobs	0.0111369612777177	
Error Kobs	0.000143047433354259	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	0.00360458	0	
300.2	0.00471058	0.000832	
300.4	0.00580895	0.00165987	
300.6	0.00750212	0.00248362	
300.8	0.00966842	0.00330327	
301	0.0116096	0.00411885	
301.2	0.01390145	0.00493038	
301.4	0.01590245	0.00573786	
301.6	0.01790323	0.00654134	
301.8	0.02012056	0.00734081	
302	0.02169546	0.00813631	
302.2	0.02278783	0.00892786	
302.4	0.02400673	0.00971547	
302.6	0.02512316	0.01049916	
302.8	0.02612377	0.01127896	
303	0.02711812	0.01205488	
303.2	0.02776109	0.01282694	
303.4	0.02902234	0.01359516	
303.6	0.02959875	0.01435956	
303.8	0.03038354	0.01512016	
304	0.03051975	0.01587698	
304.2	0.03093754	0.01663004	
304.4	0.03137662	0.01737935	
304.6	0.0323399	0.01812493	
304.8	0.03316529	0.01886681	
305	0.03379765	0.01960499	
305.2	0.0351306	0.02033951	
305.4	0.03577576	0.02107038	
305.6	0.03687497	0.02179761	
305.8	0.03795471	0.02252122	
306	0.03828895	0.02324124	
306.2	0.03935927	0.02395767	
306.4	0.040573	0.02467055	
306.6	0.04112049	0.02537988	
306.8	0.04237241	0.02608568	
307	0.04343826	0.02678797	
307.2	0.0439726	0.02748677	
307.4	0.04495271	0.02818209	
307.6	0.04569849	0.02887396	
307.8	0.04634857	0.02956239	
308	0.04635727	0.03024739	
308.2	0.04698152	0.03092899	
308.4	0.04703271	0.0316072	
308.6	0.04762319	0.03228203	
308.8	0.04781919	0.03295352	
309	0.04870934	0.03362166	
309.2	0.04925608	0.03428648	
309.4	0.04909571	0.03494799	
309.6	0.04913636	0.03560621	
309.8	0.04934065	0.03626116	
310	0.04939344	0.03691286	
310.2	0.04974624	0.03756131	
310.4	0.04958565	0.03820654	
310.6	0.04965691	0.03884856	
310.8	0.05012915	0.03948739	
311	0.05067044	0.04012304	
311.2	0.05138024	0.04075553	
311.4	0.05245237	0.04138487	
311.6	0.05315145	0.04201109	
311.8	0.05341503	0.04263419	
312	0.05379937	0.0432542	
312.2	0.05511335	0.04387112	
312.4	0.05582615	0.04448497	
312.6	0.05687372	0.04509577	
312.8	0.05759407	0.04570354	
313	0.05898844	0.04630828	
313.2	0.05928097	0.04691001	
313.4	0.05958365	0.04750875	
313.6	0.05938012	0.04810452	
313.8	0.05969278	0.04869732	
314	0.05993141	0.04928717	
314.2	0.06020577	0.0498741	
314.4	0.06019157	0.0504581	
314.6	0.06044258	0.0510392	
314.8	0.06143943	0.05161741	
315	0.06241976	0.05219274	
315.2	0.06279745	0.05276522	
315.4	0.06303634	0.05333484	
315.6	0.06340866	0.05390164	
315.8	0.06375795	0.05446561	
316	0.06447612	0.05502678	
316.2	0.06573625	0.05558517	
316.4	0.06653408	0.05614077	
316.6	0.06705918	0.05669361	
316.8	0.06759468	0.05724371	
317	0.06774209	0.05779106	
317.2	0.06796197	0.0583357	
317.4	0.06819119	0.05887763	
317.6	0.06844706	0.05941686	
317.8	0.06906136	0.05995341	
318	0.06983012	0.06048729	
318.2	0.06968954	0.06101852	
318.4	0.06962668	0.06154711	
318.6	0.06970478	0.06207307	
318.8	0.07065352	0.06259641	
319	0.07023408	0.06311715	
319.2	0.0701969	0.0636353	
319.4	0.07046132	0.06415088	
319.6	0.07139363	0.06466389	
319.8	0.07167149	0.06517435	
320	0.07213061	0.06568227	
320.2	0.0729292	0.06618767	
320.4	0.07387884	0.06669055	
320.6	0.07411404	0.06719093	
320.8	0.07467563	0.06768883	
321	0.07516158	0.06818425	
321.2	0.07631726	0.0686772	
321.4	0.07690574	0.06916771	
321.6	0.07770805	0.06965577	
321.8	0.07762215	0.07014141	
322	0.07812162	0.07062463	
322.2	0.07749125	0.07110545	
322.4	0.0779053	0.07158388	
322.6	0.07845729	0.07205993	
322.8	0.07908834	0.07253362	
323	0.07907915	0.07300494	
323.2	0.07943892	0.07347393	
323.4	0.07959093	0.07394058	
323.6	0.07985132	0.07440491	
323.8	0.07933552	0.07486693	
324	0.08006737	0.07532666	
324.2	0.08047733	0.0757841	
324.4	0.08087801	0.07623926	
324.6	0.0804974	0.07669216	
324.8	0.08056835	0.07714281	
325	0.08062665	0.07759122	
325.2	0.08106679	0.0780374	
325.4	0.08104181	0.07848136	
325.6	0.08123412	0.07892311	
325.8	0.08090083	0.07936267	
326	0.08125643	0.07980004	
326.2	0.08163081	0.08023523	
326.4	0.0822077	0.08066826	
326.6	0.08279356	0.08109914	
326.8	0.08298924	0.08152788	
327	0.08324467	0.08195448	
327.2	0.08337783	0.08237896	
327.4	0.08380276	0.08280134	
327.6	0.08373764	0.08322161	
327.8	0.0840329	0.08363979	
328	0.08471961	0.08405589	
