Conc1	3E-07	
Start1	240	
Stop1	479.8	
Kobs	5.00879367860426E-16	
Error Kobs	163553407824.889	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.00513786	0	
240.2	0.00401373	0	
240.4	0.00286774	0	
240.6	0.0018876	0	
240.8	0.00077904	0	
241	-0.00049922	0	
241.2	-0.00177581	0	
241.4	-0.00320125	0	
241.6	-0.0042019	0	
241.8	-0.00535149	0	
242	-0.00631348	0	
242.2	-0.00710422	0	
242.4	-0.00803635	0	
242.6	-0.0091671	0	
242.8	-0.0099317	0	
243	-0.01064172	0	
243.2	-0.01126477	0	
243.4	-0.01190441	0	
243.6	-0.01258087	0	
243.8	-0.01317459	0	
244	-0.01355469	0	
244.2	-0.0138945	0	
244.4	-0.01427998	0	
244.6	-0.01464054	0	
244.8	-0.01521638	0	
245	-0.01576767	0	
245.2	-0.01624398	0	
245.4	-0.01686767	0	
245.6	-0.01693765	0	
245.8	-0.01773681	0	
246	-0.01833607	0	
246.2	-0.01863395	0	
246.4	-0.01900798	0	
246.6	-0.01936299	0	
246.8	-0.01977408	0	
247	-0.01998796	0	
247.2	-0.02014773	0	
247.4	-0.02022476	0	
247.6	-0.02016981	0	
247.8	-0.020101	0	
248	-0.01995449	0	
248.2	-0.02004395	0	
248.4	-0.02022018	0	
248.6	-0.02053939	0	
248.8	-0.02122807	0	
249	-0.02121902	0	
249.2	-0.02141473	0	
249.4	-0.0218182	0	
249.6	-0.02220729	0	
249.8	-0.02287334	0	
250	-0.02322954	0	
250.2	-0.02334526	0	
250.4	-0.02371556	0	
250.6	-0.02400812	0	
250.8	-0.02467708	0	
251	-0.02462517	0	
251.2	-0.02474893	0	
251.4	-0.02447438	0	
251.6	-0.02439538	0	
251.8	-0.02462928	0	
252	-0.02462694	0	
252.2	-0.02512731	0	
252.4	-0.02522809	0	
252.6	-0.02576712	0	
252.8	-0.02639311	0	
253	-0.02656994	0	
253.2	-0.02682081	0	
253.4	-0.02721697	0	
253.6	-0.02747028	0	
253.8	-0.02753613	0	
254	-0.02789213	0	
254.2	-0.02807091	0	
254.4	-0.02796946	0	
254.6	-0.02769823	0	
254.8	-0.02781776	0	
255	-0.02736746	0	
255.2	-0.02716985	0	
255.4	-0.02670819	0	
255.6	-0.02650059	0	
255.8	-0.02643484	0	
256	-0.02643734	0	
256.2	-0.02687946	0	
256.4	-0.02702085	0	
256.6	-0.02718377	0	
256.8	-0.02737106	0	
257	-0.02765873	0	
257.2	-0.02754419	0	
257.4	-0.02796131	0	
257.6	-0.02790063	0	
257.8	-0.02833685	0	
258	-0.02857945	0	
258.2	-0.02858732	0	
258.4	-0.02822619	0	
258.6	-0.02806692	0	
258.8	-0.02842811	0	
259	-0.02820107	0	
259.2	-0.0279953	0	
259.4	-0.02779076	0	
259.6	-0.02764512	0	
259.8	-0.0277673	0	
260	-0.02783269	0	
260.2	-0.02799791	0	
260.4	-0.02836259	0	
260.6	-0.02821864	0	
260.8	-0.02830721	0	
261	-0.02870193	0	
261.2	-0.02868767	0	
261.4	-0.02925126	0	
261.6	-0.02916555	0	
261.8	-0.02957235	0	
262	-0.02955104	0	
262.2	-0.02958193	0	
262.4	-0.02925806	0	
262.6	-0.02927642	0	
262.8	-0.02944137	0	
263	-0.0292031	0	
263.2	-0.0291742	0	
263.4	-0.02912585	0	
263.6	-0.02911496	0	
263.8	-0.02949596	0	
264	-0.02939938	0	
264.2	-0.0295063	0	
264.4	-0.0296615	0	
264.6	-0.02973186	0	
264.8	-0.02969628	0	
265	-0.02974965	0	
265.2	-0.03001066	0	
265.4	-0.03050824	0	
265.6	-0.03020694	0	
265.8	-0.03039233	0	
266	-0.0301613	0	
266.2	-0.02989597	0	
266.4	-0.02955333	0	
266.6	-0.02946538	0	
266.8	-0.02910579	0	
267	-0.02883268	0	
267.2	-0.0289787	0	
267.4	-0.02929338	0	
267.6	-0.02950147	0	
267.8	-0.02976284	0	
268	-0.02978585	0	
268.2	-0.02995377	0	
268.4	-0.03017584	0	
268.6	-0.03074826	0	
268.8	-0.03108812	0	
269	-0.03118556	0	
269.2	-0.03157648	0	
269.4	-0.0317683	0	
269.6	-0.03158604	0	
269.8	-0.03162045	0	
270	-0.0312855	0	
270.2	-0.03126198	0	
270.4	-0.03110787	0	
270.6	-0.03086415	0	
270.8	-0.03066322	0	
271	-0.03077871	0	
271.2	-0.03108959	0	
271.4	-0.03107446	0	
271.6	-0.03088664	0	
271.8	-0.03054362	0	
272	-0.03032782	0	
272.2	-0.02987776	0	
272.4	-0.02974724	0	
272.6	-0.02987051	0	
272.8	-0.02945246	0	
273	-0.02930779	0	
273.2	-0.02935033	0	
273.4	-0.02935825	0	
273.6	-0.02930887	0	
273.8	-0.02935905	0	
274	-0.02957308	0	
274.2	-0.02989631	0	
274.4	-0.03011186	0	
274.6	-0.03035445	0	
274.8	-0.0306872	0	
275	-0.0303881	0	
275.2	-0.03052962	0	
275.4	-0.03073006	0	
275.6	-0.03062311	0	
275.8	-0.03059852	0	
276	-0.03048835	0	
276.2	-0.03035773	0	
276.4	-0.03048875	0	
276.6	-0.03044834	0	
276.8	-0.02999401	0	
277	-0.03037161	0	
277.2	-0.03030978	0	
277.4	-0.03030345	0	
277.6	-0.03018915	0	
277.8	-0.03005644	0	
278	-0.03000607	0	
278.2	-0.03002264	0	
278.4	-0.02986798	0	
278.6	-0.03003541	0	
278.8	-0.02975375	0	
