Conc1	3.33E-08	
Start1	240	
Stop1	479.8	
Kobs	6.26099209825532E-17	
Error Kobs	3907287350150.09	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.00249423	0	
240.2	0.00172195	0	
240.4	0.00033055	0	
240.6	-0.00117743	0	
240.8	-0.00234642	0	
241	-0.00360944	0	
241.2	-0.00519023	0	
241.4	-0.00646322	0	
241.6	-0.00746342	0	
241.8	-0.00866975	0	
242	-0.00980506	0	
242.2	-0.01050101	0	
242.4	-0.01143353	0	
242.6	-0.01269804	0	
242.8	-0.01346204	0	
243	-0.01386247	0	
243.2	-0.01448284	0	
243.4	-0.01541812	0	
243.6	-0.01580295	0	
243.8	-0.01652129	0	
244	-0.01688295	0	
244.2	-0.0171441	0	
244.4	-0.01801115	0	
244.6	-0.01850323	0	
244.8	-0.0184946	0	
245	-0.01892045	0	
245.2	-0.01926499	0	
245.4	-0.01949011	0	
245.6	-0.01963866	0	
245.8	-0.0203212	0	
246	-0.0210129	0	
246.2	-0.02136905	0	
246.4	-0.02232995	0	
246.6	-0.02284148	0	
246.8	-0.02298061	0	
247	-0.02326562	0	
247.2	-0.02362499	0	
247.4	-0.02406803	0	
247.6	-0.0245713	0	
247.8	-0.02507343	0	
248	-0.02547496	0	
248.2	-0.02560681	0	
248.4	-0.02606762	0	
248.6	-0.02597329	0	
248.8	-0.02591272	0	
249	-0.02613864	0	
249.2	-0.02630331	0	
249.4	-0.02625017	0	
249.6	-0.02623818	0	
249.8	-0.02637862	0	
250	-0.02643271	0	
250.2	-0.02656712	0	
250.4	-0.02692704	0	
250.6	-0.02700421	0	
250.8	-0.02714179	0	
251	-0.02756717	0	
251.2	-0.02798002	0	
251.4	-0.02827233	0	
251.6	-0.0284895	0	
251.8	-0.02862899	0	
252	-0.02871728	0	
252.2	-0.02886837	0	
252.4	-0.02943847	0	
252.6	-0.0295029	0	
252.8	-0.03002501	0	
253	-0.0303245	0	
253.2	-0.0306957	0	
253.4	-0.03058375	0	
253.6	-0.03088009	0	
253.8	-0.03106452	0	
254	-0.03118835	0	
254.2	-0.0312926	0	
254.4	-0.03162296	0	
254.6	-0.03207231	0	
254.8	-0.032058	0	
255	-0.03208283	0	
255.2	-0.03209451	0	
255.4	-0.03178382	0	
255.6	-0.03156705	0	
255.8	-0.03145014	0	
256	-0.03157732	0	
256.2	-0.0319774	0	
256.4	-0.03234834	0	
256.6	-0.03223149	0	
256.8	-0.03239624	0	
257	-0.03267705	0	
257.2	-0.03284385	0	
257.4	-0.03283425	0	
257.6	-0.03285191	0	
257.8	-0.03327599	0	
258	-0.03324298	0	
258.2	-0.03322777	0	
258.4	-0.03365493	0	
258.6	-0.03343736	0	
258.8	-0.03328827	0	
259	-0.03316073	0	
259.2	-0.03342781	0	
259.4	-0.03342734	0	
259.6	-0.03358713	0	
259.8	-0.03359376	0	
260	-0.0338405	0	
260.2	-0.03400514	0	
260.4	-0.03422756	0	
260.6	-0.03420178	0	
260.8	-0.03412863	0	
261	-0.03387269	0	
261.2	-0.03342384	0	
261.4	-0.0334531	0	
261.6	-0.03351669	0	
261.8	-0.03351773	0	
262	-0.03334176	0	
262.2	-0.03325066	0	
262.4	-0.03338608	0	
262.6	-0.03324651	0	
262.8	-0.03387397	0	
263	-0.0340121	0	
263.2	-0.03407655	0	
263.4	-0.03400842	0	
263.6	-0.03413418	0	
263.8	-0.03404652	0	
264	-0.03428636	0	
264.2	-0.03452335	0	
264.4	-0.03467065	0	
264.6	-0.03487819	0	
264.8	-0.03465747	0	
265	-0.03444979	0	
265.2	-0.03486618	0	
265.4	-0.03527556	0	
265.6	-0.0354474	0	
265.8	-0.03558983	0	
266	-0.03576698	0	
266.2	-0.03587448	0	
266.4	-0.036204	0	
266.6	-0.03637999	0	
266.8	-0.03668261	0	
267	-0.03644118	0	
267.2	-0.0359715	0	
267.4	-0.03617826	0	
267.6	-0.03604334	0	
267.8	-0.03604666	0	
268	-0.03579428	0	
268.2	-0.03579706	0	
268.4	-0.03603015	0	
268.6	-0.03632944	0	
268.8	-0.0357402	0	
269	-0.03567172	0	
269.2	-0.03591254	0	
269.4	-0.03574595	0	
269.6	-0.03563698	0	
269.8	-0.03544466	0	
270	-0.03536684	0	
270.2	-0.03569073	0	
270.4	-0.03617139	0	
270.6	-0.0364345	0	
270.8	-0.03641354	0	
271	-0.03670415	0	
271.2	-0.03686009	0	
271.4	-0.03712838	0	
271.6	-0.03683663	0	
271.8	-0.03700361	0	
272	-0.03674903	0	
272.2	-0.03724584	0	
272.4	-0.03746798	0	
272.6	-0.03741947	0	
272.8	-0.0370617	0	
273	-0.03742305	0	
273.2	-0.03756837	0	
273.4	-0.03756105	0	
273.6	-0.0375118	0	
273.8	-0.03749226	0	
274	-0.03817039	0	
274.2	-0.0386236	0	
274.4	-0.03830517	0	
274.6	-0.03819469	0	
274.8	-0.03808064	0	
275	-0.03811207	0	
275.2	-0.03768867	0	
275.4	-0.03731847	0	
275.6	-0.03691713	0	
275.8	-0.03698869	0	
276	-0.03653299	0	
276.2	-0.03662013	0	
276.4	-0.03612031	0	
276.6	-0.03598693	0	
276.8	-0.03580495	0	
277	-0.03607061	0	
277.2	-0.03581706	0	
277.4	-0.03589069	0	
277.6	-0.03606141	0	
277.8	-0.0362514	0	
278	-0.03684374	0	
278.2	-0.03675971	0	
278.4	-0.0366926	0	
278.6	-0.03702819	0	
278.8	-0.03718508	0	
279	-0.03745571	0	
279.2	-0.03763937	0	
279.4	-0.03769147	0	
279.6	-0.03792139	0	
279.8	-0.03795299	0	
280	-0.03776235	0	
280.2	-0.03789325	0	
280.4	-0.03772958	0	
280.6	-0.03769849	0	
280.8	-0.03752807	0	
281	-0.0373358	0	
281.2	-0.03679182	0	
281.4	-0.03695164	0	
281.6	-0.03675037	0	
281.8	-0.03673915	0	
282	-0.03668505	0	
282.2	-0.036621	0	
282.4	-0.03680995	0	
282.6	-0.03669331	0	
282.8	-0.0368009	0	
283	-0.03707838	0	
283.2	-0.03683798	0	
283.4	-0.03676828	0	
283.6	-0.03724117	0	
283.8	-0.0371754	0	
284	-0.03725592	0	
284.2	-0.03765797	0	
284.4	-0.03752714	0	
284.6	-0.03753244	0	
284.8	-0.03746844	0	
285	-0.03714316	0	
285.2	-0.03709118	0	
285.4	-0.03707956	0	
285.6	-0.03685281	0	
285.8	-0.03692489	0	
286	-0.03703006	0	
286.2	-0.03703529	0	
286.4	-0.0369117	0	
286.6	-0.03693132	0	
286.8	-0.03686643	0	
287	-0.03702232	0	
287.2	-0.03669056	0	
287.4	-0.03671787	0	
287.6	-0.0367856	0	
287.8	-0.03683169	0	
288	-0.0371263	0	
288.2	-0.03723968	0	
288.4	-0.03701151	0	
288.6	-0.03699016	0	
288.8	-0.03688215	0	
289	-0.03693051	0	
289.2	-0.03701915	0	
289.4	-0.03687072	0	
289.6	-0.03696606	0	
289.8	-0.03711508	0	
290	-0.03705847	0	
290.2	-0.03689304	0	
290.4	-0.03700834	0	
290.6	-0.03699404	0	
290.8	-0.03681273	0	
291	-0.03686279	0	
291.2	-0.03658709	0	
291.4	-0.0368602	0	
291.6	-0.03726749	0	
291.8	-0.03747497	0	
292	-0.03781459	0	
292.2	-0.03770637	0	
292.4	-0.03798482	0	
292.6	-0.0382876	0	
292.8	-0.03847091	0	
293	-0.03876354	0	
293.2	-0.0387954	0	
293.4	-0.03855423	0	
293.6	-0.03892565	0	
293.8	-0.03896322	0	
294	-0.03870648	0	
294.2	-0.03892415	0	
294.4	-0.03865131	0	
294.6	-0.03847657	0	
294.8	-0.03822394	0	
295	-0.0383125	0	
295.2	-0.03833047	0	
295.4	-0.03828998	0	
295.6	-0.03814801	0	
295.8	-0.03804598	0	
296	-0.03795383	0	
296.2	-0.03799361	0	
296.4	-0.03799647	0	
296.6	-0.03810101	0	
296.8	-0.03791459	0	
297	-0.03811392	0	
297.2	-0.03793464	0	
297.4	-0.03781177	0	
297.6	-0.03827522	0	
297.8	-0.03826523	0	
298	-0.03819336	0	
298.2	-0.03830987	0	
298.4	-0.03848723	0	
298.6	-0.03871416	0	
298.8	-0.03872921	0	
299	-0.03845878	0	
299.2	-0.03846962	0	
299.4	-0.03871112	0	
299.6	-0.03866527	0	
299.8	-0.03906169	0	
300	-0.03880131	0	
300.2	-0.03890925	0	
300.4	-0.03887811	0	
300.6	-0.03906321	0	
300.8	-0.03916427	0	
301	-0.03909426	0	
301.2	-0.03854715	0	
301.4	-0.03858789	0	
301.6	-0.03831163	0	
301.8	-0.03807512	0	
302	-0.037968	0	
302.2	-0.03791632	0	
302.4	-0.03798832	0	
302.6	-0.03795403	0	
302.8	-0.03761041	0	
303	-0.03727897	0	
303.2	-0.03763983	0	
303.4	-0.03806818	0	
303.6	-0.03811219	0	
303.8	-0.03852513	0	
304	-0.03815797	0	
304.2	-0.03821633	0	
304.4	-0.03841329	0	
304.6	-0.03885857	0	
304.8	-0.03870345	0	
305	-0.03831885	0	
305.2	-0.03821166	0	
305.4	-0.03826721	0	
305.6	-0.03772696	0	
305.8	-0.03770706	0	
306	-0.0376348	0	
306.2	-0.0371841	0	
306.4	-0.03680812	0	
306.6	-0.03663386	0	
306.8	-0.03624966	0	
307	-0.0361764	0	
307.2	-0.03624212	0	
307.4	-0.03622305	0	
307.6	-0.03649345	0	
307.8	-0.03648459	0	
308	-0.03649348	0	
308.2	-0.03684186	0	
308.4	-0.0370822	0	
308.6	-0.03736618	0	
308.8	-0.03734192	0	
309	-0.03761523	0	
309.2	-0.0377584	0	
309.4	-0.03765314	0	
309.6	-0.03778428	0	
309.8	-0.03796062	0	
310	-0.03770396	0	
310.2	-0.03731635	0	
310.4	-0.03744785	0	
310.6	-0.03771327	0	
310.8	-0.03775475	0	
311	-0.03781399	0	
311.2	-0.03797221	0	
311.4	-0.03791463	0	
311.6	-0.03797699	0	
311.8	-0.03799993	0	
312	-0.03798919	0	
312.2	-0.03801731	0	
312.4	-0.03809557	0	
312.6	-0.0379494	0	
312.8	-0.03785709	0	
313	-0.03760229	0	
313.2	-0.03770381	0	
313.4	-0.03750558	0	
313.6	-0.03775516	0	
313.8	-0.03761164	0	
314	-0.03766932	0	
314.2	-0.03782263	0	
314.4	-0.03835036	0	
314.6	-0.0386027	0	
314.8	-0.03857547	0	
315	-0.03864773	0	
315.2	-0.03890455	0	
315.4	-0.03873367	0	
315.6	-0.03863398	0	
315.8	-0.03882734	0	
316	-0.03875172	0	
316.2	-0.03905769	0	
316.4	-0.03898667	0	
316.6	-0.03847354	0	
316.8	-0.03825413	0	
317	-0.03809207	0	
317.2	-0.03819896	0	
317.4	-0.03789029	0	
317.6	-0.03844494	0	
317.8	-0.03827864	0	
318	-0.03834799	0	
318.2	-0.03812175	0	
318.4	-0.03783784	0	
318.6	-0.03773861	0	
318.8	-0.03753261	0	
319	-0.03765065	0	
319.2	-0.03759929	0	
319.4	-0.03738982	0	
319.6	-0.03756587	0	
319.8	-0.03771631	0	
320	-0.03787587	0	
320.2	-0.03810653	0	
320.4	-0.03812681	0	
320.6	-0.03794334	0	
320.8	-0.03829219	0	
321	-0.0386849	0	
321.2	-0.03893458	0	
321.4	-0.03920347	0	
321.6	-0.03940259	0	
321.8	-0.03901465	0	
322	-0.03912948	0	
322.2	-0.03899598	0	
322.4	-0.03842005	0	
322.6	-0.03850995	0	
322.8	-0.03830832	0	
323	-0.03788142	0	
323.2	-0.03760532	0	
323.4	-0.03774544	0	
323.6	-0.03801095	0	
323.8	-0.03793121	0	
324	-0.03784381	0	
324.2	-0.03770552	0	
324.4	-0.03745761	0	
324.6	-0.03737381	0	
324.8	-0.03744761	0	
325	-0.03747718	0	
325.2	-0.03737627	0	
325.4	-0.03759504	0	
325.6	-0.03757227	0	
325.8	-0.03790687	0	
326	-0.0381717	0	
326.2	-0.03780419	0	
326.4	-0.03747089	0	
326.6	-0.03763543	0	
326.8	-0.03780431	0	
327	-0.03764822	0	
327.2	-0.03822204	0	
327.4	-0.0384293	0	
327.6	-0.03857924	0	
327.8	-0.03850187	0	
328	-0.03835235	0	
328.2	-0.03818164	0	
328.4	-0.0378994	0	
328.6	-0.038188	0	
328.8	-0.03799566	0	
329	-0.03809013	0	
329.2	-0.03797042	0	
329.4	-0.03809552	0	
329.6	-0.03820173	0	
329.8	-0.03831128	0	
330	-0.03811505	0	
330.2	-0.03796689	0	
330.4	-0.03800621	0	
330.6	-0.03809936	0	
330.8	-0.03828756	0	
331	-0.03829383	0	
331.2	-0.03820387	0	
331.4	-0.03821633	0	
331.6	-0.03827669	0	
331.8	-0.03833832	0	
332	-0.03834291	0	
332.2	-0.03847889	0	
332.4	-0.03849878	0	
332.6	-0.03861277	0	
332.8	-0.03861689	0	
333	-0.03870155	0	
333.2	-0.03888816	0	
333.4	-0.03903947	0	
333.6	-0.03917626	0	
333.8	-0.03906436	0	
334	-0.0391715	0	
334.2	-0.03952977	0	
334.4	-0.03926199	0	
334.6	-0.03932624	0	
334.8	-0.03893087	0	
335	-0.03886701	0	
335.2	-0.0385588	0	
335.4	-0.03855034	0	
335.6	-0.0384349	0	
335.8	-0.03845075	0	
336	-0.03857076	0	
336.2	-0.03890502	0	
336.4	-0.03895493	0	
336.6	-0.03897242	0	
336.8	-0.03890993	0	
337	-0.0390252	0	
337.2	-0.03919613	0	
337.4	-0.03914234	0	
337.6	-0.03912897	0	
337.8	-0.03915716	0	
338	-0.03944957	0	
338.2	-0.03976119	0	
338.4	-0.03943018	0	
338.6	-0.03974462	0	
338.8	-0.03949644	0	
339	-0.03978534	0	
339.2	-0.03976909	0	
339.4	-0.03931093	0	
339.6	-0.03970208	0	
339.8	-0.0394822	0	
340	-0.03960685	0	
340.2	-0.0397772	0	
340.4	-0.03963438	0	
340.6	-0.03960877	0	
340.8	-0.03944402	0	
341	-0.03950714	0	
341.2	-0.03951212	0	
341.4	-0.03931364	0	
341.6	-0.03941284	0	
341.8	-0.03947065	0	
342	-0.03959198	0	
342.2	-0.0396461	0	
342.4	-0.03963045	0	
342.6	-0.03969269	0	
342.8	-0.03944389	0	
343	-0.03945654	0	
343.2	-0.03879701	0	
343.4	-0.03853446	0	
343.6	-0.03823306	0	
343.8	-0.03769653	0	
344	-0.03768475	0	
344.2	-0.03749336	0	
344.4	-0.03746422	0	
344.6	-0.03765195	0	
344.8	-0.03779178	0	
345	-0.0376801	0	
345.2	-0.03785185	0	
345.4	-0.03793756	0	
345.6	-0.03835347	0	
345.8	-0.03838289	0	
346	-0.03869953	0	
346.2	-0.03906951	0	
346.4	-0.03944251	0	
346.6	-0.03963194	0	
346.8	-0.03967822	0	
347	-0.03996085	0	
347.2	-0.03983274	0	
347.4	-0.03968785	0	
347.6	-0.03937358	0	
347.8	-0.03976385	0	
348	-0.03983482	0	
348.2	-0.03975661	0	
348.4	-0.03992231	0	
348.6	-0.04021566	0	
348.8	-0.03992488	0	
349	-0.03945917	0	
349.2	-0.03934887	0	
349.4	-0.0391583	0	
349.6	-0.03925096	0	
349.8	-0.03935522	0	
350	-0.03942483	0	
350.2	-0.03942575	0	
350.4	-0.03927459	0	
350.6	-0.03915774	0	
350.8	-0.03912805	0	
351	-0.039459	0	
351.2	-0.03923104	0	
351.4	-0.03884176	0	
351.6	-0.03904925	0	
351.8	-0.03913918	0	
352	-0.03884377	0	
352.2	-0.03901028	0	
352.4	-0.03893835	0	
352.6	-0.03871129	0	
352.8	-0.03855564	0	
353	-0.03833112	0	
353.2	-0.03844192	0	
353.4	-0.03850167	0	
353.6	-0.03847694	0	
353.8	-0.03853479	0	
354	-0.03858792	0	
354.2	-0.03837695	0	
354.4	-0.03820222	0	
354.6	-0.03788885	0	
354.8	-0.03780344	0	
355	-0.03782399	0	
355.2	-0.03749896	0	
355.4	-0.03749129	0	
355.6	-0.03722784	0	
355.8	-0.03720656	0	
356	-0.03745628	0	
356.2	-0.03761667	0	
356.4	-0.03739938	0	
356.6	-0.03784041	0	
356.8	-0.03816314	0	
357	-0.03811524	0	
357.2	-0.03841706	0	
357.4	-0.03811372	0	
357.6	-0.038	0	
357.8	-0.03796462	0	
358	-0.0377224	0	
358.2	-0.03721002	0	
358.4	-0.03689883	0	
358.6	-0.03651519	0	
358.8	-0.03651158	0	
359	-0.03651176	0	
359.2	-0.03646769	0	
359.4	-0.03655981	0	
359.6	-0.036438	0	
359.8	-0.03677734	0	
360	-0.03447638	0	
360.2	-0.03321272	0	
360.4	-0.0319118	0	
360.6	-0.0305642	0	
360.8	-0.02893941	0	
361	-0.02759456	0	
361.2	-0.02579806	0	
361.4	-0.02424408	0	
361.6	-0.02274168	0	
361.8	-0.02134134	0	
362	-0.0201288	0	
362.2	-0.01894871	0	
362.4	-0.01784426	0	
362.6	-0.01682958	0	
362.8	-0.01581555	0	
363	-0.01496947	0	
363.2	-0.01397088	0	
363.4	-0.01305045	0	
363.6	-0.01214522	0	
363.8	-0.0115244	0	
364	-0.01103735	0	
364.2	-0.01046205	0	
364.4	-0.01021095	0	
364.6	-0.00983137	0	
364.8	-0.00968694	0	
365	-0.00980167	0	
365.2	-0.00972912	0	
365.4	-0.00989995	0	
365.6	-0.00971397	0	
365.8	-0.00950717	0	
366	-0.00911065	0	
366.2	-0.00852847	0	
366.4	-0.00797429	0	
366.6	-0.00737246	0	
366.8	-0.00660505	0	
367	-0.00600639	0	
367.2	-0.005456	0	
367.4	-0.00448301	0	
367.6	-0.00351679	0	
367.8	-0.00282525	0	
368	-0.0020124	0	
368.2	-0.00161073	0	
368.4	-0.00115406	0	
368.6	-0.00073761	0	
368.8	-0.00062354	0	
369	-0.00038529	0	
369.2	-0.00049477	0	
369.4	-0.00031399	0	
369.6	0.00002305	0	
369.8	-0.00034145	0	
370	-0.00024701	0	
370.2	-0.00014469	0	
370.4	0.00005731	0	
370.6	-0.00013971	0	
370.8	-0.00011368	0	
371	-0.00026918	0	
371.2	0.00001031	0	
371.4	0.00044515	0	
371.6	0.00082105	0	
371.8	0.00089008	0	
372	0.00113891	0	
372.2	0.00101789	0	
372.4	0.0012808	0	
372.6	0.00150339	0	
372.8	0.00186012	0	
373	0.00243171	0	
373.2	0.00240153	0	
373.4	0.00255041	0	
373.6	0.00262363	0	
373.8	0.00239183	0	
374	0.00281619	0	
374.2	0.00294695	0	
374.4	0.00271073	0	
374.6	0.0023488	0	
374.8	0.00217819	0	
375	0.00235267	0	
375.2	0.00257189	0	
375.4	0.00290169	0	
375.6	0.0029229	0	
375.8	0.00274372	0	
376	0.00270542	0	
376.2	0.00272159	0	
376.4	0.00303573	0	
376.6	0.00340266	0	
376.8	0.00381398	0	
377	0.00391141	0	
377.2	0.00383902	0	
377.4	0.00411677	0	
377.6	0.00428639	0	
377.8	0.00486402	0	
378	0.00482257	0	
378.2	0.00488206	0	
378.4	0.004745	0	
378.6	0.00498243	0	
378.8	0.00483594	0	
379	0.00505638	0	
379.2	0.00499556	0	
379.4	0.00499992	0	
379.6	0.0047944	0	
379.8	0.00477574	0	
380	0.00482191	0	
380.2	0.00479504	0	
380.4	0.00469071	0	
380.6	0.00465183	0	
380.8	0.00456186	0	
381	0.00427431	0	
381.2	0.00460199	0	
381.4	0.00446148	0	
381.6	0.00459071	0	
381.8	0.00453245	0	
382	0.00458694	0	
382.2	0.00481268	0	
382.4	0.00493085	0	
382.6	0.00513888	0	
382.8	0.00496319	0	
383	0.00511291	0	
383.2	0.00513474	0	
383.4	0.00525912	0	
383.6	0.00551781	0	
383.8	0.00577507	0	
384	0.0056075	0	
384.2	0.00541778	0	
384.4	0.0055039	0	
384.6	0.00563592	0	
384.8	0.00533756	0	
385	0.00540673	0	
385.2	0.00581978	0	
385.4	0.00551413	0	
385.6	0.00576812	0	
385.8	0.00578071	0	
386	0.00626301	0	
386.2	0.00638589	0	
386.4	0.00677356	0	
386.6	0.00692713	0	
386.8	0.00697016	0	
387	0.00704697	0	
387.2	0.00700042	0	
387.4	0.00684354	0	
387.6	0.00677722	0	
387.8	0.00673078	0	
388	0.00647917	0	
388.2	0.00633545	0	
388.4	0.00674352	0	
388.6	0.00636885	0	
388.8	0.00634519	0	
389	0.00682029	0	
389.2	0.00688332	0	
389.4	0.00668587	0	
389.6	0.00682248	0	
389.8	0.00679623	0	
390	0.00680168	0	
390.2	0.00698825	0	
390.4	0.00681699	0	
390.6	0.00647086	0	
390.8	0.00638941	0	
391	0.00594635	0	
391.2	0.00587685	0	
391.4	0.00569547	0	
391.6	0.00590974	0	
391.8	0.00602585	0	
392	0.00614388	0	
392.2	0.00619978	0	
392.4	0.00653951	0	
392.6	0.00617182	0	
392.8	0.00639335	0	
393	0.00622812	0	
393.2	0.00600358	0	
393.4	0.00633277	0	
393.6	0.00622658	0	
393.8	0.00579116	0	
394	0.00577202	0	
394.2	0.00587953	0	
394.4	0.0058833	0	
394.6	0.00600645	0	
394.8	0.00620999	0	
395	0.00625773	0	
395.2	0.00645134	0	
395.4	0.00670142	0	
395.6	0.00677105	0	
395.8	0.00701785	0	
396	0.00712056	0	
396.2	0.00742292	0	
396.4	0.00785678	0	
396.6	0.00771761	0	
396.8	0.00750286	0	
397	0.00716308	0	
397.2	0.00694148	0	
397.4	0.00686441	0	
397.6	0.00641136	0	
