Conc1	5.72E-08	
Start1	300	
Stop1	539.8	
Kobs	1.56524802456383E-17	
Error Kobs	23563907851364.1	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	0.00000368	0	
300.2	-0.00140072	0	
300.4	-0.00335994	0	
300.6	-0.00510945	0	
300.8	-0.00668959	0	
301	-0.00862718	0	
301.2	-0.01039422	0	
301.4	-0.01204102	0	
301.6	-0.01318956	0	
301.8	-0.01403295	0	
302	-0.0142686	0	
302.2	-0.0143114	0	
302.4	-0.01464387	0	
302.6	-0.01514036	0	
302.8	-0.01522168	0	
303	-0.01533218	0	
303.2	-0.01576555	0	
303.4	-0.01582711	0	
303.6	-0.01594297	0	
303.8	-0.01608835	0	
304	-0.01670034	0	
304.2	-0.0165437	0	
304.4	-0.01711702	0	
304.6	-0.01716562	0	
304.8	-0.01738432	0	
305	-0.01812236	0	
305.2	-0.01815353	0	
305.4	-0.01831382	0	
305.6	-0.01819599	0	
305.8	-0.01795118	0	
306	-0.01834679	0	
306.2	-0.01900108	0	
306.4	-0.01938856	0	
306.6	-0.01953197	0	
306.8	-0.01963073	0	
307	-0.0197609	0	
307.2	-0.01998528	0	
307.4	-0.0201131	0	
307.6	-0.02054555	0	
307.8	-0.02077408	0	
308	-0.02121268	0	
308.2	-0.02123367	0	
308.4	-0.02138654	0	
308.6	-0.02147761	0	
308.8	-0.02160199	0	
309	-0.0217307	0	
309.2	-0.02128235	0	
309.4	-0.02150474	0	
309.6	-0.02139427	0	
309.8	-0.02168647	0	
310	-0.0225002	0	
310.2	-0.02270588	0	
310.4	-0.02294719	0	
310.6	-0.0231065	0	
310.8	-0.02352062	0	
311	-0.02369808	0	
311.2	-0.02385145	0	
311.4	-0.0240372	0	
311.6	-0.02461339	0	
311.8	-0.02424401	0	
312	-0.02445214	0	
312.2	-0.02447907	0	
312.4	-0.02426399	0	
312.6	-0.02429311	0	
312.8	-0.02439885	0	
313	-0.02420847	0	
313.2	-0.02376808	0	
313.4	-0.0238693	0	
