Conc1	3.33E-08	
Start1	240	
Stop1	479.8	
Kobs	5.05436989333192E-12	
Error Kobs	18545893305851.7	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	-0.00567422	0	
240.2	-0.00586159	0	
240.4	-0.00623752	0	
240.6	-0.0063767	0	
240.8	-0.00647083	0	
241	-0.00706579	0	
241.2	-0.00784339	0	
241.4	-0.00837114	0	
241.6	-0.00894228	0	
241.8	-0.00934342	0	
242	-0.00984794	0	
242.2	-0.01012459	0	
242.4	-0.01068784	0	
242.6	-0.01092947	0	
242.8	-0.01116556	0	
243	-0.01128441	0	
243.2	-0.01204071	0	
243.4	-0.0123779	0	
243.6	-0.01249521	0	
243.8	-0.01275378	0	
244	-0.01322522	0	
244.2	-0.01300163	0	
244.4	-0.01323955	0	
244.6	-0.01357999	0	
244.8	-0.01405747	0	
245	-0.01472216	0	
245.2	-0.01500516	0	
245.4	-0.01524801	0	
245.6	-0.0152324	0	
245.8	-0.01516369	0	
246	-0.01517285	0	
246.2	-0.01520894	0	
246.4	-0.01554295	0	
246.6	-0.01553704	0	
246.8	-0.01606631	0	
247	-0.01625009	0	
247.2	-0.01672202	0	
247.4	-0.01674667	0	
247.6	-0.01677443	0	
247.8	-0.016846	0	
248	-0.01702002	0	
248.2	-0.01661762	0	
248.4	-0.01711176	0	
248.6	-0.0174314	0	
248.8	-0.01707441	0	
249	-0.01687408	0	
249.2	-0.01672176	0	
249.4	-0.01684713	0	
249.6	-0.01648953	0	
249.8	-0.0164738	0	
250	-0.01650156	0	
250.2	-0.01691277	0	
250.4	-0.01674461	0	
250.6	-0.01692013	0	
250.8	-0.01720709	0	
251	-0.01685429	0	
251.2	-0.01724121	0	
251.4	-0.01713015	0	
251.6	-0.01711683	0	
251.8	-0.01721362	0	
252	-0.01743996	0	
252.2	-0.01748416	0	
252.4	-0.01787935	0	
252.6	-0.01770823	0	
252.8	-0.0173924	0	
253	-0.01760861	0	
253.2	-0.0177752	0	
253.4	-0.0180566	0	
253.6	-0.01805183	0	
253.8	-0.01808208	0	
254	-0.01806057	0	
254.2	-0.01833114	0	
254.4	-0.017881	0	
254.6	-0.01793965	0	
254.8	-0.01792919	0	
255	-0.01769569	0	
255.2	-0.01785691	0	
255.4	-0.0178332	0	
255.6	-0.01791529	0	
255.8	-0.01813721	0	
256	-0.01829789	0	
256.2	-0.01830156	0	
256.4	-0.01841109	0	
256.6	-0.01833967	0	
256.8	-0.01846627	0	
257	-0.01873614	0	
257.2	-0.01873229	0	
257.4	-0.01883193	0	
257.6	-0.0187066	0	
257.8	-0.01905662	0	
258	-0.01911522	0	
258.2	-0.01909665	0	
258.4	-0.01906424	0	
258.6	-0.0190279	0	
258.8	-0.01903788	0	
259	-0.0187468	0	
259.2	-0.01894124	0	
259.4	-0.01895196	0	
259.6	-0.0191948	0	
259.8	-0.01922477	0	
260	-0.01926416	0	
260.2	-0.01961913	0	
260.4	-0.019812	0	
260.6	-0.02034197	0	
260.8	-0.020663	0	
261	-0.02069622	0	
261.2	-0.02069108	0	
261.4	-0.02081704	0	
261.6	-0.02070946	0	
261.8	-0.02106046	0	
262	-0.02068772	0	
262.2	-0.02028113	0	
262.4	-0.02027406	0	
262.6	-0.02004931	0	
262.8	-0.01990717	0	
263	-0.01985267	0	
263.2	-0.01990236	0	
263.4	-0.01992173	0	
263.6	-0.02021614	0	
