Conc1	1E-07	
Start1	240	
Stop1	479.8	
Kobs	0.0016867676463781	
Error Kobs	9.85346487724176E-06	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.02667182	0	
240.2	0.02989045	0.00792346	
240.4	0.03405915	0.01581401	
240.6	0.03881696	0.02367178	
240.8	0.04445131	0.03149691	
241	0.05065428	0.03928954	
241.2	0.05714229	0.0470498	
241.4	0.06433529	0.05477782	
241.6	0.07164248	0.06247375	
241.8	0.07878551	0.0701377	
242	0.08608719	0.07776983	
242.2	0.09336144	0.08537025	
242.4	0.10059606	0.0929391	
242.6	0.10811528	0.10047651	
242.8	0.11513596	0.10798261	
243	0.12202286	0.11545753	
243.2	0.12874924	0.12290141	
243.4	0.13556521	0.13031436	
243.6	0.14240574	0.13769652	
243.8	0.1491777	0.14504802	
244	0.15569576	0.15236898	
244.2	0.16209321	0.15965953	
244.4	0.16870898	0.1669198	
244.6	0.17533895	0.17414991	
244.8	0.18203779	0.18134999	
245	0.18830232	0.18852016	
245.2	0.19472668	0.19566055	
245.4	0.20141358	0.20277128	
245.6	0.20792802	0.20985247	
245.8	0.21428258	0.21690425	
246	0.22079009	0.22392673	
246.2	0.22758441	0.23092005	
246.4	0.23419634	0.23788432	
246.6	0.24102186	0.24481965	
246.8	0.24725008	0.25172619	
247	0.25382609	0.25860403	
247.2	0.26019924	0.2654533	
247.4	0.26638665	0.27227413	
247.6	0.2725301	0.27906662	
247.8	0.27880965	0.2858309	
248	0.28508386	0.29256707	
248.2	0.29126556	0.29927527	
248.4	0.29782296	0.30595561	
248.6	0.30416618	0.31260819	
248.8	0.31054889	0.31923315	
249	0.31701425	0.32583058	
249.2	0.32355544	0.33240061	
249.4	0.32978978	0.33894335	
249.6	0.33585023	0.34545891	
249.8	0.34189786	0.35194741	
250	0.34761978	0.35840895	
250.2	0.35397435	0.36484366	
250.4	0.36005205	0.37125164	
250.6	0.36656993	0.377633	
250.8	0.37262676	0.38398785	
251	0.37868916	0.39031631	
251.2	0.3845679	0.39661848	
251.4	0.39052471	0.40289447	
251.6	0.39659395	0.40914439	
251.8	0.40266033	0.41536835	
252	0.40900603	0.42156646	
252.2	0.41514761	0.42773882	
252.4	0.42190434	0.43388555	
252.6	0.42811194	0.44000674	
252.8	0.43428547	0.44610251	
253	0.44021723	0.45217295	
253.2	0.44585403	0.45821818	
253.4	0.45144127	0.4642383	
253.6	0.45699194	0.47023342	
253.8	0.46272036	0.47620363	
254	0.4681277	0.48214904	
254.2	0.47400684	0.48806976	
254.4	0.47971915	0.49396588	
254.6	0.48566991	0.49983751	
254.8	0.49091157	0.50568475	
255	0.49647123	0.51150771	
255.2	0.50211234	0.51730647	
255.4	0.5082794	0.52308115	
255.6	0.51392561	0.52883184	
255.8	0.51979665	0.53455865	
256	0.52575613	0.54026167	
256.2	0.53192345	0.545941	
256.4	0.53797198	0.55159673	
256.6	0.54368868	0.55722898	
256.8	0.5492142	0.56283783	
257	0.55499129	0.56842338	
257.2	0.56048507	0.57398573	
257.4	0.56604844	0.57952498	
257.6	0.57151344	0.58504122	
257.8	0.5775637	0.59053454	
258	0.58327587	0.59600505	
258.2	0.58914731	0.60145283	
258.4	0.59468251	0.60687798	
258.6	0.60015319	0.6122806	
258.8	0.60543503	0.61766078	
259	0.61110057	0.62301861	
259.2	0.61676134	0.62835418	
259.4	0.62209307	0.63366759	
259.6	0.62723872	0.63895894	
259.8	0.63262079	0.6442283	
260	0.63810495	0.64947577	
260.2	0.64332607	0.65470145	
260.4	0.64863769	0.65990542	
260.6	0.65423831	0.66508777	
260.8	0.65920079	0.6702486	
261	0.66446728	0.67538799	
261.2	0.66983359	0.68050603	
261.4	0.67510534	0.68560282	
261.6	0.68038312	0.69067843	
261.8	0.68601588	0.69573296	
262	0.69105977	0.70076649	
262.2	0.69619842	0.70577912	
262.4	0.70111451	0.71077093	
262.6	0.70619339	0.71574199	
262.8	0.71142081	0.72069242	
263	0.71640997	0.72562227	
263.2	0.72149075	0.73053165	
263.4	0.72651978	0.73542064	
263.6	0.73173459	0.74028932	
263.8	0.73681193	0.74513778	
264	0.74177092	0.7499661	
264.2	0.74652393	0.75477436	
264.4	0.75188525	0.75956265	
264.6	0.75690053	0.76433105	
264.8	0.76132751	0.76907964	
265	0.7663521	0.77380851	
265.2	0.77147369	0.77851773	
265.4	0.77615122	0.7832074	
265.6	0.78096544	0.78787758	
265.8	0.78578626	0.79252837	
266	0.79044153	0.79715983	
266.2	0.79535952	0.80177206	
266.4	0.80025309	0.80636513	
266.6	0.80532391	0.81093913	
266.8	0.8105187	0.81549412	
267	0.81516651	0.82003019	
267.2	0.8199132	0.82454742	
267.4	0.82451018	0.82904589	
267.6	0.82923984	0.83352567	
267.8	0.83365554	0.83798684	
268	0.83818991	0.84242948	
268.2	0.84280334	0.84685367	
268.4	0.84757039	0.85125948	
268.6	0.85203148	0.85564699	
268.8	0.85630669	0.86001628	
269	0.86106625	0.86436742	
269.2	0.86568484	0.86870048	
269.4	0.87002678	0.87301554	
269.6	0.87417354	0.87731269	
269.8	0.87911248	0.88159198	
270	0.8839367	0.88585349	
270.2	0.88857119	0.89009731	
270.4	0.89311899	0.89432349	
270.6	0.8977763	0.89853213	
270.8	0.90219329	0.90272328	
271	0.9065204	0.90689702	
271.2	0.91085724	0.91105342	
271.4	0.91518599	0.91519256	
271.6	0.91969031	0.91931451	
271.8	0.92406765	0.92341933	
272	0.92828675	0.9275071	
272.2	0.93269886	0.9315779	
272.4	0.9368381	0.93563178	
272.6	0.94113862	0.93966883	
272.8	0.9455653	0.94368911	
273	0.94988976	0.94769269	
273.2	0.9542512	0.95167963	
273.4	0.95840388	0.95565002	
273.6	0.96229528	0.95960391	
273.8	0.9667441	0.96354139	
274	0.97062148	0.9674625	
274.2	0.97463133	0.97136733	
274.4	0.9789117	0.97525594	
274.6	0.98329144	0.97912839	
274.8	0.98748148	0.98298476	
275	0.99149301	0.98682512	
275.2	0.99557263	0.99064952	
275.4	0.99994867	0.99445803	
275.6	1.00448892	0.99825073	
275.8	1.00909012	1.00202767	
276	1.0132403	1.00578892	
276.2	1.01789254	1.00953455	
276.4	1.02191792	1.01326462	
276.6	1.0263712	1.01697919	
276.8	1.03066309	1.02067834	
277	1.03476938	1.02436212	
