Conc1	5.43E-08	
Start1	300	
Stop1	539.8	
Kobs	0.00288907853468211	
Error Kobs	2.65789386906956E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	-0.00181891	0	
300.2	0.00078323	0.00313525	
300.4	0.00383479	0.00626566	
300.6	0.00671802	0.00939123	
300.8	0.01016679	0.01251197	
301	0.01357277	0.01562788	
301.2	0.01699534	0.01873898	
301.4	0.02018249	0.02184528	
301.6	0.0232845	0.02494677	
301.8	0.02601719	0.02804346	
302	0.02838893	0.03113537	
302.2	0.02997199	0.03422251	
302.4	0.03251259	0.03730487	
302.6	0.03436501	0.04038247	
302.8	0.03679657	0.04345531	
303	0.03934499	0.0465234	
303.2	0.04230082	0.04958675	
303.4	0.0454651	0.05264536	
303.6	0.04866437	0.05569925	
303.8	0.05186059	0.05874842	
304	0.05512571	0.06179287	
304.2	0.05854858	0.06483262	
304.4	0.06168782	0.06786768	
304.6	0.06453545	0.07089804	
304.8	0.06802227	0.07392372	
305	0.07071475	0.07694472	
305.2	0.07346195	0.07996105	
305.4	0.07592803	0.08297272	
305.6	0.07813003	0.08597974	
305.8	0.08044044	0.0889821	
306	0.08296665	0.09197983	
306.2	0.08505737	0.09497293	
306.4	0.08798405	0.0979614	
306.6	0.09048077	0.10094525	
306.8	0.0934811	0.10392449	
307	0.09605604	0.10689912	
307.2	0.09877118	0.10986916	
307.4	0.1015926	0.1128346	
307.6	0.10437384	0.11579547	
307.8	0.10756921	0.11875175	
308	0.11008597	0.12170347	
308.2	0.11297213	0.12465063	
308.4	0.11565973	0.12759323	
308.6	0.11859883	0.13053128	
308.8	0.12167239	0.1334648	
309	0.12484354	0.13639377	
309.2	0.12804063	0.13931823	
309.4	0.13076191	0.14223816	
309.6	0.1337386	0.14515358	
309.8	0.1371613	0.14806449	
310	0.14032986	0.15097091	
310.2	0.14277833	0.15387283	
310.4	0.14614986	0.15677026	
310.6	0.14882766	0.15966322	
310.8	0.15187518	0.16255171	
311	0.15448116	0.16543574	
311.2	0.15711303	0.1683153	
311.4	0.15988138	0.17119042	
311.6	0.16255865	0.17406109	
311.8	0.16462857	0.17692733	
312	0.16671077	0.17978913	
312.2	0.17002583	0.18264651	
312.4	0.1726533	0.18549948	
312.6	0.17512774	0.18834804	
312.8	0.17780955	0.19119219	
313	0.18065082	0.19403195	
313.2	0.1829386	0.19686732	
313.4	0.18551875	0.19969831	
313.6	0.18807562	0.20252492	
313.8	0.19063713	0.20534717	
314	0.19223619	0.20816505	
314.2	0.19442126	0.21097857	
314.4	0.19729372	0.21378775	
314.6	0.19961297	0.21659259	
314.8	0.20262995	0.21939309	
315	0.20497265	0.22218926	
315.2	0.20780093	0.22498112	
315.4	0.21024244	0.22776865	
315.6	0.21257854	0.23055188	
315.8	0.21535889	0.23333081	
316	0.21861432	0.23610544	
316.2	0.22225586	0.23887579	
316.4	0.22556618	0.24164185	
316.6	0.22880937	0.24440363	
316.8	0.23180026	0.24716115	
317	0.23531506	0.24991441	
317.2	0.23832223	0.25266341	
317.4	0.24160003	0.25540816	
