Conc1	2E-08	
Start1	300	
Stop1	539.8	
Kobs	0.00119405508296519	
Error Kobs	0.000104094742100715	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	0.00660679	0	
300.2	0.00660996	0.0006582	
300.4	0.00697689	0.00131499	
300.6	0.0075465	0.0019704	
300.8	0.00910775	0.00262441	
301	0.01031414	0.00327703	
301.2	0.01194159	0.00392826	
301.4	0.01320778	0.00457812	
301.6	0.01466583	0.00522659	
301.8	0.0158527	0.00587368	
302	0.01689825	0.0065194	
302.2	0.0179303	0.00716375	
302.4	0.0187481	0.00780673	
302.6	0.01920097	0.00844835	
302.8	0.01937837	0.0090886	
303	0.01956575	0.00972749	
303.2	0.02020262	0.01036503	
303.4	0.02107421	0.01100121	
303.6	0.02191265	0.01163604	
303.8	0.02267589	0.01226952	
304	0.02317279	0.01290166	
304.2	0.02355427	0.01353245	
304.4	0.02469633	0.01416191	
304.6	0.02622949	0.01479002	
304.8	0.02824841	0.01541681	
305	0.02883991	0.01604226	
305.2	0.02976023	0.01666638	
305.4	0.02998461	0.01728918	
305.6	0.03043938	0.01791065	
305.8	0.03069399	0.01853081	
306	0.03122171	0.01914965	
306.2	0.03159517	0.01976717	
306.4	0.03184996	0.02038338	
306.6	0.03171432	0.02099828	
306.8	0.031635	0.02161188	
307	0.03135788	0.02222418	
307.2	0.03161127	0.02283517	
307.4	0.03156398	0.02344486	
307.6	0.03197214	0.02405327	
307.8	0.03278576	0.02466037	
308	0.0324084	0.02526619	
308.2	0.03264507	0.02587073	
308.4	0.03358303	0.02647397	
308.6	0.03453275	0.02707594	
308.8	0.03514971	0.02767663	
309	0.03616671	0.02827604	
309.2	0.03710199	0.02887418	
309.4	0.03769478	0.02947105	
309.6	0.03909921	0.03006665	
309.8	0.04004674	0.03066099	
310	0.04099795	0.03125406	
310.2	0.04117888	0.03184588	
310.4	0.04178664	0.03243644	
310.6	0.04200621	0.03302574	
310.8	0.04235882	0.03361379	
311	0.04277391	0.03420059	
311.2	0.04369816	0.03478615	
311.4	0.04404457	0.03537046	
311.6	0.04472552	0.03595354	
311.8	0.04495339	0.03653537	
312	0.04468852	0.03711597	
312.2	0.045873	0.03769533	
312.4	0.04645836	0.03827346	
312.6	0.04720713	0.03885037	
312.8	0.04794713	0.03942605	
313	0.04882269	0.04000051	
313.2	0.04877646	0.04057375	
313.4	0.04926541	0.04114577	
313.6	0.04989684	0.04171657	
313.8	0.04996413	0.04228617	
314	0.0496861	0.04285455	
314.2	0.0495193	0.04342172	
314.4	0.05005459	0.0439877	
314.6	0.0502571	0.04455247	
314.8	0.05089065	0.04511604	
315	0.05131714	0.04567841	
315.2	0.05172601	0.04623959	
315.4	0.05190575	0.04679957	
315.6	0.05223337	0.04735837	
315.8	0.05245057	0.04791598	
316	0.05352872	0.04847241	
316.2	0.05492429	0.04902765	
316.4	0.05577544	0.04958172	
316.6	0.05714857	0.0501346	
316.8	0.05781724	0.05068632	
317	0.05843831	0.05123686	
317.2	0.059165	0.05178623	
317.4	0.06022836	0.05233444	
