Conc1	1E-08	
Start1	300	
Stop1	539.8	
Kobs	0.00119405508296519	
Error Kobs	0.000104094742100715	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	0.00171784	0	
300.2	0.00251139	0.00011097	
300.4	0.00317342	0.0002218	
300.6	0.00380065	0.00033251	
300.8	0.0047087	0.00044308	
301	0.00504117	0.00055353	
301.2	0.00600968	0.00066384	
301.4	0.00663027	0.00077402	
301.6	0.00735014	0.00088408	
301.8	0.00800948	0.000994	
302	0.00883919	0.00110379	
302.2	0.00917307	0.00121346	
302.4	0.00967684	0.00132299	
302.6	0.01011517	0.00143239	
302.8	0.01010471	0.00154167	
303	0.01035512	0.00165081	
303.2	0.01033448	0.00175983	
303.4	0.01089092	0.00186872	
303.6	0.01087229	0.00197748	
303.8	0.0110826	0.00208611	
304	0.01110793	0.00219461	
304.2	0.01084369	0.00230298	
304.4	0.01082488	0.00241123	
304.6	0.01050879	0.00251935	
304.8	0.01088075	0.00262734	
305	0.01078808	0.0027352	
305.2	0.01140839	0.00284294	
305.4	0.01151214	0.00295054	
305.6	0.01156677	0.00305802	
305.8	0.01209253	0.00316538	
306	0.01287542	0.00327261	
306.2	0.01351774	0.00337971	
306.4	0.01402348	0.00348668	
306.6	0.01462136	0.00359353	
306.8	0.01532899	0.00370025	
307	0.01605543	0.00380684	
307.2	0.01620907	0.00391331	
307.4	0.01689817	0.00401965	
307.6	0.01693872	0.00412587	
307.8	0.01739733	0.00423196	
308	0.01742704	0.00433793	
308.2	0.01736726	0.00444377	
308.4	0.01755286	0.00454948	
308.6	0.01801252	0.00465508	
308.8	0.01865447	0.00476054	
309	0.01886399	0.00486588	
309.2	0.01869419	0.0049711	
309.4	0.01855166	0.00507619	
309.6	0.01795791	0.00518116	
309.8	0.0184417	0.00528601	
310	0.01809298	0.00539073	
310.2	0.01796638	0.00549532	
310.4	0.01786023	0.0055998	
310.6	0.01866465	0.00570415	
310.8	0.01896553	0.00580837	
311	0.01942529	0.00591248	
311.2	0.01984533	0.00601646	
311.4	0.01988145	0.00612031	
311.6	0.01964036	0.00622405	
311.8	0.02028097	0.00632766	
312	0.02014706	0.00643115	
312.2	0.02064144	0.00653452	
312.4	0.02114936	0.00663776	
312.6	0.02165276	0.00674089	
312.8	0.02198437	0.00684389	
313	0.02238593	0.00694677	
313.2	0.02255714	0.00704952	
313.4	0.02280771	0.00715216	
313.6	0.02210134	0.00725468	
313.8	0.0224816	0.00735707	
314	0.02228182	0.00745934	
314.2	0.02268784	0.0075615	
314.4	0.02342733	0.00766353	
314.6	0.02378054	0.00776544	
314.8	0.02362931	0.00786723	
315	0.02419078	0.0079689	
315.2	0.02416369	0.00807045	
315.4	0.02435746	0.00817188	
315.6	0.0248107	0.00827319	
315.8	0.02508806	0.00837438	
316	0.02509703	0.00847545	
316.2	0.02586819	0.0085764	
316.4	0.02592484	0.00867723	
316.6	0.02606803	0.00877795	
316.8	0.02654513	0.00887854	
317	0.02672093	0.00897901	
317.2	0.02684951	0.00907937	
317.4	0.02668394	0.00917961	
317.6	0.02616851	0.00927973	
317.8	0.02660025	0.00937973	
318	0.0269622	0.00947961	
318.2	0.0266526	0.00957938	
318.4	0.02649722	0.00967902	
318.6	0.02576447	0.00977855	
318.8	0.02614497	0.00987796	
319	0.02646364	0.00997726	
319.2	0.02635391	0.01007643	
319.4	0.02673458	0.01017549	
319.6	0.02695113	0.01027443	
319.8	0.02700902	0.01037326	
320	0.02756362	0.01047197	
320.2	0.02798885	0.01057056	
320.4	0.02763335	0.01066904	
320.6	0.02771552	0.01076739	
320.8	0.02749184	0.01086564	
321	0.02716654	0.01096376	
321.2	0.02722145	0.01106177	
321.4	0.02700791	0.01115967	
321.6	0.02682412	0.01125745	
321.8	0.02677798	0.01135511	
322	0.02691521	0.01145266	
322.2	0.02605244	0.01155009	
322.4	0.02629931	0.01164741	
322.6	0.02674488	0.01174461	
322.8	0.02746395	0.0118417	
323	0.02811452	0.01193867	
323.2	0.02854358	0.01203553	
323.4	0.02903071	0.01213228	
323.6	0.02976147	0.01222891	
323.8	0.02990546	0.01232542	
324	0.03050962	0.01242182	
324.2	0.03062217	0.01251811	
324.4	0.03075131	0.01261428	
324.6	0.03082779	0.01271034	
324.8	0.03077479	0.01280629	
325	0.03070926	0.01290212	
325.2	0.03112124	0.01299784	
325.4	0.03119982	0.01309345	
325.6	0.03125016	0.01318894	
325.8	0.03059096	0.01328433	
326	0.03066983	0.01337959	
326.2	0.03067889	0.01347475	
326.4	0.03051417	0.01356979	
326.6	0.03049576	0.01366472	
326.8	0.03034833	0.01375954	
327	0.0306108	0.01385425	
327.2	0.02998304	0.01394884	
327.4	0.02997863	0.01404333	
327.6	0.03024855	0.0141377	
327.8	0.03006577	0.01423196	
328	0.03053707	0.01432611	
328.2	0.03061053	0.01442014	
328.4	0.03101667	0.01451407	
328.6	0.03128862	0.01460788	
328.8	0.03164467	0.01470159	
329	0.0322562	0.01479518	
329.2	0.03284932	0.01488866	
329.4	0.03291496	0.01498204	
329.6	0.03235384	0.0150753	
329.8	0.03226954	0.01516845	
330	0.03233925	0.01526149	
330.2	0.0322451	0.01535442	
330.4	0.03153	0.01544724	
330.6	0.03189031	0.01553996	
330.8	0.03180299	0.01563256	
331	0.03173918	0.01572505	
331.2	0.03178944	0.01581744	
331.4	0.03217162	0.01590971	
331.6	0.0321585	0.01600188	
331.8	0.03210908	0.01609393	
332	0.03242421	0.01618588	
332.2	0.03257057	0.01627772	
332.4	0.03270179	0.01636945	
332.6	0.03291071	0.01646107	
332.8	0.03339152	0.01655259	
333	0.03371113	0.01664399	
333.2	0.03350971	0.01673529	
333.4	0.03381818	0.01682648	
333.6	0.03371481	0.01691756	
333.8	0.03424629	0.01700854	
334	0.03425091	0.0170994	
334.2	0.03445574	0.01719016	
334.4	0.03436133	0.01728082	
334.6	0.03471665	0.01737136	
334.8	0.03500104	0.0174618	
335	0.03523926	0.01755213	
335.2	0.0350634	0.01764235	
335.4	0.0346828	0.01773247	
335.6	0.03483647	0.01782248	
335.8	0.03506524	0.01791239	
336	0.0345196	0.01800219	
336.2	0.03413077	0.01809188	
336.4	0.03402961	0.01818147	
336.6	0.03422507	0.01827095	
336.8	0.03429445	0.01836032	
337	0.03444229	0.01844959	
337.2	0.03403267	0.01853876	
337.4	0.0345906	0.01862781	
337.6	0.03447148	0.01871677	
337.8	0.03481447	0.01880562	
338	0.03521034	0.01889436	
338.2	0.03558169	0.018983	
338.4	0.03599054	0.01907153	
338.6	0.03614785	0.01915996	
338.8	0.0364293	0.01924828	
339	0.03649377	0.0193365	
339.2	0.03635329	0.01942462	
339.4	0.03665753	0.01951263	
339.6	0.03692683	0.01960054	
339.8	0.03707931	0.01968834	
340	0.03625826	0.01977604	
340.2	0.03595739	0.01986364	
340.4	0.03645538	0.01995113	
340.6	0.03682323	0.02003852	
340.8	0.03697197	0.02012581	
341	0.03745149	0.02021299	
341.2	0.03738257	0.02030007	
341.4	0.03802161	0.02038705	
341.6	0.03833059	0.02047392	
341.8	0.03872305	0.02056069	
342	0.03908364	0.02064736	
342.2	0.03928586	0.02073393	
342.4	0.03915761	0.02082039	
342.6	0.03944455	0.02090676	
342.8	0.03987131	0.02099302	
343	0.03971994	0.02107917	
343.2	0.03902857	0.02116523	
343.4	0.03896572	0.02125118	
343.6	0.0385302	0.02133704	
343.8	0.03806915	0.02142279	
344	0.03711727	0.02150844	
344.2	0.0370784	0.02159399	
344.4	0.03779419	0.02167944	
344.6	0.03742812	0.02176478	
344.8	0.03763577	0.02185003	
345	0.03739873	0.02193517	
345.2	0.03677585	0.02202022	
345.4	0.03689958	0.02210516	
345.6	0.03673196	0.02219001	
345.8	0.03660555	0.02227475	
346	0.03704857	0.02235939	
346.2	0.03734617	0.02244394	
346.4	0.03811008	0.02252838	
346.6	0.03902773	0.02261272	
346.8	0.03927725	0.02269697	
347	0.039514	0.02278111	
347.2	0.03965649	0.02286516	
347.4	0.0400149	0.0229491	
347.6	0.03973649	0.02303295	
347.8	0.03961642	0.0231167	
348	0.03991762	0.02320035	
348.2	0.04081723	0.02328389	
348.4	0.04083953	0.02336735	
348.6	0.04067744	0.0234507	
348.8	0.04059808	0.02353395	
349	0.04016952	0.02361711	
349.2	0.03955217	0.02370016	
349.4	0.03977469	0.02378312	
349.6	0.03921488	0.02386598	
349.8	0.03942257	0.02394875	
350	0.0399844	0.02403141	
350.2	0.0398988	0.02411398	
350.4	0.03996073	0.02419645	
350.6	0.04013487	0.02427882	
350.8	0.04029719	0.0243611	
351	0.0403946	0.02444327	
351.2	0.0402354	0.02452535	
351.4	0.04066565	0.02460734	
351.6	0.04105153	0.02468922	
351.8	0.04144935	0.02477101	
352	0.04203686	0.02485271	
352.2	0.0420179	0.0249343	
352.4	0.04174309	0.0250158	
352.6	0.04213371	0.02509721	
352.8	0.04233805	0.02517852	
353	0.04255389	0.02525973	
353.2	0.04240168	0.02534084	
353.4	0.04299252	0.02542186	
353.6	0.04363785	0.02550279	
353.8	0.04372656	0.02558362	
354	0.04410547	0.02566435	
354.2	0.0433248	0.02574499	
354.4	0.04316418	0.02582553	
354.6	0.04318092	0.02590598	
354.8	0.04355197	0.02598633	
355	0.04347887	0.02606658	
355.2	0.04321165	0.02614675	
355.4	0.04332139	0.02622681	
355.6	0.04305903	0.02630679	
355.8	0.04279285	0.02638667	
356	0.04225537	0.02646645	
356.2	0.04134051	0.02654614	
356.4	0.04136946	0.02662573	
356.6	0.04144211	0.02670524	
356.8	0.04145134	0.02678464	
357	0.04152248	0.02686396	
357.2	0.04178684	0.02694318	
357.4	0.04241665	0.0270223	
357.6	0.04287775	0.02710134	
357.8	0.04294709	0.02718027	
358	0.04340764	0.02725912	
358.2	0.04348947	0.02733787	
358.4	0.04432076	0.02741653	
358.6	0.04433752	0.0274951	
358.8	0.04508244	0.02757357	
359	0.04509836	0.02765196	
359.2	0.04480445	0.02773024	
359.4	0.04548118	0.02780844	
359.6	0.04606602	0.02788654	
359.8	0.04633199	0.02796456	
360	0.04602694	0.02804247	
360.2	0.04581454	0.0281203	
360.4	0.04616368	0.02819804	
360.6	0.04591035	0.02827568	
360.8	0.04601104	0.02835323	
361	0.0461129	0.02843069	
361.2	0.04632021	0.02850806	
361.4	0.04646283	0.02858534	
361.6	0.04656952	0.02866252	
361.8	0.04665402	0.02873962	
362	0.04637071	0.02881662	
362.2	0.04651725	0.02889353	
362.4	0.04616145	0.02897035	
362.6	0.04572244	0.02904708	
362.8	0.04549647	0.02912372	
363	0.04519269	0.02920027	
363.2	0.04500013	0.02927673	
363.4	0.04492607	0.0293531	
363.6	0.04462437	0.02942938	
363.8	0.04513104	0.02950557	
364	0.04510951	0.02958166	
364.2	0.04537906	0.02965767	
364.4	0.04525637	0.02973359	
364.6	0.04517635	0.02980942	
364.8	0.04590259	0.02988516	
365	0.04586358	0.02996081	
365.2	0.0461311	0.03003637	
365.4	0.04580999	0.03011184	
365.6	0.04562036	0.03018722	
365.8	0.04529167	0.03026251	
366	0.0454263	0.03033772	
366.2	0.04548092	0.03041283	
366.4	0.04514687	0.03048786	
366.6	0.04511502	0.03056279	
366.8	0.04478178	0.03063764	
367	0.04462736	0.0307124	
367.2	0.04462463	0.03078707	
367.4	0.04480796	0.03086166	
367.6	0.04511085	0.03093615	
367.8	0.04628296	0.03101056	
368	0.04645195	0.03108488	
368.2	0.04676521	0.03115911	
368.4	0.04672875	0.03123325	
368.6	0.04723057	0.03130731	
368.8	0.04738914	0.03138128	
369	0.04731693	0.03145516	
369.2	0.04783293	0.03152895	
369.4	0.04784705	0.03160266	
369.6	0.04807612	0.03167628	
369.8	0.04844276	0.03174981	
370	0.04869655	0.03182326	
370.2	0.04886433	0.03189662	
370.4	0.0492705	0.03196989	
370.6	0.04923638	0.03204308	
370.8	0.04907381	0.03211618	
371	0.04874629	0.03218919	
371.2	0.04873202	0.03226211	
371.4	0.04832101	0.03233496	
371.6	0.04816636	0.03240771	
371.8	0.04789521	0.03248038	
372	0.0476309	0.03255296	
372.2	0.0476985	0.03262546	
372.4	0.04741115	0.03269787	
372.6	0.04714958	0.03277019	
372.8	0.04757764	0.03284243	
373	0.04810545	0.03291459	
373.2	0.04826702	0.03298666	
373.4	0.04805044	0.03305864	
373.6	0.04814377	0.03313054	
373.8	0.04836798	0.03320235	
374	0.04847079	0.03327408	
374.2	0.04918416	0.03334573	
374.4	0.0493433	0.03341729	
374.6	0.04878076	0.03348876	
374.8	0.04889583	0.03356015	
375	0.04839708	0.03363146	
375.2	0.0481414	0.03370268	
375.4	0.04765159	0.03377382	
375.6	0.04762594	0.03384487	
375.8	0.04715887	0.03391584	
376	0.04760822	0.03398673	
376.2	0.04755778	0.03405753	
376.4	0.04712237	0.03412825	
376.6	0.04734969	0.03419888	
376.8	0.04780219	0.03426944	
377	0.04753827	0.0343399	
377.2	0.04777069	0.03441029	
377.4	0.04795096	0.03448059	
377.6	0.04840431	0.03455081	
377.8	0.04890563	0.03462094	
378	0.0492183	0.034691	
378.2	0.04962505	0.03476097	
378.4	0.0497107	0.03483085	
378.6	0.04976064	0.03490066	
378.8	0.04989632	0.03497038	
379	0.04951954	0.03504002	
379.2	0.04952012	0.03510958	
379.4	0.04916203	0.03517905	
379.6	0.04896821	0.03524845	
379.8	0.04898471	0.03531776	
380	0.04937095	0.03538699	
380.2	0.04913121	0.03545613	
380.4	0.04971792	0.0355252	
380.6	0.04997973	0.03559418	
380.8	0.0503624	0.03566309	
381	0.0505348	0.03573191	
381.2	0.0509902	0.03580065	
381.4	0.05112557	0.03586931	
381.6	0.05109137	0.03593788	
381.8	0.05145048	0.03600638	
382	0.05122373	0.03607479	
382.2	0.05115653	0.03614313	
382.4	0.05120332	0.03621138	
382.6	0.05116124	0.03627956	
382.8	0.05092753	0.03634765	
383	0.05073678	0.03641566	
383.2	0.05086041	0.03648359	
383.4	0.05039821	0.03655144	
383.6	0.05021801	0.03661921	
383.8	0.05009418	0.03668691	
384	0.05067062	0.03675452	
384.2	0.05025669	0.03682205	
384.4	0.05027019	0.0368895	
384.6	0.04989293	0.03695687	
384.8	0.05043886	0.03702416	
385	0.05043127	0.03709138	
385.2	0.04997854	0.03715851	
385.4	0.04972064	0.03722556	
385.6	0.04979649	0.03729254	
385.8	0.05047126	0.03735943	
386	0.05070972	0.03742625	
386.2	0.0510687	0.03749299	
386.4	0.05144908	0.03755964	
386.6	0.05158641	0.03762622	
386.8	0.05177049	0.03769273	
387	0.05201302	0.03775915	
387.2	0.05212377	0.03782549	
387.4	0.05220871	0.03789176	
387.6	0.05245151	0.03795794	
387.8	0.05233951	0.03802405	
388	0.05259026	0.03809008	
388.2	0.05200157	0.03815604	
388.4	0.05241701	0.03822191	
388.6	0.05292305	0.03828771	
388.8	0.05313896	0.03835343	
389	0.05310268	0.03841907	
389.2	0.05266985	0.03848463	
389.4	0.05306612	0.03855012	
389.6	0.05361998	0.03861553	
389.8	0.05365995	0.03868086	
390	0.0534579	0.03874612	
390.2	0.05305003	0.03881129	
390.4	0.05271693	0.03887639	
390.6	0.05225896	0.03894142	
390.8	0.05251726	0.03900637	
391	0.05253532	0.03907124	
391.2	0.05239258	0.03913603	
391.4	0.05227974	0.03920075	
391.6	0.05190477	0.03926539	
391.8	0.05138625	0.03932995	
392	0.05131775	0.03939444	
392.2	0.05186371	0.03945885	
392.4	0.05234999	0.03952318	
392.6	0.05235804	0.03958744	
392.8	0.05272083	0.03965163	
393	0.05339231	0.03971573	
393.2	0.05342096	0.03977977	
393.4	0.05319812	0.03984372	
393.6	0.05305513	0.0399076	
393.8	0.05261468	0.03997141	
394	0.05291079	0.04003514	
394.2	0.05306942	0.04009879	
394.4	0.05345671	0.04016237	
394.6	0.05376414	0.04022587	
394.8	0.05413868	0.0402893	
395	0.05435329	0.04035266	
395.2	0.05455162	0.04041593	
395.4	0.05434256	0.04047914	
395.6	0.05450236	0.04054227	
395.8	0.05460349	0.04060532	
396	0.05498398	0.0406683	
396.2	0.05507898	0.04073121	
396.4	0.05440554	0.04079404	
396.6	0.0548242	0.0408568	
396.8	0.05539846	0.04091948	
397	0.05504544	0.04098209	
397.2	0.05431657	0.04104463	
397.4	0.05384949	0.04110709	
397.6	0.0537342	0.04116947	
397.8	0.05397493	0.04123179	
398	0.05426636	0.04129403	
398.2	0.05430037	0.04135619	
398.4	0.0546134	0.04141829	
398.6	0.05493947	0.04148031	
398.8	0.05516795	0.04154225	
399	0.05553108	0.04160413	
399.2	0.05565069	0.04166593	
399.4	0.05525567	0.04172765	
399.6	0.05520664	0.04178931	
399.8	0.0550634	0.04185089	
400	0.05510158	0.0419124	
400.2	0.05469787	0.04197383	
400.4	0.05477245	0.0420352	
400.6	0.0554812	0.04209649	
400.8	0.05527542	0.0421577	
401	0.05515161	0.04221885	
401.2	0.05533736	0.04227992	
401.4	0.0558512	0.04234092	
401.6	0.05570851	0.04240185	
401.8	0.0564593	0.04246271	
402	0.05619935	0.0425235	
402.2	0.05597206	0.04258421	
402.4	0.05607492	0.04264485	
402.6	0.05592265	0.04270542	
402.8	0.05611606	0.04276592	
403	0.05604865	0.04282635	
403.2	0.05561824	0.0428867	
403.4	0.05501248	0.04294699	
403.6	0.05477219	0.0430072	
403.8	0.05503031	0.04306734	
404	0.05544908	0.04312741	
404.2	0.0550941	0.04318741	
404.4	0.05518923	0.04324734	
404.6	0.05559382	0.0433072	
404.8	0.05556804	0.04336699	
405	0.05633001	0.0434267	
405.2	0.05666398	0.04348635	
405.4	0.05731845	0.04354592	
405.6	0.05778036	0.04360543	
405.8	0.058192	0.04366486	
406	0.05742906	0.04372423	
406.2	0.05736956	0.04378352	
406.4	0.05770178	0.04384275	
406.6	0.05759365	0.0439019	
406.8	0.05827962	0.04396099	
407	0.05814344	0.04402	
407.2	0.05794628	0.04407895	
407.4	0.05783137	0.04413782	
407.6	0.05818016	0.04419663	
407.8	0.05834509	0.04425536	
408	0.05818711	0.04431403	
408.2	0.05758308	0.04437263	
408.4	0.05767999	0.04443116	
408.6	0.05756107	0.04448961	
408.8	0.05738771	0.044548	
409	0.05784677	0.04460633	
409.2	0.05857482	0.04466458	
409.4	0.05897072	0.04472276	
409.6	0.05897144	0.04478087	
409.8	0.058653	0.04483892	
410	0.05844186	0.0448969	
410.2	0.05879858	0.04495481	
410.4	0.0589955	0.04501265	
410.6	0.05866558	0.04507042	
410.8	0.0591256	0.04512812	
411	0.05893046	0.04518576	
411.2	0.05898956	0.04524332	
411.4	0.05900758	0.04530082	
411.6	0.0589634	0.04535825	
411.8	0.05892122	0.04541562	
412	0.05909777	0.04547291	
412.2	0.0589105	0.04553014	
412.4	0.05928195	0.0455873	
412.6	0.05894446	0.04564439	
412.8	0.05901276	0.04570142	
413	0.05965953	0.04575838	
