Conc1	3.33E-08	
Start1	240	
Stop1	479.8	
Kobs	7.13196876720899E-05	
Error Kobs	1.69025440704817E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.01884619	0	
240.2	0.02092843	0.00451275	
240.4	0.02348049	0.00901617	
240.6	0.02639344	0.0135103	
240.8	0.02949096	0.01799515	
241	0.03261537	0.02247074	
241.2	0.03615662	0.02693709	
241.4	0.0401223	0.03139422	
241.6	0.04401609	0.03584215	
241.8	0.04784323	0.04028089	
242	0.0515929	0.04471047	
242.2	0.05471042	0.0491309	
242.4	0.05798052	0.0535422	
242.6	0.06134955	0.0579444	
242.8	0.06504666	0.06233751	
243	0.06891799	0.06672154	
243.2	0.07243387	0.07109653	
243.4	0.07621787	0.07546248	
243.6	0.07994578	0.07981942	
243.8	0.08348835	0.08416736	
244	0.0872126	0.08850632	
244.2	0.09068564	0.09283633	
244.4	0.09453796	0.09715739	
244.6	0.09813036	0.10146954	
244.8	0.10129214	0.10577278	
245	0.10447842	0.11006713	
245.2	0.10835734	0.11435262	
245.4	0.11220741	0.11862926	
245.6	0.11580732	0.12289707	
245.8	0.11924066	0.12715607	
246	0.12245195	0.13140627	
246.2	0.12529425	0.1356477	
246.4	0.12840675	0.13988037	
246.6	0.13155963	0.14410431	
246.8	0.13527094	0.14831952	
247	0.13879106	0.15252603	
247.2	0.14230266	0.15672385	
247.4	0.14571736	0.16091301	
247.6	0.14921409	0.16509351	
247.8	0.15280411	0.16926539	
248	0.15622179	0.17342865	
248.2	0.15979505	0.17758331	
248.4	0.16343684	0.1817294	
248.6	0.16669515	0.18586693	
248.8	0.16976205	0.18999591	
249	0.17334907	0.19411637	
249.2	0.17680631	0.19822832	
249.4	0.18024617	0.20233178	
249.6	0.18399958	0.20642677	
249.8	0.18712486	0.2105133	
250	0.19032097	0.2145914	
250.2	0.19340068	0.21866107	
250.4	0.1964052	0.22272235	
250.6	0.19980605	0.22677524	
250.8	0.20313738	0.23081975	
251	0.20643527	0.23485592	
251.2	0.2097461	0.23888376	
251.4	0.21296154	0.24290328	
251.6	0.21641289	0.2469145	
251.8	0.21988445	0.25091744	
252	0.22309966	0.25491211	
252.2	0.2268031	0.25889853	
252.4	0.23041841	0.26287673	
252.6	0.23395219	0.26684671	
252.8	0.2372604	0.27080849	
253	0.24055255	0.2747621	
253.2	0.24396656	0.27870754	
253.4	0.24762103	0.28264483	
253.6	0.25088088	0.286574	
253.8	0.25427417	0.29049505	
254	0.25776579	0.29440801	
254.2	0.26115829	0.29831288	
254.4	0.26428471	0.3022097	
254.6	0.26751387	0.30609847	
254.8	0.27073214	0.30997921	
255	0.27411504	0.31385193	
255.2	0.27731676	0.31771667	
255.4	0.28093504	0.32157342	
255.6	0.28414329	0.32542221	
255.8	0.28755381	0.32926305	
256	0.29070214	0.33309596	
256.2	0.29433281	0.33692096	
256.4	0.29769807	0.34073806	
256.6	0.30086876	0.34454728	
256.8	0.30391261	0.34834863	
257	0.30688105	0.35214214	
257.2	0.31002358	0.35592781	
257.4	0.31306368	0.35970567	
257.6	0.31626546	0.36347572	
257.8	0.31990079	0.367238	
258	0.32300484	0.3709925	
258.2	0.32633424	0.37473925	
258.4	0.32944229	0.37847827	
258.6	0.33275464	0.38220957	
258.8	0.33612891	0.38593316	
259	0.33970096	0.38964906	
259.2	0.34314861	0.39335729	
259.4	0.34673279	0.39705787	
259.6	0.34996309	0.40075081	
259.8	0.35335186	0.40443612	
260	0.35659835	0.40811382	
260.2	0.36038911	0.41178392	
260.4	0.36384859	0.41544645	
260.6	0.36725858	0.41910142	
260.8	0.37063069	0.42274884	
261	0.37350705	0.42638873	
261.2	0.37678571	0.43002111	
261.4	0.3804389	0.43364598	
261.6	0.38372606	0.43726337	
261.8	0.38679618	0.4408733	
262	0.38994332	0.44447577	
262.2	0.39304651	0.4480708	
262.4	0.39616183	0.4516584	
262.6	0.39948335	0.4552386	
262.8	0.4025473	0.45881141	
263	0.4058482	0.46237684	
263.2	0.40875191	0.46593491	
263.4	0.4119098	0.46948564	
263.6	0.41514423	0.47302903	
263.8	0.41794948	0.47656511	
264	0.42141053	0.48009388	
264.2	0.42490657	0.48361537	
264.4	0.42800201	0.48712959	
264.6	0.43116144	0.49063655	
264.8	0.43404311	0.49413627	
265	0.43714891	0.49762877	
265.2	0.44091354	0.50111405	
265.4	0.44435475	0.50459214	
265.6	0.44732416	0.50806305	
265.8	0.45036406	0.51152679	
266	0.4534952	0.51498338	
266.2	0.45657718	0.51843283	
