Conc1	2.74E-08	
Start1	300	
Stop1	539.8	
Kobs	0.000638062978260801	
Error Kobs	2.40952193682383E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	0.00044452	0	
300.2	0.00261508	0.00270609	
300.4	0.00520705	0.00540939	
300.6	0.00842822	0.00810991	
300.8	0.01255859	0.01080765	
301	0.01705674	0.01350262	
301.2	0.02139946	0.01619482	
301.4	0.02596289	0.01888424	
301.6	0.03078903	0.0215709	
301.8	0.03524622	0.0242548	
302	0.03956308	0.02693593	
302.2	0.04350082	0.02961431	
302.4	0.0474445	0.03228993	
302.6	0.05126682	0.0349628	
302.8	0.05455191	0.03763291	
303	0.05783181	0.04030028	
303.2	0.06114283	0.04296491	
303.4	0.06450496	0.0456268	
303.6	0.06744932	0.04828594	
303.8	0.06997894	0.05094236	
304	0.07232399	0.05359604	
304.2	0.07496586	0.05624698	
304.4	0.07808754	0.05889521	
304.6	0.08141995	0.0615407	
304.8	0.08478536	0.06418348	
305	0.08789335	0.06682354	
305.2	0.09053827	0.06946088	
305.4	0.09353444	0.07209551	
305.6	0.09608923	0.07472742	
305.8	0.09851035	0.07735663	
306	0.10118409	0.07998314	
306.2	0.10339217	0.08260694	
306.4	0.10606238	0.08522804	
306.6	0.10858936	0.08784645	
306.8	0.11070623	0.09046217	
307	0.11267915	0.09307519	
307.2	0.11458718	0.09568552	
307.4	0.1163329	0.09829317	
307.6	0.11835194	0.10089814	
307.8	0.12051814	0.10350042	
308	0.12239202	0.10610003	
308.2	0.12522109	0.10869697	
308.4	0.12823737	0.11129123	
308.6	0.13100588	0.11388283	
308.8	0.13340512	0.11647176	
309	0.13650308	0.11905802	
309.2	0.1392176	0.12164162	
309.4	0.14201772	0.12422257	
309.6	0.144894	0.12680086	
309.8	0.14757223	0.1293765	
310	0.15048313	0.13194949	
310.2	0.15260764	0.13451983	
310.4	0.15565596	0.13708753	
310.6	0.15772537	0.13965259	
310.8	0.15994108	0.142215	
311	0.16187164	0.14477479	
311.2	0.16407375	0.14733193	
311.4	0.16617205	0.14988645	
311.6	0.16854947	0.15243834	
311.8	0.16997946	0.1549876	
312	0.17186153	0.15753425	
312.2	0.17500761	0.16007827	
312.4	0.1772435	0.16261967	
312.6	0.17931286	0.16515846	
312.8	0.18160419	0.16769464	
313	0.18380362	0.17022821	
313.2	0.18606499	0.17275917	
313.4	0.1889131	0.17528753	
313.6	0.19129628	0.17781329	
313.8	0.19345322	0.18033645	
314	0.19527505	0.18285701	
314.2	0.19700328	0.18537498	
314.4	0.1997621	0.18789036	
314.6	0.20173022	0.19040315	
314.8	0.20394602	0.19291336	
315	0.205891	0.19542099	
315.2	0.20799288	0.19792603	
315.4	0.21001991	0.2004285	
315.6	0.21195608	0.20292839	
315.8	0.21388122	0.20542572	
316	0.2167066	0.20792047	
316.2	0.21967404	0.21041265	
316.4	0.22196715	0.21290228	
316.6	0.22487017	0.21538934	
316.8	0.22729299	0.21787384	
317	0.22995152	0.22035579	
317.2	0.23297982	0.22283518	
317.4	0.23618722	0.22531202	
317.6	0.23855312	0.22778632	
317.8	0.24093335	0.23025807	
318	0.24257375	0.23272727	
318.2	0.24508005	0.23519394	
318.4	0.24726781	0.23765807	
318.6	0.24921968	0.24011966	
318.8	0.25140188	0.24257872	
319	0.25337533	0.24503525	
319.2	0.25561664	0.24748926	
319.4	0.25789811	0.24994074	
319.6	0.2600748	0.25238969	
319.8	0.26208943	0.25483613	
320	0.26453372	0.25728005	
320.2	0.26675442	0.25972146	
320.4	0.26909941	0.26216036	
320.6	0.27129052	0.26459674	
320.8	0.27310538	0.26703062	
321	0.27544883	0.269462	
321.2	0.27748381	0.27189087	
321.4	0.27994025	0.27431725	
321.6	0.28184563	0.27674113	
321.8	0.28378867	0.27916252	
322	0.28540798	0.28158141	
322.2	0.28747545	0.28399782	
322.4	0.28986553	0.28641174	
322.6	0.29199151	0.28882318	
322.8	0.29401725	0.29123213	
323	0.29625884	0.29363861	
323.2	0.29880459	0.29604262	
323.4	0.30079669	0.29844415	
323.6	0.30318216	0.3008432	
323.8	0.30544265	0.3032398	
324	0.3075946	0.30563392	
324.2	0.30976893	0.30802558	
324.4	0.31188952	0.31041479	
324.6	0.31427769	0.31280153	
324.8	0.31670471	0.31518582	
325	0.31897629	0.31756766	
325.2	0.32151301	0.31994704	
325.4	0.32398979	0.32232398	
325.6	0.32603111	0.32469847	
325.8	0.32788112	0.32707052	
326	0.32949043	0.32944013	
326.2	0.33166023	0.3318073	
326.4	0.33398923	0.33417204	
326.6	0.3352744	0.33653434	
326.8	0.33695534	0.33889422	
327	0.33928359	0.34125166	
327.2	0.34137417	0.34360668	
327.4	0.34341592	0.34595928	
327.6	0.34601997	0.34830946	
327.8	0.34795695	0.35065722	
328	0.34970897	0.35300256	
328.2	0.35236541	0.35534549	
328.4	0.3551005	0.35768602	
328.6	0.357861	0.36002413	
328.8	0.36014944	0.36235984	
329	0.36225292	0.36469314	
329.2	0.3645517	0.36702405	
329.4	0.36663437	0.36935256	
329.6	0.36839012	0.37167867	
329.8	0.37057273	0.37400239	
330	0.3724366	0.37632371	
330.2	0.37451752	0.37864265	
330.4	0.37664682	0.38095921	
330.6	0.3787705	0.38327338	
330.8	0.38096481	0.38558517	
331	0.3835477	0.38789458	
331.2	0.38557622	0.39020162	
331.4	0.38793485	0.39250628	
331.6	0.39039909	0.39480857	
331.8	0.39243634	0.3971085	
332	0.39495106	0.39940605	
332.2	0.39782796	0.40170125	
332.4	0.400206	0.40399408	
332.6	0.40221645	0.40628455	
332.8	0.40454764	0.40857267	
333	0.40633327	0.41085843	
333.2	0.40824789	0.41314185	
333.4	0.41021995	0.41542291	
333.6	0.41229109	0.41770162	
333.8	0.41416238	0.419978	
334	0.41535278	0.42225203	
