Conc1	3E-07	
Start1	240	
Stop1	479.8	
Kobs	0.00876706432728739	
Error Kobs	0.000105182779450335	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.06764714	0	
240.2	0.07708225	0.02337322	
240.4	0.08874719	0.04638136	
240.6	0.1023296	0.06903013	
240.8	0.11737217	0.09132514	
241	0.13410063	0.11327191	
241.2	0.15187004	0.13487588	
241.4	0.17070668	0.15614241	
241.6	0.18988486	0.17707678	
241.8	0.20938633	0.19768415	
242	0.22826229	0.21796966	
242.2	0.2463916	0.23793831	
242.4	0.2642041	0.25759507	
242.6	0.28124839	0.27694479	
242.8	0.29844743	0.29599229	
243	0.31579835	0.31474227	
243.2	0.33233081	0.33319939	
243.4	0.34876127	0.35136822	
243.6	0.36525156	0.36925327	
243.8	0.38160961	0.38685896	
244	0.39776613	0.40418966	
244.2	0.41416624	0.42124966	
244.4	0.43046176	0.43804319	
244.6	0.44618477	0.45457442	
244.8	0.46142106	0.47084744	
245	0.47654054	0.48686629	
245.2	0.49163102	0.50263492	
245.4	0.5066609	0.51815727	
245.6	0.52161736	0.53343716	
245.8	0.53646992	0.54847839	
246	0.55076006	0.56328468	
246.2	0.56557186	0.57785971	
246.4	0.58010246	0.59220708	
246.6	0.59382128	0.60633035	
246.8	0.60785768	0.62023303	
247	0.62161374	0.63391856	
247.2	0.63475777	0.64739032	
247.4	0.64801864	0.66065167	
247.6	0.6612298	0.67370587	
247.8	0.67396447	0.68655618	
248	0.68699963	0.69920578	
248.2	0.69944782	0.71165779	
248.4	0.71177352	0.72391532	
248.6	0.72373502	0.73598138	
248.8	0.73550021	0.74785898	
249	0.7476503	0.75955106	
249.2	0.75999849	0.77106052	
249.4	0.77172349	0.7823902	
249.6	0.78349204	0.79354292	
249.8	0.79474196	0.80452144	
250	0.80618751	0.81532849	
250.2	0.81750357	0.82596673	
250.4	0.82848178	0.83643881	
250.6	0.83928841	0.84674732	
250.8	0.85022309	0.85689482	
251	0.86099375	0.86688382	
251.2	0.87126008	0.8767168	
