Conc1	3E-07	
Start1	240	
Stop1	479.8	
Kobs	0.00398938283118634	
Error Kobs	5.22146019654848E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.0373491	0	
240.2	0.04032465	0.00732763	
240.4	0.0437656	0.01463838	
240.6	0.04767939	0.02193227	
240.8	0.05245202	0.02920935	
241	0.05720388	0.03646966	
241.2	0.06249735	0.04371323	
241.4	0.06818472	0.0509401	
241.6	0.07447227	0.05815032	
241.8	0.08022573	0.06534392	
242	0.08571219	0.07252093	
242.2	0.09093111	0.07968141	
242.4	0.0966767	0.08682538	
242.6	0.10235403	0.09395288	
242.8	0.10740499	0.10106395	
243	0.11357089	0.10815863	
243.2	0.11960686	0.11523696	
243.4	0.12543294	0.12229897	
243.6	0.13101922	0.12934471	
243.8	0.13660996	0.1363742	
244	0.14218944	0.1433875	
244.2	0.1475959	0.15038462	
244.4	0.15281193	0.15736562	
244.6	0.15828657	0.16433053	
244.8	0.16416316	0.17127938	
245	0.16994223	0.17821222	
245.2	0.1755539	0.18512907	
245.4	0.18122132	0.19202998	
245.6	0.1865751	0.19891499	
245.8	0.19161005	0.20578412	
246	0.19707961	0.21263743	
246.2	0.20285919	0.21947493	
246.4	0.20841029	0.22629668	
246.6	0.21395747	0.2331027	
246.8	0.21946705	0.23989303	
247	0.22547784	0.24666771	
247.2	0.23118621	0.25342678	
247.4	0.23714708	0.26017027	
247.6	0.24250193	0.26689821	
247.8	0.2478811	0.27361064	
248	0.25351848	0.28030761	
248.2	0.25909809	0.28698913	
248.4	0.26461531	0.29365526	
248.6	0.27058147	0.30030602	
248.8	0.27669478	0.30694145	
249	0.28246524	0.31356158	
249.2	0.28758632	0.32016646	
249.4	0.2932943	0.32675611	
249.6	0.29888271	0.33333057	
249.8	0.30494963	0.33988988	
250	0.31071913	0.34643407	
250.2	0.31631629	0.35296318	
250.4	0.32169328	0.35947723	
250.6	0.32756269	0.36597627	
250.8	0.33312573	0.37246033	
251	0.33894723	0.37892945	
251.2	0.34485551	0.38538365	
251.4	0.35070197	0.39182298	
251.6	0.35598465	0.39824746	
251.8	0.36137027	0.40465714	
252	0.36725166	0.41105204	
252.2	0.37297952	0.4174322	
252.4	0.3782594	0.42379765	
252.6	0.3842461	0.43014844	
252.8	0.38997289	0.43648458	
253	0.39522303	0.44280612	
253.2	0.40093741	0.44911309	
253.4	0.40676461	0.45540552	
