Conc1	3E-07	
Start1	240	
Stop1	479.8	
Kobs	0.0163548353441134	
Error Kobs	0.000114887357651816	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.00383542	0	
240.2	0.00483328	0.00145169	
240.4	0.00592094	0.00289319	
240.6	0.00736455	0.00432457	
240.8	0.00897973	0.0057459	
241	0.01078985	0.00715725	
241.2	0.01273063	0.00855869	
241.4	0.01493258	0.00995029	
241.6	0.01683642	0.01133213	
241.8	0.01889112	0.01270425	
242	0.020804	0.01406675	
242.2	0.02249108	0.01541968	
242.4	0.02479112	0.01676311	
242.6	0.02648952	0.01809711	
242.8	0.02803636	0.01942174	
243	0.02978428	0.02073707	
243.2	0.03151849	0.02204317	
243.4	0.0329368	0.02334009	
243.6	0.03442021	0.02462791	
243.8	0.03567155	0.02590669	
244	0.03687087	0.02717649	
244.2	0.03813394	0.02843738	
244.4	0.03948397	0.02968941	
244.6	0.04080326	0.03093265	
244.8	0.04198867	0.03216716	
245	0.04338896	0.03339301	
245.2	0.04480585	0.03461024	
245.4	0.04624823	0.03581894	
245.6	0.04731573	0.03701914	
245.8	0.04846134	0.03821092	
246	0.04939088	0.03939433	
246.2	0.05035655	0.04056944	
246.4	0.05164823	0.04173629	
246.6	0.05251914	0.04289495	
246.8	0.05380304	0.04404547	
247	0.05499659	0.04518792	
247.2	0.05591875	0.04632234	
247.4	0.05674982	0.0474488	
247.6	0.05758675	0.04856736	
247.8	0.05848642	0.04967805	
248	0.05912335	0.05078095	
248.2	0.0605247	0.05187611	
248.4	0.06189872	0.05296358	
248.6	0.06288172	0.05404341	
248.8	0.06416547	0.05511566	
249	0.0654693	0.05618038	
249.2	0.06658527	0.05723763	
249.4	0.06755576	0.05828745	
249.6	0.06823382	0.05932991	
249.8	0.06891346	0.06036504	
250	0.06935795	0.06139291	
250.2	0.06995956	0.06241355	
250.4	0.07084599	0.06342704	
250.6	0.07141643	0.06443341	
250.8	0.07230765	0.06543271	
251	0.07347506	0.06642499	
251.2	0.07407917	0.06741031	
251.4	0.07523476	0.06838871	
251.6	0.07592165	0.06936024	
251.8	0.07693998	0.07032495	
252	0.07794313	0.07128289	
252.2	0.07944168	0.0722341	
252.4	0.08049016	0.07317863	
252.6	0.08146734	0.07411653	
252.8	0.08272386	0.07504785	
