Conc1	1.145E-07	
Start1	300	
Stop1	539.8	
Kobs	8.01406988576681E-15	
Error Kobs	NaN	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	0.00117406	0	
300.2	-0.00103116	0	
300.4	-0.0031271	0	
300.6	-0.00536857	0	
300.8	-0.00725194	0	
301	-0.0090601	0	
301.2	-0.0105631	0	
301.4	-0.01200986	0	
301.6	-0.01315702	0	
301.8	-0.01406041	0	
302	-0.0146107	0	
302.2	-0.01443376	0	
302.4	-0.01462324	0	
302.6	-0.01483616	0	
302.8	-0.01516817	0	
303	-0.01560142	0	
303.2	-0.01610215	0	
303.4	-0.01678063	0	
303.6	-0.01686861	0	
303.8	-0.01709303	0	
304	-0.01719014	0	
304.2	-0.01753417	0	
304.4	-0.01792907	0	
304.6	-0.01798661	0	
304.8	-0.01782648	0	
305	-0.01773066	0	
305.2	-0.01825324	0	
305.4	-0.01870482	0	
305.6	-0.01906088	0	
305.8	-0.01961416	0	
306	-0.01991916	0	
306.2	-0.01994913	0	
306.4	-0.02038285	0	
306.6	-0.02067562	0	
306.8	-0.02062039	0	
307	-0.0209292	0	
307.2	-0.02110494	0	
307.4	-0.02135313	0	
307.6	-0.02136856	0	
307.8	-0.02138521	0	
308	-0.02166889	0	
308.2	-0.02204867	0	
308.4	-0.02195508	0	
308.6	-0.02174295	0	
308.8	-0.0218936	0	
309	-0.02213504	0	
309.2	-0.02303932	0	
309.4	-0.02306531	0	
309.6	-0.02345309	0	
309.8	-0.0238277	0	
310	-0.02394635	0	
310.2	-0.02417558	0	
310.4	-0.02435796	0	
310.6	-0.02458186	0	
310.8	-0.02447851	0	
311	-0.02471966	0	
311.2	-0.02491799	0	
311.4	-0.02493605	0	
311.6	-0.02483193	0	
311.8	-0.02465599	0	
312	-0.02467141	0	
312.2	-0.02442184	0	
312.4	-0.0242871	0	
312.6	-0.02413991	0	
312.8	-0.02423342	0	
313	-0.02437077	0	
313.2	-0.02464629	0	
313.4	-0.02458185	0	
313.6	-0.02469119	0	
313.8	-0.02472968	0	
314	-0.02486896	0	
314.2	-0.02509715	0	
314.4	-0.02524975	0	
314.6	-0.02577744	0	
314.8	-0.02571561	0	
315	-0.02606638	0	
315.2	-0.0262433	0	
315.4	-0.02584527	0	
315.6	-0.02580408	0	
315.8	-0.02589597	0	
316	-0.02606824	0	
316.2	-0.02617819	0	
316.4	-0.02609199	0	
316.6	-0.02599213	0	
316.8	-0.02626702	0	
317	-0.02641298	0	
317.2	-0.02650951	0	
317.4	-0.02635237	0	
317.6	-0.02628904	0	
317.8	-0.0264584	0	
318	-0.02642218	0	
318.2	-0.02647497	0	
318.4	-0.02682175	0	
318.6	-0.02697831	0	
318.8	-0.02681278	0	
319	-0.02676507	0	
319.2	-0.02685157	0	
319.4	-0.02648803	0	
319.6	-0.02678881	0	
319.8	-0.02698607	0	
320	-0.02719837	0	
320.2	-0.0273717	0	
320.4	-0.02751546	0	
320.6	-0.02779203	0	
320.8	-0.02818614	0	
321	-0.02835142	0	
321.2	-0.02817687	0	
321.4	-0.02830751	0	
321.6	-0.02833947	0	
321.8	-0.02843766	0	
322	-0.02838148	0	
322.2	-0.02836563	0	
322.4	-0.028431	0	
322.6	-0.02825213	0	
322.8	-0.02824758	0	
323	-0.02826761	0	
323.2	-0.02826165	0	
323.4	-0.02834209	0	
323.6	-0.02862012	0	
323.8	-0.02875976	0	
324	-0.02899953	0	
324.2	-0.02911879	0	
324.4	-0.02930021	0	
324.6	-0.02924779	0	
324.8	-0.02955728	0	
325	-0.02942297	0	
325.2	-0.02930327	0	
325.4	-0.02955664	0	
325.6	-0.0294514	0	
325.8	-0.02961799	0	
326	-0.02911557	0	
326.2	-0.02856883	0	
326.4	-0.02834478	0	
326.6	-0.02843687	0	
326.8	-0.02830411	0	
327	-0.02812296	0	
327.2	-0.02810152	0	
327.4	-0.02856313	0	
327.6	-0.02860117	0	
327.8	-0.02926532	0	
328	-0.029295	0	
328.2	-0.02925801	0	
328.4	-0.02943074	0	
328.6	-0.02945949	0	
328.8	-0.02982883	0	
329	-0.02993457	0	
329.2	-0.0298913	0	
329.4	-0.03008683	0	
329.6	-0.03004271	0	
329.8	-0.03005263	0	
330	-0.02959691	0	
330.2	-0.02949148	0	
330.4	-0.02975328	0	
330.6	-0.02980022	0	
330.8	-0.02951329	0	
331	-0.02963373	0	
331.2	-0.02991242	0	
331.4	-0.02999182	0	
331.6	-0.02982094	0	
331.8	-0.02996377	0	
332	-0.02915256	0	
332.2	-0.02938518	0	
332.4	-0.02935493	0	
332.6	-0.02913729	0	
332.8	-0.02914278	0	
333	-0.02915873	0	
333.2	-0.02893551	0	
333.4	-0.02875778	0	
333.6	-0.02861366	0	
333.8	-0.0288669	0	
334	-0.02887087	0	
334.2	-0.02862286	0	
334.4	-0.02855367	0	
334.6	-0.02817891	0	
334.8	-0.02810547	0	
335	-0.02832448	0	
335.2	-0.02841521	0	
335.4	-0.02827003	0	
335.6	-0.0281563	0	
335.8	-0.02814839	0	
336	-0.02815843	0	
336.2	-0.02858161	0	
336.4	-0.02861291	0	
336.6	-0.02893273	0	
336.8	-0.02902233	0	
337	-0.02943285	0	
337.2	-0.02943138	0	
337.4	-0.02968279	0	
337.6	-0.03003007	0	
337.8	-0.03038705	0	
338	-0.03047112	0	
338.2	-0.03037227	0	
338.4	-0.03069092	0	
338.6	-0.03098075	0	
338.8	-0.03125493	0	
339	-0.03141865	0	
339.2	-0.0311823	0	
339.4	-0.03114313	0	
339.6	-0.03093739	0	
339.8	-0.03083893	0	
340	-0.03088873	0	
340.2	-0.03110686	0	
340.4	-0.03120218	0	
340.6	-0.03095926	0	
340.8	-0.03069073	0	
341	-0.03084824	0	
341.2	-0.03091778	0	
341.4	-0.03102447	0	
341.6	-0.03098995	0	
341.8	-0.0309785	0	
342	-0.03127214	0	
342.2	-0.03116278	0	
342.4	-0.03132818	0	
342.6	-0.03148899	0	
342.8	-0.03134788	0	
343	-0.03122125	0	
343.2	-0.03091669	0	
343.4	-0.0311013	0	
343.6	-0.03114279	0	
343.8	-0.03112582	0	
344	-0.03103903	0	
344.2	-0.03117582	0	
344.4	-0.03092015	0	
344.6	-0.03080323	0	
344.8	-0.03120916	0	
345	-0.03131847	0	
345.2	-0.03149518	0	
345.4	-0.03122188	0	
345.6	-0.03083866	0	
345.8	-0.03078252	0	
346	-0.03101176	0	
346.2	-0.03069581	0	
346.4	-0.03085679	0	
346.6	-0.03087997	0	
346.8	-0.03060381	0	
347	-0.03046298	0	
347.2	-0.0305341	0	
347.4	-0.03067677	0	
347.6	-0.0308542	0	
347.8	-0.03092524	0	
348	-0.03106686	0	
348.2	-0.03135553	0	
348.4	-0.03145779	0	
348.6	-0.03198676	0	
348.8	-0.03219039	0	
349	-0.03201664	0	
349.2	-0.03192048	0	
349.4	-0.0317098	0	
349.6	-0.03149813	0	
349.8	-0.03155696	0	
350	-0.03143334	0	
350.2	-0.0313978	0	
350.4	-0.03122241	0	
350.6	-0.03130606	0	
350.8	-0.03115691	0	
351	-0.03148927	0	
351.2	-0.03141503	0	
351.4	-0.03143861	0	
351.6	-0.03176487	0	
351.8	-0.03168977	0	
352	-0.03174705	0	
352.2	-0.0317534	0	
352.4	-0.0318119	0	
352.6	-0.03185694	0	
352.8	-0.03134335	0	
353	-0.03114294	0	
353.2	-0.03108747	0	
353.4	-0.03110797	0	
353.6	-0.03079649	0	
353.8	-0.030934	0	
354	-0.03119002	0	
354.2	-0.0314246	0	
354.4	-0.03138346	0	
354.6	-0.03194915	0	
354.8	-0.03190217	0	
