Conc1	1.145E-07	
Start1	300	
Stop1	539.8	
Kobs	5.88780867363369E-54	
Error Kobs	0.000278157234840575	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	0.0239276	0	
300.2	0.02308762	0.00019218	
300.4	0.02245912	0.00038355	
300.6	0.02174355	0.00057414	
300.8	0.0207972	0.00076393	
301	0.02008035	0.00095293	
301.2	0.01961437	0.00114115	
301.4	0.01904905	0.00132859	
301.6	0.01858938	0.00151525	
301.8	0.01823059	0.00170113	
302	0.01752196	0.00188625	
302.2	0.01743129	0.00207059	
302.4	0.01764349	0.00225417	
302.6	0.01759669	0.00243698	
302.8	0.01733653	0.00261904	
303	0.01691154	0.00280034	
303.2	0.01683016	0.00298089	
303.4	0.01680591	0.00316069	
303.6	0.01674323	0.00333974	
303.8	0.01701914	0.00351805	
304	0.01695579	0.00369562	
304.2	0.01760993	0.00387245	
304.4	0.01817664	0.00404854	
304.6	0.01845795	0.00422391	
304.8	0.0186501	0.00439855	
305	0.01926917	0.00457246	
305.2	0.01974349	0.00474565	
305.4	0.01992755	0.00491812	
305.6	0.01992172	0.00508988	
305.8	0.01975278	0.00526092	
306	0.01934987	0.00543125	
306.2	0.01930117	0.00560087	
306.4	0.01927716	0.00576979	
306.6	0.01881819	0.00593801	
306.8	0.01851567	0.00610553	
307	0.01828951	0.00627235	
307.2	0.01862089	0.00643849	
307.4	0.01841884	0.00660393	
307.6	0.01832219	0.00676868	
307.8	0.01879027	0.00693275	
308	0.01889956	0.00709614	
308.2	0.01910751	0.00725886	
308.4	0.019076	0.00742089	
308.6	0.0187215	0.00758225	
308.8	0.01885815	0.00774295	
309	0.01903944	0.00790297	
309.2	0.01901142	0.00806233	
309.4	0.01854908	0.00822103	
309.6	0.01778928	0.00837907	
309.8	0.0181074	0.00853646	
310	0.01785195	0.00869319	
310.2	0.01779546	0.00884927	
310.4	0.01818934	0.0090047	
310.6	0.01791142	0.00915949	
310.8	0.01793827	0.00931363	
311	0.01841412	0.00946713	
311.2	0.01859626	0.00962	
311.4	0.01879151	0.00977223	
311.6	0.01896746	0.00992383	
311.8	0.01952572	0.0100748	
312	0.01968284	0.01022514	
312.2	0.01962124	0.01037486	
312.4	0.01977965	0.01052396	
312.6	0.02003899	0.01067244	
312.8	0.02051155	0.0108203	
313	0.02048434	0.01096755	
313.2	0.02003594	0.01111418	
313.4	0.01952291	0.01126021	
313.6	0.01956575	0.01140563	
313.8	0.02007342	0.01155045	
314	0.01951269	0.01169466	
314.2	0.01961572	0.01183828	
314.4	0.01946684	0.0119813	
314.6	0.01930633	0.01212373	
314.8	0.01955722	0.01226557	
315	0.01999258	0.01240681	
315.2	0.0203618	0.01254747	
315.4	0.02077432	0.01268755	
315.6	0.02085263	0.01282704	
315.8	0.02093079	0.01296596	
316	0.02106832	0.0131043	
316.2	0.02129821	0.01324206	
316.4	0.02209192	0.01337925	
316.6	0.02257087	0.01351587	
316.8	0.02237713	0.01365193	
317	0.02244654	0.01378742	
317.2	0.02200616	0.01392235	
317.4	0.0218799	0.01405671	
317.6	0.02196087	0.01419052	
317.8	0.02151817	0.01432378	
318	0.02140541	0.01445648	
318.2	0.02125923	0.01458863	
318.4	0.02101409	0.01472023	
318.6	0.02103198	0.01485128	
318.8	0.02096996	0.01498179	
319	0.02093609	0.01511176	
319.2	0.02103402	0.01524119	
319.4	0.02107911	0.01537008	
319.6	0.02088639	0.01549844	
319.8	0.02092459	0.01562626	
320	0.02139189	0.01575355	
320.2	0.02195669	0.01588032	
320.4	0.02243024	0.01600655	
320.6	0.02221867	0.01613227	
320.8	0.0221613	0.01625746	
321	0.02245296	0.01638213	
321.2	0.02231935	0.01650628	
321.4	0.02208919	0.01662992	
321.6	0.0221357	0.01675305	
321.8	0.02162869	0.01687566	
322	0.0214932	0.01699776	
322.2	0.02093927	0.01711936	
322.4	0.02098886	0.01724045	
322.6	0.02072804	0.01736104	
322.8	0.02064086	0.01748113	
323	0.02059175	0.01760072	
323.2	0.02066649	0.01771982	
323.4	0.02101811	0.01783842	
323.6	0.02092708	0.01795652	
323.8	0.02141257	0.01807414	
324	0.02201891	0.01819127	
324.2	0.02244658	0.01830791	
324.4	0.02270475	0.01842407	
324.6	0.02296598	0.01853974	
324.8	0.02339498	0.01865494	
325	0.02366263	0.01876966	
325.2	0.02380769	0.0188839	
325.4	0.02327248	0.01899766	
325.6	0.02310207	0.01911096	
325.8	0.02266016	0.01922378	
326	0.02252178	0.01933613	
326.2	0.02242469	0.01944802	
326.4	0.02247499	0.01955944	
326.6	0.02221004	0.01967041	
326.8	0.0223685	0.01978091	
327	0.02260106	0.01989095	
327.2	0.02271267	0.02000053	
327.4	0.02285294	0.02010966	
327.6	0.02319133	0.02021834	
327.8	0.02364641	0.02032656	
328	0.02402293	0.02043434	
328.2	0.02418821	0.02054167	
328.4	0.02428158	0.02064855	
328.6	0.0241127	0.02075499	
328.8	0.02393489	0.02086098	
329	0.02386689	0.02096654	
329.2	0.02366111	0.02107166	
329.4	0.02317611	0.02117634	
329.6	0.02316682	0.02128059	
329.8	0.02323993	0.0213844	
330	0.02311348	0.02148779	
330.2	0.02300345	0.02159074	
330.4	0.02309173	0.02169327	
330.6	0.02308405	0.02179537	
330.8	0.02349068	0.02189704	
331	0.02383191	0.0219983	
331.2	0.02367112	0.02209913	
331.4	0.02389742	0.02219955	
331.6	0.02433108	0.02229955	
331.8	0.02458526	0.02239913	
332	0.02496029	0.0224983	
332.2	0.02494161	0.02259706	
332.4	0.02473405	0.02269541	
332.6	0.02466406	0.02279335	
332.8	0.02491233	0.02289088	
333	0.02520974	0.02298801	
333.2	0.0253593	0.02308473	
