Conc1	1E-07	
Start1	240	
Stop1	479.8	
Kobs	6.26099209825532E-17	
Error Kobs	1697932517757.21	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.00285515	0	
240.2	0.00248819	0	
240.4	0.00197393	0	
240.6	0.00139128	0	
240.8	0.00048181	0	
241	-0.00060466	0	
241.2	-0.00195202	0	
241.4	-0.0036231	0	
241.6	-0.00504689	0	
241.8	-0.00598375	0	
242	-0.00710563	0	
242.2	-0.00800569	0	
242.4	-0.00923114	0	
242.6	-0.00969328	0	
242.8	-0.01041287	0	
243	-0.01124351	0	
243.2	-0.01181932	0	
243.4	-0.01207299	0	
243.6	-0.01215709	0	
243.8	-0.01191934	0	
244	-0.01172808	0	
244.2	-0.01194287	0	
244.4	-0.01217047	0	
244.6	-0.01236188	0	
244.8	-0.01272968	0	
245	-0.01308606	0	
245.2	-0.0137441	0	
245.4	-0.014471	0	
245.6	-0.01482191	0	
245.8	-0.01523653	0	
246	-0.01586363	0	
246.2	-0.01645884	0	
246.4	-0.01703957	0	
246.6	-0.01761408	0	
246.8	-0.0183221	0	
247	-0.01904667	0	
247.2	-0.01933403	0	
247.4	-0.01960632	0	
247.6	-0.01950543	0	
247.8	-0.01974572	0	
248	-0.01980237	0	
248.2	-0.02018335	0	
248.4	-0.02025852	0	
248.6	-0.02025755	0	
248.8	-0.02002171	0	
249	-0.01989874	0	
249.2	-0.02010092	0	
249.4	-0.02010856	0	
249.6	-0.02006789	0	
249.8	-0.02020887	0	
250	-0.02036618	0	
250.2	-0.02044112	0	
250.4	-0.02068675	0	
250.6	-0.02111361	0	
250.8	-0.02164603	0	
251	-0.02243568	0	
251.2	-0.02275062	0	
251.4	-0.02327683	0	
251.6	-0.02307878	0	
251.8	-0.02339459	0	
252	-0.02344729	0	
252.2	-0.02379766	0	
252.4	-0.02411971	0	
252.6	-0.02442884	0	
252.8	-0.02420337	0	
253	-0.02434167	0	
253.2	-0.02433792	0	
253.4	-0.02385284	0	
253.6	-0.02388976	0	
253.8	-0.0237409	0	
254	-0.02388551	0	
254.2	-0.0234931	0	
254.4	-0.02370659	0	
