Conc1	1.212E-07	
Start1	300	
Stop1	539.8	
Kobs	1.56524802456383E-17	
Error Kobs	444282785255.25	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	-0.00172625	0	
300.2	-0.00343183	0	
300.4	-0.00519432	0	
300.6	-0.00720574	0	
300.8	-0.00906292	0	
301	-0.01089674	0	
301.2	-0.01266673	0	
301.4	-0.01399867	0	
301.6	-0.01515761	0	
301.8	-0.01595778	0	
302	-0.01653336	0	
302.2	-0.0161068	0	
302.4	-0.01675363	0	
302.6	-0.01730531	0	
302.8	-0.01726249	0	
303	-0.01748974	0	
303.2	-0.0176626	0	
303.4	-0.01785783	0	
303.6	-0.01800071	0	
303.8	-0.01826673	0	
304	-0.01853597	0	
304.2	-0.01832921	0	
304.4	-0.0183591	0	
304.6	-0.01881279	0	
304.8	-0.01885283	0	
305	-0.01917139	0	
305.2	-0.01909259	0	
305.4	-0.01913473	0	
305.6	-0.01940964	0	
305.8	-0.01971313	0	
306	-0.0198574	0	
306.2	-0.02003248	0	
306.4	-0.02063649	0	
306.6	-0.02051336	0	
306.8	-0.02024052	0	
307	-0.02029972	0	
307.2	-0.02018157	0	
307.4	-0.0198387	0	
307.6	-0.0197758	0	
307.8	-0.01993473	0	
308	-0.01963482	0	
308.2	-0.01988886	0	
308.4	-0.02014339	0	
308.6	-0.02051197	0	
308.8	-0.02049716	0	
309	-0.02055965	0	
309.2	-0.02047881	0	
309.4	-0.02115249	0	
309.6	-0.02126905	0	
309.8	-0.02158741	0	
310	-0.02157393	0	
310.2	-0.02172032	0	
310.4	-0.02140109	0	
310.6	-0.02124134	0	
310.8	-0.02127351	0	
311	-0.02091753	0	
311.2	-0.02070435	0	
311.4	-0.0205614	0	
311.6	-0.0207656	0	
311.8	-0.02090415	0	
312	-0.02117948	0	
312.2	-0.02150176	0	
312.4	-0.02173357	0	
312.6	-0.02199379	0	
312.8	-0.02214146	0	
313	-0.02240384	0	
313.2	-0.02269953	0	
313.4	-0.02302386	0	
313.6	-0.02278674	0	
313.8	-0.02291552	0	
314	-0.02277435	0	
314.2	-0.02247834	0	
314.4	-0.02215191	0	
314.6	-0.02180509	0	
314.8	-0.02192352	0	
315	-0.02171409	0	
315.2	-0.02173414	0	
315.4	-0.02144511	0	
315.6	-0.02136687	0	
315.8	-0.02139151	0	
316	-0.02144504	0	
316.2	-0.0214237	0	
316.4	-0.02151748	0	
316.6	-0.02172668	0	
316.8	-0.02210128	0	
317	-0.02243343	0	
317.2	-0.02248661	0	
317.4	-0.02229186	0	
317.6	-0.02212818	0	
317.8	-0.02223474	0	
318	-0.02201104	0	
318.2	-0.02223328	0	
318.4	-0.02231183	0	
318.6	-0.02219561	0	
318.8	-0.02256672	0	
319	-0.02241849	0	
319.2	-0.02192037	0	
319.4	-0.02176281	0	
319.6	-0.02184513	0	
319.8	-0.02169885	0	
320	-0.0214054	0	
320.2	-0.02157657	0	
320.4	-0.02170397	0	
320.6	-0.02219643	0	
320.8	-0.02245282	0	
321	-0.02211013	0	
321.2	-0.02190548	0	
321.4	-0.02182783	0	
321.6	-0.02192986	0	
321.8	-0.02188331	0	
322	-0.02188314	0	
322.2	-0.02219673	0	
322.4	-0.0219133	0	
322.6	-0.02168048	0	
322.8	-0.02171297	0	
323	-0.02132696	0	
323.2	-0.02096666	0	
323.4	-0.02151684	0	
323.6	-0.02148137	0	
323.8	-0.02169141	0	
324	-0.0218223	0	
324.2	-0.02231479	0	
324.4	-0.02235151	0	
324.6	-0.02268758	0	
324.8	-0.02236914	0	
325	-0.02199413	0	
325.2	-0.02201073	0	
325.4	-0.02207721	0	
325.6	-0.02189815	0	
325.8	-0.0220444	0	
326	-0.02239755	0	
326.2	-0.02242155	0	
326.4	-0.02256153	0	
326.6	-0.0226755	0	
326.8	-0.02280463	0	
327	-0.02230157	0	
327.2	-0.02258458	0	
327.4	-0.02284884	0	
327.6	-0.02247053	0	
327.8	-0.02253115	0	
328	-0.02228424	0	
328.2	-0.02204654	0	
328.4	-0.0220291	0	
328.6	-0.02223009	0	
328.8	-0.02185256	0	
329	-0.02221587	0	
329.2	-0.02216828	0	
329.4	-0.02228801	0	
329.6	-0.02236404	0	
329.8	-0.02273648	0	
330	-0.02267811	0	
330.2	-0.02272337	0	
330.4	-0.02280494	0	
330.6	-0.02264222	0	
330.8	-0.02266938	0	
331	-0.02249962	0	
331.2	-0.02265089	0	
331.4	-0.02254822	0	
331.6	-0.0224078	0	
331.8	-0.02267819	0	
332	-0.02281676	0	
332.2	-0.02288222	0	
332.4	-0.02292252	0	
332.6	-0.02299439	0	
332.8	-0.02310567	0	
333	-0.02353224	0	
333.2	-0.02294786	0	
333.4	-0.02282285	0	
333.6	-0.02255012	0	
333.8	-0.02243456	0	
334	-0.02209419	0	
334.2	-0.02211046	0	
334.4	-0.02183297	0	
334.6	-0.02136225	0	
334.8	-0.02172427	0	
335	-0.02152521	0	
335.2	-0.0214328	0	
335.4	-0.02172621	0	
335.6	-0.02152245	0	
335.8	-0.02166595	0	
336	-0.02173359	0	
336.2	-0.02176807	0	
336.4	-0.02175267	0	
336.6	-0.02203602	0	
336.8	-0.02203314	0	
337	-0.02252667	0	
337.2	-0.0224421	0	
337.4	-0.02250962	0	
337.6	-0.02256842	0	
337.8	-0.02290237	0	
338	-0.02254971	0	
338.2	-0.02265351	0	
338.4	-0.02270911	0	
338.6	-0.02260882	0	
338.8	-0.02291982	0	
339	-0.02297627	0	
339.2	-0.022916	0	
339.4	-0.02284251	0	
339.6	-0.02255942	0	
339.8	-0.0223315	0	
340	-0.02235603	0	
340.2	-0.02242253	0	
340.4	-0.0222068	0	
340.6	-0.02218479	0	
340.8	-0.02198636	0	
341	-0.0220105	0	
341.2	-0.02132289	0	
341.4	-0.02105683	0	
341.6	-0.02083436	0	
341.8	-0.02059446	0	
342	-0.02012271	0	
342.2	-0.02038416	0	
342.4	-0.02054951	0	
342.6	-0.0203832	0	
342.8	-0.02048806	0	
343	-0.02058137	0	
343.2	-0.02015388	0	
343.4	-0.02012622	0	
343.6	-0.02000637	0	
343.8	-0.02006933	0	
344	-0.02019865	0	
344.2	-0.02032842	0	
344.4	-0.02049025	0	
344.6	-0.02014793	0	
344.8	-0.01993017	0	
345	-0.0197121	0	
345.2	-0.01992353	0	
345.4	-0.02027913	0	
345.6	-0.02036437	0	
345.8	-0.0205164	0	
346	-0.02096837	0	
346.2	-0.0211069	0	
346.4	-0.02122592	0	
346.6	-0.02117957	0	
346.8	-0.02114446	0	
347	-0.02083754	0	
347.2	-0.0210455	0	
347.4	-0.0212504	0	
347.6	-0.02128058	0	
347.8	-0.0212503	0	
348	-0.02106789	0	
348.2	-0.02102308	0	
348.4	-0.02094572	0	
348.6	-0.0205641	0	
348.8	-0.0208668	0	
349	-0.02080761	0	
349.2	-0.02103064	0	
349.4	-0.02090921	0	
349.6	-0.02093541	0	
349.8	-0.02102331	0	
350	-0.02129658	0	
350.2	-0.02082605	0	
