Conc1	3E-07	
Start1	240	
Stop1	479.8	
Kobs	3.09449456477169E-05	
Error Kobs	1.00767858377042E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	-0.01458737	0	
240.2	-0.01363971	0.00243452	
240.4	-0.01270586	0.00486888	
240.6	-0.0113689	0.00730308	
240.8	-0.00983246	0.00973711	
241	-0.00808192	0.01217098	
241.2	-0.00598785	0.01460468	
241.4	-0.00385043	0.01703822	
241.6	-0.00120132	0.0194716	
241.8	0.00091765	0.02190481	
242	0.00345598	0.02433786	
242.2	0.00583545	0.02677074	
242.4	0.00832793	0.02920346	
242.6	0.0110838	0.03163602	
242.8	0.01318029	0.03406841	
243	0.0159697	0.03650064	
243.2	0.01826325	0.0389327	
243.4	0.02112755	0.0413646	
243.6	0.02388651	0.04379634	
243.8	0.02629613	0.04622791	
244	0.02854439	0.04865932	
244.2	0.0306621	0.05109057	
244.4	0.03307327	0.05352165	
244.6	0.03532496	0.05595256	
244.8	0.03753978	0.05838332	
245	0.03978265	0.06081391	
245.2	0.04200458	0.06324433	
245.4	0.04415547	0.0656746	
245.6	0.04653	0.06810469	
245.8	0.04859602	0.07053463	
246	0.05140059	0.0729644	
246.2	0.05407463	0.07539401	
246.4	0.05669306	0.07782345	
246.6	0.05951051	0.08025273	
246.8	0.06214695	0.08268185	
247	0.0648578	0.0851108	
247.2	0.06757154	0.08753959	
247.4	0.07054807	0.08996821	
247.6	0.07336265	0.09239668	
247.8	0.07562466	0.09482497	
248	0.07843165	0.09725311	
248.2	0.08110155	0.09968108	
248.4	0.08406424	0.10210889	
248.6	0.08607798	0.10453653	
248.8	0.08848205	0.10696401	
249	0.09057072	0.10939133	
249.2	0.09297991	0.11181848	
249.4	0.09510578	0.11424547	
249.6	0.09743859	0.11667229	
249.8	0.09998814	0.11909896	
250	0.10255498	0.12152546	
250.2	0.10510494	0.12395179	
250.4	0.10742076	0.12637796	
250.6	0.11004178	0.12880397	
250.8	0.11266663	0.13122982	
251	0.11536119	0.1336555	
251.2	0.11775633	0.13608102	
251.4	0.12029779	0.13850637	
251.6	0.12276652	0.14093156	
251.8	0.12536273	0.14335659	
252	0.1285228	0.14578145	
252.2	0.13104783	0.14820615	
252.4	0.13358001	0.15063069	
252.6	0.13586676	0.15305507	
252.8	0.13833391	0.15547928	
253	0.14070946	0.15790332	
253.2	0.14329624	0.16032721	
253.4	0.14573456	0.16275093	
253.6	0.14823848	0.16517449	
253.8	0.15081206	0.16759788	
254	0.15330241	0.17002111	
254.2	0.15561239	0.17244418	
254.4	0.15816472	0.17486708	
254.6	0.16070142	0.17728983	
254.8	0.16347176	0.1797124	
255	0.16617314	0.18213482	
255.2	0.16853513	0.18455707	
255.4	0.17118203	0.18697916	
255.6	0.17337096	0.18940108	
255.8	0.17579286	0.19182284	
256	0.17822944	0.19424444	
256.2	0.18035365	0.19666588	
256.4	0.1825364	0.19908715	
256.6	0.18536153	0.20150826	
256.8	0.18768323	0.20392921	
257	0.19015044	0.20634999	
257.2	0.19293911	0.20877061	
257.4	0.19580337	0.21119107	
257.6	0.19811882	0.21361136	
257.8	0.20049577	0.21603149	
258	0.20290233	0.21845146	
258.2	0.20566602	0.22087126	
258.4	0.20816918	0.2232909	
258.6	0.21110197	0.22571038	
258.8	0.21387616	0.2281297	
259	0.21628445	0.23054885	
259.2	0.21865217	0.23296784	
259.4	0.22099966	0.23538666	
259.6	0.22298153	0.23780533	
259.8	0.22575966	0.24022383	
260	0.22848837	0.24264216	
260.2	0.23089379	0.24506034	
260.4	0.2335819	0.24747835	
260.6	0.23663691	0.2498962	
260.8	0.23886956	0.25231388	
261	0.24168939	0.25473141	
261.2	0.24452262	0.25714877	
261.4	0.24713436	0.25956596	
261.6	0.2494699	0.261983	
261.8	0.25215313	0.26439987	
262	0.25501718	0.26681658	
262.2	0.2580406	0.26923312	
262.4	0.26004414	0.27164951	
262.6	0.26284846	0.27406573	
262.8	0.26483035	0.27648178	
263	0.26667963	0.27889768	
263.2	0.2690041	0.28131341	
263.4	0.27137469	0.28372898	
263.6	0.27354484	0.28614438	
263.8	0.27581152	0.28855963	
264	0.27787871	0.29097471	
264.2	0.28006744	0.29338963	
264.4	0.28240252	0.29580438	
264.6	0.28470265	0.29821897	
264.8	0.28712294	0.3006334	
265	0.28981661	0.30304767	
265.2	0.29233503	0.30546177	
265.4	0.29499998	0.30787571	
265.6	0.29727418	0.31028949	
265.8	0.29991463	0.31270311	
266	0.30300751	0.31511656	
266.2	0.30562213	0.31752985	
266.4	0.30763978	0.31994298	
266.6	0.3102392	0.32235595	
266.8	0.3126912	0.32476875	
267	0.31501859	0.32718139	
267.2	0.31764692	0.32959387	
267.4	0.3201304	0.33200619	
267.6	0.3223206	0.33441834	
267.8	0.32447631	0.33683033	
268	0.32660564	0.33924216	
268.2	0.32873346	0.34165382	
268.4	0.33111329	0.34406533	
268.6	0.33332658	0.34647667	
268.8	0.33578551	0.34888785	
269	0.33820085	0.35129886	
269.2	0.34070133	0.35370971	
269.4	0.34281587	0.3561204	
269.6	0.34463831	0.35853093	
269.8	0.34742743	0.3609413	
270	0.35065023	0.3633515	
270.2	0.35278393	0.36576154	
270.4	0.35540437	0.36817142	
270.6	0.35830008	0.37058114	
270.8	0.36142277	0.37299069	
271	0.36428444	0.37540008	
271.2	0.36705798	0.37780931	
271.4	0.36960646	0.38021838	
271.6	0.37218213	0.38262728	
271.8	0.37459532	0.38503603	
272	0.37678698	0.38744461	
272.2	0.37933703	0.38985302	
272.4	0.38208491	0.39226128	
272.6	0.38458257	0.39466937	
272.8	0.387267	0.3970773	
273	0.38989125	0.39948507	
273.2	0.39207616	0.40189268	
273.4	0.3945253	0.40430012	
273.6	0.39667159	0.4067074	
273.8	0.39918611	0.40911452	
274	0.40150637	0.41152148	
274.2	0.40373867	0.41392827	
274.4	0.40634906	0.41633491	
274.6	0.40875122	0.41874138	
274.8	0.41160552	0.42114769	
275	0.41413467	0.42355383	
275.2	0.4163521	0.42595982	
275.4	0.41867484	0.42836564	
275.6	0.42140109	0.4307713	
275.8	0.42378555	0.4331768	
276	0.42637829	0.43558214	
276.2	0.42920453	0.43798731	
276.4	0.43160583	0.44039232	
276.6	0.4342199	0.44279717	
276.8	0.43700268	0.44520186	
277	0.43945621	0.44760638	
277.2	0.44157994	0.45001075	
277.4	0.44418787	0.45241495	
277.6	0.44623688	0.45481899	
277.8	0.44861808	0.45722287	
278	0.45115517	0.45962658	
278.2	0.45388096	0.46203014	
278.4	0.45599358	0.46443353	
278.6	0.45823047	0.46683676	
278.8	0.46098378	0.46923983	
279	0.46327053	0.47164273	
279.2	0.4653419	0.47404548	
279.4	0.46777894	0.47644806	
279.6	0.47021586	0.47885048	
279.8	0.4725076	0.48125274	
280	0.47509032	0.48365484	
280.2	0.47752541	0.48605677	
280.4	0.47948995	0.48845854	
280.6	0.48187012	0.49086016	
280.8	0.48443029	0.49326161	
281	0.4870305	0.49566289	
281.2	0.48948499	0.49806402	
281.4	0.4921493	0.50046498	
281.6	0.49461468	0.50286578	
281.8	0.49716539	0.50526642	
282	0.49963573	0.5076669	
282.2	0.50237045	0.51006722	
282.4	0.50450807	0.51246738	
282.6	0.50710909	0.51486737	
282.8	0.5096408	0.5172672	
283	0.51210123	0.51966687	
283.2	0.51460379	0.52206638	
283.4	0.51739507	0.52446573	
283.6	0.51992223	0.52686491	
283.8	0.52210706	0.52926393	
284	0.52487737	0.5316628	
284.2	0.5271273	0.5340615	
284.4	0.52915815	0.53646003	
284.6	0.53169097	0.53885841	
284.8	0.53431501	0.54125663	
285	0.53689546	0.54365468	
285.2	0.53923719	0.54605257	
285.4	0.54141626	0.5484503	
285.6	0.54382822	0.55084787	
285.8	0.5460316	0.55324528	
286	0.54842949	0.55564252	
286.2	0.55080553	0.55803961	
286.4	0.55312535	0.56043653	
286.6	0.55535838	0.56283329	
286.8	0.55785823	0.56522989	
287	0.56080153	0.56762633	
287.2	0.56331496	0.57002261	
287.4	0.56592616	0.57241872	
287.6	0.56811003	0.57481468	
287.8	0.57029402	0.57721047	
288	0.57295136	0.5796061	
288.2	0.57517443	0.58200157	
288.4	0.57781606	0.58439688	
288.6	0.58077376	0.58679203	
288.8	0.58322752	0.58918701	
289	0.58569257	0.59158184	
289.2	0.58811082	0.5939765	
289.4	0.59027075	0.596371	
289.6	0.59282844	0.59876534	
289.8	0.59504587	0.60115952	
290	0.59805619	0.60355354	
290.2	0.60031459	0.60594739	
290.4	0.60287965	0.60834109	
290.6	0.60495717	0.61073462	
290.8	0.60746393	0.61312799	
291	0.60988977	0.6155212	
291.2	0.61190341	0.61791425	
291.4	0.61432287	0.62030714	
291.6	0.61656834	0.62269987	
291.8	0.61899792	0.62509243	
292	0.62154017	0.62748484	
292.2	0.62440247	0.62987708	
292.4	0.62731773	0.63226916	
292.6	0.62975927	0.63466109	
292.8	0.63197764	0.63705285	
293	0.63464795	0.63944444	
293.2	0.6374019	0.64183588	
293.4	0.63990366	0.64422716	
293.6	0.64275985	0.64661827	
293.8	0.64550274	0.64900923	
294	0.6485819	0.65140002	
294.2	0.65036717	0.65379065	
294.4	0.65243115	0.65618112	
294.6	0.65463258	0.65857143	
294.8	0.65707132	0.66096158	
295	0.65915936	0.66335157	
295.2	0.66121314	0.6657414	
295.4	0.66382142	0.66813106	
295.6	0.66604823	0.67052057	
295.8	0.66850946	0.67290991	
296	0.67099434	0.6752991	
296.2	0.67361696	0.67768812	
296.4	0.67622358	0.68007698	
296.6	0.67888016	0.68246568	
296.8	0.68174626	0.68485422	
297	0.68448413	0.68724259	
297.2	0.68705337	0.68963081	
297.4	0.68925153	0.69201887	
