Conc1	3.08E-08	
Start1	300	
Stop1	539.8	
Kobs	0.000261058723431444	
Error Kobs	1.63808770511959E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	-0.00092448	0	
300.2	0.00027025	0.00247466	
300.4	0.00183781	0.00494806	
300.6	0.0033982	0.00742017	
300.8	0.00491309	0.00989102	
301	0.00727222	0.01236059	
301.2	0.00959055	0.0148289	
301.4	0.01181681	0.01729593	
301.6	0.01453565	0.01976169	
301.8	0.01707627	0.02222619	
302	0.01952494	0.02468941	
302.2	0.02262503	0.02715137	
302.4	0.02543674	0.02961206	
302.6	0.02703811	0.03207149	
302.8	0.0295183	0.03452965	
303	0.03171664	0.03698654	
303.2	0.03439174	0.03944217	
303.4	0.0370784	0.04189654	
303.6	0.03989421	0.04434964	
303.8	0.04285245	0.04680148	
304	0.04554117	0.04925206	
304.2	0.04803892	0.05170137	
304.4	0.05053531	0.05414943	
304.6	0.05280054	0.05659623	
304.8	0.0553727	0.05904176	
305	0.05809462	0.06148604	
305.2	0.06003499	0.06392906	
305.4	0.06219646	0.06637083	
305.6	0.06473359	0.06881133	
305.8	0.06730288	0.07125058	
306	0.06975276	0.07368858	
306.2	0.07262962	0.07612532	
306.4	0.07499568	0.07856081	
306.6	0.07707812	0.08099504	
306.8	0.07976056	0.08342802	
307	0.08222223	0.08585975	
307.2	0.08512638	0.08829022	
307.4	0.08786838	0.09071945	
307.6	0.09017673	0.09314743	
307.8	0.09231288	0.09557415	
308	0.09436072	0.09799963	
308.2	0.09637283	0.10042386	
308.4	0.09869033	0.10284684	
308.6	0.10106175	0.10526857	
308.8	0.10312714	0.10768906	
309	0.10495256	0.1101083	
309.2	0.10675729	0.1125263	
309.4	0.10931575	0.11494305	
309.6	0.11187487	0.11735856	
309.8	0.11470012	0.11977283	
310	0.11687942	0.12218585	
310.2	0.12001068	0.12459763	
310.4	0.12252525	0.12700817	
310.6	0.12526442	0.12941747	
310.8	0.12736178	0.13182553	
311	0.13023279	0.13423235	
311.2	0.13282344	0.13663793	
311.4	0.13514589	0.13904228	
311.6	0.13713416	0.14144538	
311.8	0.13960712	0.14384725	
312	0.14171997	0.14624789	
312.2	0.14387945	0.14864728	
312.4	0.14616732	0.15104545	
312.6	0.14848882	0.15344238	
312.8	0.1502868	0.15583807	
313	0.1528037	0.15823253	
313.2	0.15510744	0.16062576	
313.4	0.15818052	0.16301776	
313.6	0.1608426	0.16540853	
313.8	0.16314078	0.16779807	
314	0.16590008	0.17018637	
314.2	0.16921102	0.17257345	
314.4	0.17140558	0.1749593	
314.6	0.17427862	0.17734392	
314.8	0.1763091	0.17972731	
315	0.17945284	0.18210948	
315.2	0.18162789	0.18449042	
315.4	0.18404171	0.18687014	
315.6	0.18658914	0.18924863	
315.8	0.18867472	0.1916259	
316	0.19075612	0.19400194	
316.2	0.19279635	0.19637676	
316.4	0.19470361	0.19875036	
316.6	0.1968005	0.20112274	
316.8	0.19873138	0.2034939	
317	0.20115106	0.20586383	
317.2	0.20314592	0.20823255	
317.4	0.20590157	0.21060004	
317.6	0.20727678	0.21296632	
317.8	0.20912018	0.21533138	
318	0.21190805	0.21769523	
318.2	0.21449753	0.22005786	
318.4	0.21657867	0.22241927	
318.6	0.21915496	0.22477946	
318.8	0.22140219	0.22713844	
319	0.22407756	0.22949621	
319.2	0.226231	0.23185276	
319.4	0.22876764	0.23420811	
319.6	0.23171323	0.23656223	
319.8	0.23424488	0.23891515	
320	0.23691521	0.24126686	
320.2	0.23952957	0.24361735	
320.4	0.24196975	0.24596664	
320.6	0.24463114	0.24831472	
320.8	0.24697103	0.25066159	
321	0.24962085	0.25300725	
321.2	0.25267504	0.2553517	
321.4	0.25529337	0.25769495	
321.6	0.25736293	0.26003699	
321.8	0.2597376	0.26237782	
322	0.26215986	0.26471746	
322.2	0.26438312	0.26705588	
322.4	0.2665327	0.26939311	
322.6	0.26859956	0.27172913	
322.8	0.27011206	0.27406395	
323	0.27185241	0.27639756	
323.2	0.2735466	0.27872998	
323.4	0.27571289	0.28106119	
323.6	0.27792283	0.28339121	
323.8	0.28048747	0.28572003	
324	0.28233995	0.28804764	
324.2	0.28495241	0.29037406	
324.4	0.28718183	0.29269929	
324.6	0.2904718	0.29502331	
324.8	0.29363677	0.29734614	
325	0.296607	0.29966778	
325.2	0.30035284	0.30198822	
325.4	0.30294989	0.30430746	
325.6	0.30555585	0.30662551	
325.8	0.30778592	0.30894237	
326	0.31053783	0.31125804	
326.2	0.31262995	0.31357251	
326.4	0.3145091	0.3158858	
326.6	0.3161299	0.31819789	
326.8	0.31739118	0.32050879	
327	0.31907354	0.32281851	
327.2	0.32114708	0.32512703	
327.4	0.32273853	0.32743437	
327.6	0.32457331	0.32974052	
