Conc1	1.44E-08	
Start1	300	
Stop1	539.8	
Kobs	0.000261058723431444	
Error Kobs	1.63808770511959E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	0.00135381	0	
300.2	0.00139778	0.00106052	
300.4	0.00169708	0.00212075	
300.6	0.00208163	0.0031807	
300.8	0.00297161	0.00424037	
301	0.00363318	0.00529975	
301.2	0.00523892	0.00635884	
301.4	0.00580775	0.00741765	
301.6	0.0068561	0.00847618	
301.8	0.00823267	0.00953443	
302	0.00906544	0.01059238	
302.2	0.01047563	0.01165006	
302.4	0.01147463	0.01270745	
302.6	0.01260349	0.01376456	
302.8	0.01384356	0.01482138	
303	0.01427178	0.01587792	
303.2	0.01509025	0.01693418	
303.4	0.01569195	0.01799015	
303.6	0.01599188	0.01904584	
303.8	0.01666464	0.02010125	
304	0.01707702	0.02115637	
304.2	0.01824273	0.02221121	
304.4	0.01931714	0.02326576	
304.6	0.02048516	0.02432004	
304.8	0.02161251	0.02537403	
305	0.02217464	0.02642773	
305.2	0.02323148	0.02748116	
305.4	0.02357693	0.0285343	
305.6	0.02519058	0.02958716	
305.8	0.02658054	0.03063973	
306	0.02732864	0.03169203	
306.2	0.02886587	0.03274404	
306.4	0.0302464	0.03379577	
306.6	0.03146229	0.03484721	
306.8	0.03217812	0.03589838	
307	0.03289868	0.03694926	
307.2	0.03376549	0.03799986	
307.4	0.03427964	0.03905018	
307.6	0.03553876	0.04010021	
307.8	0.03676702	0.04114997	
308	0.03798362	0.04219944	
308.2	0.03877112	0.04324863	
308.4	0.03911547	0.04429754	
308.6	0.0398682	0.04534617	
308.8	0.04080642	0.04639451	
309	0.04127024	0.04744258	
309.2	0.04203775	0.04849036	
309.4	0.04302223	0.04953786	
309.6	0.04444387	0.05058508	
309.8	0.04509725	0.05163202	
310	0.04609179	0.05267868	
310.2	0.0474245	0.05372506	
310.4	0.04846966	0.05477115	
310.6	0.04940084	0.05581697	
310.8	0.04974348	0.0568625	
311	0.05070333	0.05790776	
311.2	0.05083277	0.05895273	
311.4	0.05205911	0.05999742	
311.6	0.05391907	0.06104184	
311.8	0.05496533	0.06208597	
312	0.05613958	0.06312982	
312.2	0.05697258	0.06417339	
312.4	0.05815095	0.06521668	
312.6	0.05970015	0.0662597	
312.8	0.0610482	0.06730243	
313	0.06215977	0.06834488	
313.2	0.06293561	0.06938705	
313.4	0.06391432	0.07042894	
313.6	0.06525179	0.07147056	
313.8	0.06564271	0.07251189	
314	0.06674807	0.07355294	
314.2	0.06692205	0.07459371	
314.4	0.06750853	0.07563421	
314.6	0.06813079	0.07667442	
314.8	0.06867959	0.07771436	
315	0.0694183	0.07875402	
315.2	0.06995464	0.07979339	
315.4	0.07155292	0.08083249	
315.6	0.07279888	0.08187131	
315.8	0.0737088	0.08290985	
316	0.07466261	0.08394812	
316.2	0.07583908	0.0849861	
316.4	0.07750491	0.0860238	
316.6	0.07915223	0.08706123	
316.8	0.08051826	0.08809838	
317	0.08203139	0.08913525	
317.2	0.08333215	0.09017184	
317.4	0.08449276	0.09120815	
317.6	0.08543615	0.09224418	
