Conc1	1E-07	
Start1	240	
Stop1	479.8	
Kobs	0.0163548353441134	
Error Kobs	0.000114887357651816	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	-0.00697577	0	
240.2	-0.0061171	0.00035788	
240.4	-0.00537343	0.00071415	
240.6	-0.00444973	0.00106881	
240.8	-0.00343089	0.00142186	
241	-0.00212522	0.00177332	
241.2	-0.00110684	0.00212319	
241.4	-0.00024238	0.00247147	
241.6	0.00058478	0.00281819	
241.8	0.00161134	0.00316334	
242	0.00223574	0.00350692	
242.2	0.00235851	0.00384896	
242.4	0.00269721	0.00418945	
242.6	0.00320541	0.0045284	
242.8	0.0045686	0.00486582	
243	0.00544241	0.00520171	
243.2	0.00609261	0.00553609	
243.4	0.00653887	0.00586896	
243.6	0.00704323	0.00620032	
243.8	0.0081738	0.00653018	
244	0.00876625	0.00685855	
244.2	0.00925007	0.00718544	
244.4	0.00956042	0.00751086	
244.6	0.00972858	0.0078348	
244.8	0.01031925	0.00815728	
245	0.01144183	0.0084783	
245.2	0.01170144	0.00879787	
245.4	0.01167973	0.00911599	
245.6	0.01225149	0.00943268	
245.8	0.01285484	0.00974794	
246	0.01321383	0.01006177	
246.2	0.01321963	0.01037418	
246.4	0.0132179	0.01068518	
246.6	0.01406827	0.01099478	
246.8	0.015366	0.01130298	
247	0.01636195	0.01160978	
247.2	0.01672033	0.0119152	
247.4	0.0168846	0.01221924	
247.6	0.01719191	0.0125219	
247.8	0.01846577	0.0128232	
248	0.01889574	0.01312314	
248.2	0.01946601	0.01342172	
248.4	0.01920557	0.01371895	
248.6	0.01892452	0.01401483	
248.8	0.01930469	0.01430938	
249	0.01975653	0.0146026	
249.2	0.01963795	0.0148945	
249.4	0.01950095	0.01518507	
249.6	0.01969638	0.01547433	
249.8	0.01958642	0.01576229	
250	0.02026354	0.01604894	
250.2	0.02075206	0.0163343	
250.4	0.02061301	0.01661837	
250.6	0.02129578	0.01690115	
250.8	0.02214466	0.01718266	
251	0.02313434	0.01746289	
251.2	0.02383688	0.01774186	
251.4	0.02381043	0.01801957	
251.6	0.02407364	0.01829602	
251.8	0.0244488	0.01857122	
252	0.02495994	0.01884518	
252.2	0.02538563	0.0191179	
252.4	0.0255765	0.01938939	
252.6	0.02514654	0.01965966	
252.8	0.0252503	0.0199287	
253	0.02568663	0.02019652	
253.2	0.02607769	0.02046314	
253.4	0.02613159	0.02072855	
253.6	0.02610413	0.02099276	
253.8	0.02646506	0.02125577	
254	0.02748366	0.0215176	
254.2	0.02763218	0.02177825	
254.4	0.02717091	0.02203771	
254.6	0.02671715	0.02229601	
254.8	0.02696899	0.02255314	
255	0.0273147	0.0228091	
255.2	0.02770397	0.02306391	
255.4	0.02806636	0.02331757	
255.6	0.02857268	0.02357008	
255.8	0.02881172	0.02382145	
256	0.02964521	0.02407168	
256.2	0.03011973	0.02432078	
256.4	0.03037605	0.02456876	
256.6	0.02979803	0.02481562	
256.8	0.03043805	0.02506136	
257	0.03116567	0.02530599	
257.2	0.03194258	0.02554952	
257.4	0.03209793	0.02579194	
257.6	0.03182905	0.02603327	
257.8	0.03134669	0.02627351	
258	0.03164904	0.02651266	
258.2	0.03175605	0.02675073	
258.4	0.0317715	0.02698773	
258.6	0.0312807	0.02722365	
258.8	0.03179434	0.02745851	
259	0.03222668	0.02769231	
259.2	0.03311129	0.02792505	
259.4	0.03404182	0.02815674	
259.6	0.03413541	0.02838738	
259.8	0.03443978	0.02861698	
260	0.03519221	0.02884555	
260.2	0.03596859	0.02907308	
260.4	0.03617164	0.02929958	
260.6	0.03596879	0.02952506	
260.8	0.03660448	0.02974952	
261	0.03695513	0.02997296	
261.2	0.03725952	0.0301954	
261.4	0.03708107	0.03041683	
261.6	0.03671579	0.03063726	
261.8	0.0361042	0.03085669	
262	0.03664034	0.03107513	
262.2	0.03708345	0.03129258	
262.4	0.03739494	0.03150906	
262.6	0.03721325	0.03172455	
262.8	0.03702463	0.03193907	
263	0.03716137	0.03215262	
263.2	0.03787677	0.0323652	
263.4	0.03851549	0.03257683	
263.6	0.03871259	0.0327875	
263.8	0.03896175	0.03299721	
264	0.03931455	0.03320598	
264.2	0.03957104	0.03341381	
264.4	0.03957425	0.03362069	
264.6	0.03978707	0.03382664	
264.8	0.0400391	0.03403166	
265	0.04027183	0.03423576	
265.2	0.0407577	0.03443893	
265.4	0.04132198	0.03464118	
265.6	0.04132442	0.03484252	
265.8	0.04103319	0.03504295	
266	0.04145001	0.03524247	
266.2	0.0420096	0.0354411	
266.4	0.04239539	0.03563882	
266.6	0.04240912	0.03583565	
266.8	0.04226196	0.03603159	
267	0.04222887	0.03622665	
267.2	0.0424784	0.03642082	
267.4	0.04247553	0.03661412	
267.6	0.04269185	0.03680654	
267.8	0.04223398	0.0369981	
