Conc1	3.33E-08	
Start1	240	
Stop1	479.8	
Kobs	0.0163548353441134	
Error Kobs	0.000114887357651816	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	-0.00384964	0	
240.2	-0.00354067	0.00008739	
240.4	-0.00323164	0.00017445	
240.6	-0.0032155	0.00026119	
240.8	-0.00315199	0.00034762	
241	-0.00308822	0.00043372	
241.2	-0.00323144	0.00051951	
241.4	-0.0029218	0.00060499	
241.6	-0.00272342	0.00069014	
241.8	-0.00278004	0.00077499	
242	-0.00255675	0.00085952	
242.2	-0.00223198	0.00094374	
242.4	-0.00166942	0.00102765	
242.6	-0.00107997	0.00111125	
242.8	-0.0004356	0.00119455	
243	-0.0000516	0.00127753	
243.2	0.00018612	0.00136021	
243.4	0.00090782	0.00144259	
243.6	0.00109708	0.00152466	
243.8	0.00122619	0.00160643	
244	0.00199835	0.0016879	
244.2	0.0017808	0.00176907	
244.4	0.00189532	0.00184994	
244.6	0.00187974	0.00193052	
244.8	0.00178487	0.00201079	
245	0.0014965	0.00209077	
245.2	0.00146633	0.00217046	
245.4	0.00174762	0.00224985	
245.6	0.00188486	0.00232895	
245.8	0.00198282	0.00240776	
246	0.00234829	0.00248628	
246.2	0.00289225	0.00256451	
246.4	0.00333684	0.00264245	
246.6	0.00354283	0.0027201	
246.8	0.00399164	0.00279747	
247	0.00394314	0.00287455	
247.2	0.00427902	0.00295135	
247.4	0.00466729	0.00302787	
247.6	0.00446096	0.0031041	
247.8	0.00431092	0.00318005	
248	0.00456285	0.00325573	
248.2	0.0038567	0.00333112	
248.4	0.00422574	0.00340624	
248.6	0.00415604	0.00348108	
248.8	0.00404316	0.00355564	
249	0.00398125	0.00362993	
249.2	0.00440527	0.00370395	
249.4	0.00423361	0.0037777	
249.6	0.00432986	0.00385117	
249.8	0.0044466	0.00392437	
250	0.00444608	0.0039973	
250.2	0.00476278	0.00406997	
250.4	0.00487883	0.00414236	
250.6	0.00499553	0.00421449	
250.8	0.00509673	0.00428635	
251	0.0048518	0.00435795	
251.2	0.00527746	0.00442929	
251.4	0.00544487	0.00450036	
251.6	0.00527391	0.00457117	
251.8	0.00500217	0.00464172	
252	0.00499264	0.00471201	
252.2	0.00499889	0.00478204	
252.4	0.00509629	0.00485182	
252.6	0.00540737	0.00492133	
252.8	0.00565827	0.00499059	
253	0.00604281	0.0050596	
253.2	0.00632198	0.00512835	
253.4	0.00584035	0.00519685	
253.6	0.00603692	0.00526509	
253.8	0.00612988	0.00533309	
254	0.00602496	0.00540083	
254.2	0.00624487	0.00546832	
254.4	0.0065379	0.00553557	
254.6	0.00659936	0.00560257	
254.8	0.00669643	0.00566932	
255	0.0069181	0.00573582	
255.2	0.00719482	0.00580208	
255.4	0.007154	0.0058681	
255.6	0.00679388	0.00593387	
255.8	0.00669656	0.0059994	
256	0.00709119	0.00606469	
256.2	0.00741978	0.00612974	
256.4	0.00747829	0.00619455	
