Conc1	1E-07	
Start1	240	
Stop1	479.8	
Kobs	6.26099209825532E-17	
Error Kobs	7175532618620.93	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	-0.00370823	0	
240.2	-0.00437331	0	
240.4	-0.00501967	0	
240.6	-0.0060214	0	
240.8	-0.00711868	0	
241	-0.00801872	0	
241.2	-0.00916353	0	
241.4	-0.00989467	0	
241.6	-0.01079667	0	
241.8	-0.01172007	0	
242	-0.01252075	0	
242.2	-0.01303974	0	
242.4	-0.01395656	0	
242.6	-0.01425854	0	
242.8	-0.01470829	0	
243	-0.01507012	0	
243.2	-0.01527121	0	
243.4	-0.0156551	0	
243.6	-0.01587757	0	
243.8	-0.0162238	0	
244	-0.01637707	0	
244.2	-0.01660315	0	
244.4	-0.01674742	0	
244.6	-0.01717504	0	
244.8	-0.01756407	0	
245	-0.01763143	0	
245.2	-0.01826166	0	
245.4	-0.01883112	0	
245.6	-0.01904043	0	
245.8	-0.01959722	0	
246	-0.02021742	0	
246.2	-0.02084753	0	
246.4	-0.0215408	0	
246.6	-0.02156511	0	
246.8	-0.02198	0	
247	-0.02224911	0	
247.2	-0.02236869	0	
247.4	-0.02253477	0	
247.6	-0.02278282	0	
247.8	-0.02303793	0	
248	-0.02276873	0	
248.2	-0.022483	0	
248.4	-0.02249546	0	
248.6	-0.02271037	0	
248.8	-0.02264677	0	
249	-0.02305976	0	
249.2	-0.02370936	0	
249.4	-0.02397111	0	
249.6	-0.02367041	0	
249.8	-0.024405	0	
250	-0.02487672	0	
250.2	-0.02529211	0	
250.4	-0.02551479	0	
250.6	-0.02565588	0	
250.8	-0.02622883	0	
251	-0.02637459	0	
251.2	-0.02663764	0	
251.4	-0.02675429	0	
251.6	-0.02679296	0	
251.8	-0.02678055	0	
252	-0.02701345	0	
252.2	-0.02714531	0	
252.4	-0.02753188	0	
252.6	-0.02785595	0	
252.8	-0.02789345	0	
253	-0.0283306	0	
253.2	-0.02853544	0	
253.4	-0.02863058	0	
253.6	-0.02887808	0	
253.8	-0.02932437	0	
254	-0.02929648	0	
254.2	-0.02952741	0	
254.4	-0.02943232	0	
254.6	-0.029638	0	
254.8	-0.0296176	0	
255	-0.02918925	0	
255.2	-0.02923082	0	
255.4	-0.02921442	0	
255.6	-0.02898783	0	
255.8	-0.0290853	0	
256	-0.02892144	0	
256.2	-0.02839771	0	
256.4	-0.02876622	0	
256.6	-0.02856743	0	
256.8	-0.02852643	0	
257	-0.02882146	0	
257.2	-0.02924	0	
257.4	-0.02955045	0	
257.6	-0.02966697	0	
257.8	-0.02979396	0	
258	-0.03002331	0	
258.2	-0.03041534	0	
258.4	-0.03038448	0	
258.6	-0.03078293	0	
258.8	-0.03089908	0	
259	-0.03128005	0	
259.2	-0.0318957	0	
259.4	-0.03166157	0	
259.6	-0.03142635	0	
259.8	-0.03124969	0	
260	-0.03060885	0	
260.2	-0.03065633	0	
260.4	-0.03124162	0	
260.6	-0.03103765	0	
260.8	-0.03097237	0	
261	-0.03101264	0	
261.2	-0.03072087	0	
261.4	-0.03067228	0	
261.6	-0.03062273	0	
261.8	-0.03086397	0	
262	-0.03145775	0	
262.2	-0.03189088	0	
262.4	-0.03211007	0	
262.6	-0.03247042	0	
262.8	-0.03267528	0	
263	-0.03301926	0	
263.2	-0.03299498	0	
263.4	-0.03287151	0	
263.6	-0.0327495	0	
263.8	-0.03246064	0	
264	-0.03223778	0	
264.2	-0.03269458	0	
264.4	-0.03267269	0	
264.6	-0.03194258	0	
264.8	-0.03186629	0	
265	-0.0318426	0	
265.2	-0.03198819	0	
265.4	-0.0321854	0	
265.6	-0.03231782	0	
265.8	-0.03253136	0	
266	-0.03282083	0	
266.2	-0.03296603	0	
266.4	-0.03289679	0	
266.6	-0.03285075	0	
266.8	-0.03300415	0	
267	-0.03330903	0	
267.2	-0.03349105	0	
267.4	-0.03370724	0	
267.6	-0.03345734	0	
267.8	-0.03350915	0	
268	-0.03350387	0	
268.2	-0.03368398	0	
268.4	-0.03355528	0	
268.6	-0.03360867	0	
268.8	-0.03435801	0	
269	-0.03440645	0	
269.2	-0.03469369	0	
269.4	-0.03486178	0	
269.6	-0.03480014	0	
269.8	-0.03504127	0	
270	-0.03480047	0	
270.2	-0.03454948	0	
270.4	-0.03440835	0	
270.6	-0.03405652	0	
270.8	-0.03374672	0	
271	-0.03343381	0	
271.2	-0.03310973	0	
271.4	-0.03273955	0	
271.6	-0.03246309	0	
271.8	-0.03229471	0	
272	-0.03192453	0	
272.2	-0.03192152	0	
272.4	-0.03187118	0	
272.6	-0.03254314	0	
272.8	-0.03287646	0	
273	-0.03296386	0	
273.2	-0.03342805	0	
273.4	-0.03359511	0	
273.6	-0.03408511	0	
273.8	-0.03458624	0	
274	-0.03478699	0	
274.2	-0.03495988	0	
274.4	-0.03514641	0	
274.6	-0.0351009	0	
274.8	-0.03495653	0	
275	-0.03499325	0	
275.2	-0.03509361	0	
275.4	-0.03498386	0	
275.6	-0.03500985	0	
275.8	-0.03507993	0	
276	-0.0350612	0	
276.2	-0.03503369	0	
276.4	-0.03496939	0	
276.6	-0.03538884	0	
276.8	-0.03500194	0	
277	-0.03506812	0	
277.2	-0.03513786	0	
277.4	-0.03528828	0	
277.6	-0.03584927	0	
277.8	-0.03574956	0	
278	-0.03587692	0	
278.2	-0.03557621	0	
278.4	-0.03585021	0	
278.6	-0.03586978	0	
278.8	-0.03593388	0	
279	-0.03616711	0	
279.2	-0.03616216	0	
279.4	-0.03599985	0	
279.6	-0.03594908	0	
279.8	-0.03604309	0	
280	-0.03591176	0	
280.2	-0.03558812	0	
280.4	-0.03563564	0	
280.6	-0.03552392	0	
280.8	-0.03518582	0	
281	-0.03543576	0	
281.2	-0.03562297	0	
281.4	-0.0359985	0	
281.6	-0.03605023	0	
281.8	-0.03585831	0	
282	-0.03589455	0	
282.2	-0.03561822	0	
282.4	-0.0360522	0	
282.6	-0.03596917	0	
282.8	-0.03623354	0	
283	-0.03602287	0	
283.2	-0.03603859	0	
283.4	-0.03592707	0	
283.6	-0.03578348	0	
283.8	-0.03597281	0	
284	-0.03577956	0	
284.2	-0.03564428	0	
284.4	-0.03575438	0	
284.6	-0.03571733	0	
284.8	-0.03596846	0	
285	-0.03638683	0	
285.2	-0.03652545	0	
285.4	-0.03668805	0	
285.6	-0.0364789	0	
285.8	-0.03636222	0	
286	-0.03619619	0	
286.2	-0.03616974	0	
286.4	-0.03631483	0	
286.6	-0.03648864	0	
286.8	-0.0365935	0	
287	-0.03670723	0	
287.2	-0.03697308	0	
287.4	-0.03693817	0	
287.6	-0.03674583	0	
287.8	-0.03651627	0	
288	-0.03614645	0	
288.2	-0.03631951	0	
288.4	-0.0363718	0	
288.6	-0.03663366	0	
288.8	-0.03697612	0	
289	-0.03701211	0	
289.2	-0.03696382	0	
289.4	-0.03709022	0	
289.6	-0.03721158	0	
289.8	-0.03727634	0	
290	-0.03762022	0	
290.2	-0.03789604	0	
290.4	-0.03787061	0	
290.6	-0.03799787	0	
290.8	-0.03807959	0	
291	-0.03799184	0	
291.2	-0.03781871	0	
291.4	-0.03727265	0	
291.6	-0.03684602	0	
291.8	-0.03653158	0	
292	-0.03649727	0	
292.2	-0.0365094	0	
292.4	-0.03633673	0	
292.6	-0.03631032	0	
292.8	-0.03626022	0	
293	-0.0362576	0	
293.2	-0.03640692	0	
293.4	-0.03679874	0	
293.6	-0.03721024	0	
293.8	-0.03747682	0	
294	-0.03807327	0	
294.2	-0.0380689	0	
294.4	-0.03827642	0	
294.6	-0.03847151	0	
294.8	-0.03891064	0	
295	-0.03876762	0	
295.2	-0.03884959	0	
295.4	-0.03857666	0	
295.6	-0.03873865	0	
295.8	-0.03872997	0	
296	-0.03863459	0	
296.2	-0.03835152	0	
296.4	-0.03824615	0	
296.6	-0.03810543	0	
296.8	-0.03810034	0	
297	-0.0380092	0	
297.2	-0.03778972	0	
297.4	-0.03808218	0	
297.6	-0.03799962	0	
297.8	-0.037893	0	
298	-0.03817973	0	
298.2	-0.03813214	0	
298.4	-0.03841844	0	
298.6	-0.03856822	0	
298.8	-0.03871916	0	
299	-0.03850045	0	
299.2	-0.03866255	0	
299.4	-0.03848997	0	
299.6	-0.03834011	0	
299.8	-0.03811343	0	
300	-0.03809269	0	
300.2	-0.03814053	0	
300.4	-0.03824812	0	
300.6	-0.0381762	0	
300.8	-0.03826012	0	
301	-0.03832465	0	
301.2	-0.03832677	0	
301.4	-0.03862682	0	
301.6	-0.03853963	0	
301.8	-0.03852267	0	
302	-0.0387886	0	
302.2	-0.03889924	0	
302.4	-0.03957082	0	
302.6	-0.03975074	0	
302.8	-0.03955185	0	
303	-0.03941113	0	
303.2	-0.03936133	0	
303.4	-0.03895037	0	
303.6	-0.0387511	0	
303.8	-0.03871433	0	
304	-0.03888068	0	
304.2	-0.03884933	0	
304.4	-0.03874835	0	
304.6	-0.03862855	0	
304.8	-0.03859535	0	
305	-0.03846124	0	
305.2	-0.03844225	0	
305.4	-0.03826062	0	
305.6	-0.0380603	0	
305.8	-0.03774646	0	
306	-0.03791142	0	
306.2	-0.03807749	0	
306.4	-0.03827463	0	
306.6	-0.03820812	0	
306.8	-0.03817024	0	
307	-0.03864576	0	
307.2	-0.03834277	0	
307.4	-0.03846672	0	
307.6	-0.03849096	0	
307.8	-0.03880165	0	
308	-0.03875667	0	
308.2	-0.03895781	0	
308.4	-0.03906633	0	
308.6	-0.03938845	0	
308.8	-0.03959878	0	
309	-0.03974563	0	
309.2	-0.03993217	0	
309.4	-0.03981919	0	
309.6	-0.03974274	0	
309.8	-0.03956712	0	
310	-0.03998331	0	
310.2	-0.03989303	0	
310.4	-0.04003366	0	
310.6	-0.04019139	0	
310.8	-0.04019882	0	
311	-0.04034598	0	
311.2	-0.03970502	0	
311.4	-0.03963318	0	
311.6	-0.03933561	0	
311.8	-0.03944799	0	
312	-0.03895071	0	
312.2	-0.03882212	0	
312.4	-0.03889574	0	
312.6	-0.03916693	0	
312.8	-0.0392469	0	
313	-0.03904405	0	
313.2	-0.03915174	0	
313.4	-0.03934513	0	
313.6	-0.03955541	0	
313.8	-0.03905481	0	
314	-0.03924239	0	
314.2	-0.03920653	0	
314.4	-0.03948267	0	
314.6	-0.03947061	0	
314.8	-0.0397895	0	
315	-0.0398578	0	
315.2	-0.03966755	0	
315.4	-0.0395586	0	
315.6	-0.03946068	0	
315.8	-0.03954638	0	
316	-0.0395332	0	
316.2	-0.03960286	0	
316.4	-0.04013914	0	
316.6	-0.04039717	0	
316.8	-0.0404975	0	
317	-0.04026436	0	
317.2	-0.04036723	0	
317.4	-0.04043546	0	
317.6	-0.04049575	0	
317.8	-0.04052061	0	
318	-0.04087657	0	
318.2	-0.04075447	0	
318.4	-0.0406494	0	
318.6	-0.04054458	0	
318.8	-0.04042915	0	
319	-0.04046381	0	
319.2	-0.04044083	0	
319.4	-0.04022744	0	
319.6	-0.04047999	0	
319.8	-0.04054957	0	
320	-0.04056842	0	
320.2	-0.04024399	0	
320.4	-0.04002024	0	
320.6	-0.0397954	0	
320.8	-0.04002112	0	
321	-0.03991948	0	
321.2	-0.04009875	0	
321.4	-0.04034159	0	
321.6	-0.04066343	0	
321.8	-0.04103942	0	
322	-0.04064971	0	
322.2	-0.04045756	0	
322.4	-0.04055246	0	
322.6	-0.04064004	0	
322.8	-0.04054028	0	
323	-0.04076547	0	
323.2	-0.04067975	0	
323.4	-0.04079722	0	
323.6	-0.04094091	0	
323.8	-0.04051306	0	
324	-0.04079568	0	
324.2	-0.04086094	0	
324.4	-0.04098713	0	
324.6	-0.04123851	0	
324.8	-0.0413807	0	
325	-0.04120151	0	
325.2	-0.04158661	0	
325.4	-0.04130144	0	
325.6	-0.04159602	0	
325.8	-0.04184499	0	
326	-0.04172381	0	
326.2	-0.04171934	0	
326.4	-0.04182295	0	
