Conc1	3E-07	
Start1	240	
Stop1	479.8	
Kobs	6.26099209825532E-17	
Error Kobs	3883195592794.75	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
240	0.00418009	0	
240.2	0.00299996	0	
240.4	0.00177184	0	
240.6	0.00055597	0	
240.8	-0.00060748	0	
241	-0.00193768	0	
241.2	-0.00315477	0	
241.4	-0.00445571	0	
241.6	-0.00547171	0	
241.8	-0.00640981	0	
242	-0.00733294	0	
242.2	-0.00775482	0	
242.4	-0.00842857	0	
242.6	-0.00971354	0	
242.8	-0.01016004	0	
243	-0.01092598	0	
243.2	-0.01138872	0	
243.4	-0.01249063	0	
243.6	-0.01325901	0	
243.8	-0.01357605	0	
244	-0.01439039	0	
244.2	-0.01486253	0	
244.4	-0.01527612	0	
244.6	-0.01571959	0	
244.8	-0.01637388	0	
245	-0.01682011	0	
245.2	-0.01726265	0	
245.4	-0.01765578	0	
245.6	-0.01801376	0	
245.8	-0.01820551	0	
246	-0.01886712	0	
246.2	-0.01890419	0	
246.4	-0.01960284	0	
246.6	-0.02021327	0	
246.8	-0.02000607	0	
247	-0.02051457	0	
247.2	-0.02065823	0	
247.4	-0.0213252	0	
247.6	-0.02125778	0	
247.8	-0.02133085	0	
248	-0.02148764	0	
248.2	-0.02181005	0	
248.4	-0.0220807	0	
248.6	-0.02246439	0	
248.8	-0.02276694	0	
249	-0.02313757	0	
249.2	-0.02316739	0	
249.4	-0.02306798	0	
249.6	-0.02326958	0	
249.8	-0.02342514	0	
250	-0.02368321	0	
250.2	-0.02349073	0	
250.4	-0.02407202	0	
250.6	-0.02434693	0	
250.8	-0.02413966	0	
251	-0.02428819	0	
251.2	-0.02450581	0	
251.4	-0.02471469	0	
251.6	-0.02475885	0	
251.8	-0.02507148	0	
252	-0.02515909	0	
252.2	-0.0255451	0	
252.4	-0.02558041	0	
252.6	-0.02602594	0	
252.8	-0.02616812	0	
253	-0.02626532	0	
253.2	-0.02609407	0	
253.4	-0.02608666	0	
253.6	-0.02608806	0	
253.8	-0.02616274	0	
254	-0.02623927	0	
254.2	-0.02644903	0	
254.4	-0.02672828	0	
254.6	-0.02689956	0	
254.8	-0.02668629	0	
255	-0.02672877	0	
255.2	-0.02691957	0	
255.4	-0.0268611	0	
255.6	-0.0268481	0	
255.8	-0.02665975	0	
256	-0.02637885	0	
256.2	-0.02625594	0	
256.4	-0.02610357	0	
256.6	-0.02628103	0	
256.8	-0.02607561	0	
257	-0.02583333	0	
257.2	-0.02595102	0	
257.4	-0.02567279	0	
257.6	-0.0261138	0	
257.8	-0.02638249	0	
258	-0.02675707	0	
258.2	-0.02687048	0	
258.4	-0.02720425	0	
258.6	-0.0276607	0	
258.8	-0.02813397	0	
259	-0.02789711	0	
259.2	-0.02814375	0	
259.4	-0.02852518	0	
259.6	-0.02837792	0	
259.8	-0.02845197	0	
260	-0.02864372	0	
260.2	-0.02853241	0	
260.4	-0.02880936	0	
260.6	-0.02905069	0	
260.8	-0.02901939	0	
261	-0.02909831	0	
261.2	-0.02899673	0	
261.4	-0.02870829	0	
261.6	-0.02871746	0	
261.8	-0.02852592	0	
262	-0.02873455	0	
262.2	-0.02892924	0	
262.4	-0.02918843	0	
262.6	-0.02917116	0	
262.8	-0.02925597	0	
263	-0.02874321	0	
263.2	-0.02917152	0	
263.4	-0.02936417	0	
263.6	-0.02911199	0	
263.8	-0.02922986	0	
264	-0.02907698	0	
264.2	-0.02880708	0	
264.4	-0.02910048	0	
264.6	-0.02895239	0	
264.8	-0.02888756	0	
265	-0.02910395	0	
265.2	-0.02864613	0	
265.4	-0.02868355	0	
265.6	-0.02882789	0	
265.8	-0.02930038	0	
266	-0.02939542	0	
266.2	-0.02954368	0	
266.4	-0.02931317	0	
266.6	-0.02946154	0	
266.8	-0.02976662	0	
267	-0.02978474	0	
267.2	-0.02973688	0	
267.4	-0.02966718	0	
267.6	-0.02971062	0	
267.8	-0.02964595	0	
268	-0.02963675	0	
268.2	-0.02980652	0	
268.4	-0.02994748	0	
268.6	-0.03025229	0	
268.8	-0.03026489	0	
269	-0.03052557	0	
269.2	-0.03059272	0	
269.4	-0.03050383	0	
269.6	-0.03058625	0	
269.8	-0.03094867	0	
270	-0.03067872	0	
270.2	-0.03063985	0	
270.4	-0.03040007	0	
270.6	-0.03059033	0	
270.8	-0.03014254	0	
271	-0.02988062	0	
271.2	-0.02948692	0	
271.4	-0.02986089	0	
271.6	-0.02981293	0	
271.8	-0.02905565	0	
272	-0.02898531	0	
272.2	-0.02924916	0	
272.4	-0.02910083	0	
272.6	-0.02912823	0	
272.8	-0.0287221	0	
273	-0.02935766	0	
273.2	-0.02921027	0	
273.4	-0.02902639	0	
273.6	-0.02930481	0	
273.8	-0.02962022	0	
274	-0.02960893	0	
274.2	-0.03020003	0	
274.4	-0.03034929	0	
274.6	-0.03031243	0	
274.8	-0.03011517	0	
275	-0.03074543	0	
275.2	-0.03064108	0	
275.4	-0.03090566	0	
275.6	-0.03027996	0	
275.8	-0.03009284	0	
276	-0.03052968	0	
276.2	-0.0308324	0	
276.4	-0.0305306	0	
276.6	-0.03056342	0	
276.8	-0.03034639	0	
277	-0.03031008	0	
277.2	-0.02980637	0	
277.4	-0.03014278	0	
277.6	-0.03045161	0	
277.8	-0.0303202	0	
278	-0.03031205	0	
278.2	-0.0307484	0	
278.4	-0.0306926	0	
278.6	-0.03057465	0	
278.8	-0.03063091	0	
279	-0.03086647	0	
279.2	-0.03063068	0	
279.4	-0.03089934	0	
279.6	-0.03064022	0	
279.8	-0.03070969	0	
280	-0.03049017	0	
280.2	-0.03034361	0	
280.4	-0.02988337	0	
280.6	-0.02966941	0	
280.8	-0.02936327	0	
281	-0.02921332	0	
281.2	-0.02940837	0	
281.4	-0.02948374	0	
281.6	-0.02931252	0	
281.8	-0.02877108	0	
282	-0.02908161	0	
282.2	-0.02975686	0	
282.4	-0.02968811	0	
282.6	-0.02970662	0	
282.8	-0.0297749	0	
283	-0.0299065	0	
283.2	-0.03012138	0	
283.4	-0.03036063	0	
283.6	-0.03020692	0	
283.8	-0.03021913	0	
284	-0.03056833	0	
284.2	-0.03047995	0	
284.4	-0.03055504	0	
284.6	-0.03046333	0	
284.8	-0.03017617	0	
285	-0.03016606	0	
285.2	-0.0299415	0	
285.4	-0.02955724	0	
285.6	-0.02931595	0	
285.8	-0.02913484	0	
286	-0.02935815	0	
286.2	-0.02951391	0	
286.4	-0.02942265	0	
286.6	-0.02934517	0	
286.8	-0.02938983	0	
287	-0.02976417	0	
287.2	-0.03030181	0	
287.4	-0.0306516	0	
287.6	-0.03093886	0	
287.8	-0.03143448	0	
288	-0.03203695	0	
288.2	-0.03182144	0	
288.4	-0.03179745	0	
288.6	-0.03179194	0	
288.8	-0.03171685	0	
289	-0.03176605	0	
289.2	-0.03146857	0	
289.4	-0.03103126	0	
289.6	-0.03095314	0	
289.8	-0.03075144	0	
290	-0.03036451	0	
290.2	-0.03010878	0	
290.4	-0.02975483	0	
290.6	-0.02942789	0	
290.8	-0.02935542	0	
291	-0.02964381	0	
291.2	-0.02926407	0	
291.4	-0.02910506	0	
291.6	-0.0289625	0	
291.8	-0.02900082	0	
292	-0.02898762	0	
292.2	-0.02930841	0	
292.4	-0.02959932	0	
292.6	-0.03043473	0	
292.8	-0.03065653	0	
293	-0.03094518	0	
293.2	-0.03140063	0	
293.4	-0.03140777	0	
293.6	-0.03167904	0	
293.8	-0.03157778	0	
294	-0.03163866	0	
294.2	-0.03148431	0	
294.4	-0.03143225	0	
294.6	-0.03140522	0	
294.8	-0.03107225	0	
295	-0.03053502	0	
295.2	-0.03006707	0	
295.4	-0.02965296	0	
295.6	-0.0296496	0	
295.8	-0.02945157	0	
296	-0.02952067	0	
296.2	-0.02945907	0	
296.4	-0.02906853	0	
296.6	-0.02923686	0	
296.8	-0.02931588	0	
297	-0.02926893	0	
297.2	-0.0293607	0	
297.4	-0.02915906	0	
297.6	-0.02953788	0	
297.8	-0.02972834	0	
298	-0.02997535	0	
298.2	-0.02989651	0	
298.4	-0.03020939	0	
298.6	-0.03033442	0	
298.8	-0.03035175	0	
299	-0.03053199	0	
299.2	-0.03097149	0	
299.4	-0.03076368	0	
299.6	-0.03117534	0	
299.8	-0.03075373	0	
300	-0.0308481	0	
300.2	-0.03049108	0	
300.4	-0.0302278	0	
300.6	-0.03017558	0	
300.8	-0.03008194	0	
301	-0.02955005	0	
301.2	-0.0292645	0	
301.4	-0.02937441	0	
301.6	-0.02956676	0	
301.8	-0.0294772	0	
302	-0.02948226	0	
302.2	-0.02959629	0	
302.4	-0.02985127	0	
302.6	-0.03019687	0	
302.8	-0.0303103	0	
303	-0.03062605	0	
303.2	-0.03056132	0	
303.4	-0.03061682	0	
303.6	-0.03070856	0	
303.8	-0.03066929	0	
304	-0.03061946	0	
304.2	-0.03051465	0	
304.4	-0.0304545	0	
304.6	-0.03016333	0	
304.8	-0.03021675	0	
305	-0.03013814	0	
305.2	-0.02992646	0	
305.4	-0.03012115	0	
305.6	-0.03028119	0	
305.8	-0.03006818	0	
306	-0.02996823	0	
306.2	-0.02995813	0	
306.4	-0.03006339	0	
306.6	-0.03011842	0	
306.8	-0.0303538	0	
307	-0.03052235	0	
307.2	-0.03041315	0	
