Conc1	6.057E-08	
Start1	300	
Stop1	539.8	
Kobs	34695276406.1182	
Error Kobs	NaN	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
300	-0.00236115	0	
300.2	-0.00434923	0	
300.4	-0.00610085	0	
300.6	-0.00832012	0	
300.8	-0.01071225	0	
301	-0.01292892	0	
301.2	-0.01495283	0	
301.4	-0.01676867	0	
301.6	-0.01809388	0	
301.8	-0.0195845	0	
302	-0.02011404	0	
302.2	-0.01999166	0	
302.4	-0.02030585	0	
302.6	-0.02092164	0	
302.8	-0.02099413	0	
303	-0.02142844	0	
303.2	-0.02200286	0	
303.4	-0.02227401	0	
303.6	-0.02219895	0	
303.8	-0.02217953	0	
304	-0.02246992	0	
304.2	-0.0226743	0	
304.4	-0.02260881	0	
304.6	-0.023494	0	
304.8	-0.02419956	0	
305	-0.0246536	0	
305.2	-0.02467923	0	
305.4	-0.02437163	0	
305.6	-0.02453432	0	
305.8	-0.02516996	0	
306	-0.0246491	0	
306.2	-0.02442383	0	
306.4	-0.02458309	0	
306.6	-0.0246716	0	
306.8	-0.02444313	0	
307	-0.02473577	0	
307.2	-0.02436707	0	
307.4	-0.02420588	0	
307.6	-0.02454408	0	
307.8	-0.02498154	0	
308	-0.02542692	0	
308.2	-0.02556459	0	
308.4	-0.02566197	0	
308.6	-0.02651352	0	
308.8	-0.02710031	0	
309	-0.02727744	0	
309.2	-0.02713967	0	
309.4	-0.0273026	0	
309.6	-0.02809806	0	
309.8	-0.02843069	0	
310	-0.02821292	0	
310.2	-0.02837828	0	
310.4	-0.028698	0	
310.6	-0.02814555	0	
310.8	-0.02817849	0	
311	-0.02814536	0	
311.2	-0.02756975	0	
311.4	-0.02768881	0	
311.6	-0.02786791	0	
311.8	-0.02762991	0	
312	-0.02765532	0	
312.2	-0.02764379	0	
312.4	-0.02784128	0	
312.6	-0.02876258	0	
312.8	-0.02904166	0	
313	-0.02876783	0	
313.2	-0.02871063	0	
313.4	-0.02921004	0	
313.6	-0.02968458	0	
313.8	-0.03020703	0	
314	-0.03048098	0	
314.2	-0.03061762	0	
