,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40
Mutate,82471,86239,60793,64956,47712,44826
150055-023_2E04,2432,5820,530,200,2030,359
C1-2-E05,347,1074,113,29,694,98
AG13-3E04,248,773,72,45,332,71
R95-2E12,84,191,6,2,44,6
W85-2A10,2253,4560,465,164,1784,299
K77-1B02,93,141,25,12,70,6
Incomplete,21707,17814,8314,5658,9560,3412
AG9-4B03,7249,13087,1051,569,3068,571
W85-3B09,604,1919,117,40,771,141
K77-2A05,75,224,8,2,38,6
W85-2D05,344,727,63,22,223,37
014_10_3C04,29,36,2,1,4,1
56.f.01_Heavy,56,38,9,0,12,1
236-14-IgG_1A06,238,239,101,25,129,17
150055-029_2B03,1507,2569,330,144,1211,228
K77-1G05,97,233,1,1,43,5
K77-1C10,0,0,0,0,0,0
K77-2A10,198,441,41,16,126,30
AG10-3A02,1791,3892,370,156,2074,264
W85-1H08,7,45,1,0,2,3
AG13-3D02,69,120,26,8,27,9
150055-015_1D02,198,379,47,5,100,17
R95-1B02,271,148,69,25,65,15
R95-2B02,17,63,4,1,3,1
AG2-F02,68,57,26,2,23,2
TooLong,335,337,269,408,562,515
AG13-3B01,1,1,0,0,0,0
NoneNative,626,1339,156,65,482,114
FailAlign,15,7,725,9,1481,18
K77-2H08,55,33,9,3,10,1
034-100809_1A03,154,33,26,5,11,2
C1-2D03,142,44,44,13,19,5
AG11-2A01,72,23,5,1,2,3
C6-2-2C06,41,13,1,11,1,4
31.a.55_Heavy,566,113,42866,13492,14253,1489
01.d.04_Heavy,683,105,216,71,64,11
017_10_5E01,2085,318,459,341,142,39
C1-2A02,60,18,17,1,10,2
042_10_4C06,107,43,24,51,26,6
029_09_2A06,51,15,7,248,5,40
037-10_5E04,136,51,27,11,22,2
C1-2E01,87,26,25,3,23,1
037-10036_4D02,467,112,66,26,31,3
K77-2H12,1,5,0,0,0,0
028-10134_4D06,2,0,0,0,0,0
034-100809_1B02,152,34,42,17,14,1
034-100809_3E01,26,10,3,0,2,1
C1-F02,6,1,6,1,0,0
16.ND.95_Heavy,82,21,27,9,19,4
FluA-152,214,36,74,21,23,4
R95-2C07,141,19,29,11,12,5
C1-B01,47,17,5,1,8,3
AG1-A01,21,8,7,3,5,0
01.o.02_Heavy,82,15,15,7,10,5
W85-3D10,8,115,1,1,33,7
051_09_5D01,141,1679,27,13,338,58
024-10128_3E06,169,958,54,14,435,68
C6-2-C01,40,144,8,39,82,96
W85-1E07,7,21,1,0,2,2
R95-1G06,16,90,3,0,27,4
C2-3-D06,74,624,17,4,360,52
C2-3-F04,31,311,8,3,59,4
AG10-A05,93,831,49,19,454,86
C7-3-A05,24,211,3,6,135,13
56.e.01_Heavy,120,422,36,9,121,12
56.d.01_Heavy,12,64,2,1,34,5
R95-2G09,95,305,23,4,135,17
R95-1D06,25,192,7,1,74,4
W85-3C05,6,48,0,0,10,2
150055-008_3F01,31,571,15,6,348,56
AG12-3A03,3,8,0,0,8,0
K77-2F02,147,694,36,8,239,29
K77-2A04,76,349,19,2,82,21
R95-1E05,15,57,1,0,8,0
K77-2C09,5,24,1,2,6,0
C1-C02,6,15,1,0,1,0
K77-2A09,1,8,0,0,0,0
034-100809_1F05,3,17,1,0,15,4
W85-3F01,2,4,1,0,0,0
16.ND.92_Heavy,140,243,1607,17,2822,20
W85-1D12,73,135,24,7,41,9
C3-2-3F02,656,1370,87,47,260,64
041-102909_3G02,1277,475,410,141,332,60
W85-1F07,256,90,49,14,29,10
034-100809_1F04,59,120,15,8,23,13
240-14-IgA_2F02,697,1188,103,26083,402,24765
R95-1C09,1018,1214,243,91,495,92
K77-1C12,20,62,3,1,2,3
2-12C,62,13,13,1,4,2
K77-1D09,111,132,24,7,32,6
W85-2B12,525,477,111,22,103,17
C6-G03,533,361,175,45,196,33
01.ad.01_Heavy,8,17,1,425,8,196
236-14-IgG_1B03,19,13,6,1,6,2
K77-1G04,43,55,22,6,34,1
034-100809_1F06,31,15,15,2,7,0
W85-1E01,15,4,4,2,0,0
014_10_3F03,15,36,3,10,3,4
014_10_1G06,105,37,19,13,18,3
AG11-3C06,33,79,4,1,2,0
W85-2B03,35,31,7,0,3,2
051_10_2B05,8,9,0,75,4,20
K77-2D08,1,4,0,0,0,0
R95-1H04,73,165,22,12,91,15
K77-2G11,146,227,43,20,88,14
56.j.01_Heavy,803,1625,199,28120,944,36074
K77-1C11,284,533,82,22,228,50
C2-3-G03,103,276,14,27,69,42
045_09_1F04,43,135,16,2,55,13
041-102909_3A03,100,625,30,10,246,29
019-10117_3E02,152,928,43,8,335,57
039_10_5C05,98,252,14,2,50,7
R95-1F03,20,34,3,2,2,0
13001-22_3E05,10,51,0,1,25,1
SFV009_3A02,38,68,9,2,7,2
042_10_4C01,798,1127,164,51,356,36
R95-2H06,58,188,20,5,53,12
024_10_4C05,5,8,0,0,0,0
W85-1B04,69,239,17,5,102,20
C2-3-G05,11,9,1,2,7,0
W85-1C02,60,154,13,1,66,7
W85-2F03,2,15,0,0,4,0
01.y.01_Heavy,36,47,11,2,18,1
013_10_3F02,14,21,15,3,6,1
W85-2E09,24,61,7,2,26,3
C1-3A03,2,2,0,1,0,0
R95-1E01,5,0,1,1,0,0
051_09_4C02,46,20,3,1,1,3
C1-2-2D06,429,164,79,27,34,8
236-14-IgG_1F03,295,121,63,15,30,5
16.p.01_Heavy,149,24,56,14,9,2
K77-2G06,69,28,21,4,10,2
W85-3F09,18,18,10,2,3,1
W85-2D08,80,41,9,1,7,0
W85-2E02,8,3,5,0,0,0
W85-1F04,874,331,274,77,165,23
R95-2C10,12,9,0,1,0,0
W85-1C11,12,10,5,1,0,0
042-100809_3G04,136,44,40,6,8,2
W85-1A11,917,263,228,63,97,12
K77-2F01,25,11,4,3,4,0
039_10_5B02,6,12,1,1,2,0
W85-2B08,58,23,8,2,4,1
SFV015_1F04,178,46,62,17,21,3
220-14-IgG_1E01,223,42,57,13,26,4
AG2-G02,27,5,5,342,0,61
042-100809_3D03,3,2,0,0,0,0
K77-1D04,29,9,3,1,0,1
W85-1E04,39,9,4,0,1,0
16.ND.93_Heavy,19,13,7,3,8,0
W85-3G10,207,51,44,19,21,7
W85-2G05,1,1,0,0,0,0
024-10128_3F05,1177,143,203,69,35,11
01.i.01_Heavy,353,53,73,20,20,3
56.b.16_Heavy,137,20,36,441,8,53
K77-1E06,52,15,5,0,5,0
019-10117_3G01,225,36,51,15,11,2
009_10_2F01,9,2,0,259,4,27
01.f.01_Heavy,255,70,61,28,31,7
240-14-IgG_1A06,84,19,15,8,2,1
019-10117_3C04,38,7,4,1,0,0
051-10_2D06,40,19,3,2,1,2
R95-1C11,74,16,9,2,2,5
01.ac.01_Heavy,66,15,18,2,10,1
SFV018_4D01,38,11,10,2,3,1
024-10128_4B04,368,52,94,29,26,3
