,0,1,2
0,01.z.01_Heavy,Overlap1,17
13,01.z.01_Heavy,Overlap2,0
43,01.z.01_Heavy,Overlap3,14
59,014_10_3A02,Overlap1,15
67,014_10_3A02,Overlap2,0
80,014_10_3A02,Overlap3,18
92,037-102909_2G04,Overlap1,19
112,037-102909_2G04,Overlap2,6
116,037-102909_2G04,Overlap3,23
123,039_10_4B05,Overlap1,18
129,039_10_4B05,Overlap2,0
157,039_10_4B05,Overlap3,16
170,AG13-3E05,Overlap1,18
193,AG13-3E05,Overlap2,7
194,AG13-3E05,Overlap3,15
208,AG3-D06,Overlap1,15
217,AG3-D06,Overlap2,0
237,AG3-D06,Overlap3,12
242,AG4-C01,Overlap1,15
257,AG4-C01,Overlap2,0
287,AG4-C01,Overlap3,20
297,AG6-3E02,Overlap1,19
325,AG6-3E02,Overlap2,5
330,AG6-3E02,Overlap3,21
339,C1-2-2F04,Overlap1,22
371,C1-2-2F04,Overlap2,13
357,C1-2-2F04,Overlap3,13
374,C1-2-B02,Overlap1,16
409,C1-2-B02,Overlap2,0
405,C1-2-B02,Overlap3,17
418,C1-2B06,Overlap1,18
483,C1-2B06,Overlap2,3
490,C1-2B06,Overlap3,20
447,C1-3E03,Overlap1,19
458,C1-3E03,Overlap2,0
488,C1-3E03,Overlap3,17
501,C1-3E05,Overlap1,19
511,C1-3E05,Overlap2,11
593,C1-3E05,Overlap3,9
545,C7-3-C02,Overlap1,16
620,C7-3-C02,Overlap2,3
573,C7-3-C02,Overlap3,16
587,C8-B04,Overlap1,19
591,C8-B04,Overlap2,14
607,C8-B04,Overlap3,19
618,K77-1D03,Overlap1,15
653,K77-1D03,Overlap2,8
655,K77-1D03,Overlap3,14
671,K77-1D10,Overlap1,15
686,K77-1D10,Overlap2,11
705,K77-1D10,Overlap3,16
719,K77-2F06,Overlap1,21
722,K77-2F06,Overlap2,11
740,K77-2F06,Overlap3,23
747,K77-2H03,Overlap1,17
816,K77-2H03,Overlap2,9
768,K77-2H03,Overlap3,12
786,R95-1D02,Overlap1,19
882,R95-1D02,Overlap2,3
817,R95-1D02,Overlap3,15
832,R95-1F02,Overlap1,17
865,R95-1F02,Overlap2,8
939,R95-1F02,Overlap3,13
882,R95-1H10,Overlap1,18
965,R95-1H10,Overlap2,10
902,R95-1H10,Overlap3,20
912,W85-2C10,Overlap1,22
997,W85-2C10,Overlap2,1
946,W85-2C10,Overlap3,21
955,W85-2F12,Overlap1,15
962,W85-2F12,Overlap2,0
966,W85-2F12,Overlap3,16
980,W85-3C08,Overlap1,17
993,W85-3C08,Overlap2,14
1009,W85-3C08,Overlap3,19
