,0,1,2
0,039_10_5B02,Overlap1,18
7,039_10_5B02,Overlap2,0
62,039_10_5B02,Overlap3,9
55,042-100809_3D03,Overlap1,18
63,042-100809_3D03,Overlap2,0
101,042-100809_3D03,Overlap3,14
108,042-100809_3G04,Overlap1,14
149,042-100809_3G04,Overlap2,5
139,042-100809_3G04,Overlap3,12
157,051_09_4C02,Overlap1,14
188,051_09_4C02,Overlap2,1
217,051_09_4C02,Overlap3,14
212,16.ND.93_Heavy,Overlap1,18
245,16.ND.93_Heavy,Overlap2,0
224,16.ND.93_Heavy,Overlap3,12
242,16.p.01_Heavy,Overlap1,16
261,16.p.01_Heavy,Overlap2,0
297,16.p.01_Heavy,Overlap3,0
288,220-14-IgG_1E01,Overlap1,12
361,220-14-IgG_1E01,Overlap2,14
308,220-14-IgG_1E01,Overlap3,27
344,236-14-IgG_1F03,Overlap1,0
338,236-14-IgG_1F03,Overlap2,0
434,236-14-IgG_1F03,Overlap3,9
375,AG2-G02,Overlap1,17
414,AG2-G02,Overlap2,0
397,AG2-G02,Overlap3,20
407,C1-2-2D06,Overlap1,14
443,C1-2-2D06,Overlap2,3
450,C1-2-2D06,Overlap3,18
563,K77-1D04,Overlap1,14
538,K77-1D04,Overlap2,0
604,K77-1D04,Overlap3,0
634,K77-2F01,Overlap1,0
548,K77-2F01,Overlap2,6
708,K77-2F01,Overlap3,7
711,K77-2G06,Overlap1,0
638,K77-2G06,Overlap2,0
724,K77-2G06,Overlap3,13
761,R95-2C10,Overlap1,7
826,R95-2C10,Overlap2,8
632,R95-2C10,Overlap3,12
846,SFV015_1F04,Overlap1,18
657,SFV015_1F04,Overlap2,0
884,SFV015_1F04,Overlap3,0
767,W85-1A11,Overlap1,12
696,W85-1A11,Overlap2,17
922,W85-1A11,Overlap3,16
729,W85-1C11,Overlap1,9
957,W85-1C11,Overlap2,21
966,W85-1C11,Overlap3,29
967,W85-1E04,Overlap1,14
998,W85-1E04,Overlap2,6
1002,W85-1E04,Overlap3,0
1032,W85-1F04,Overlap1,11
871,W85-1F04,Overlap2,0
795,W85-1F04,Overlap3,12
932,W85-2B08,Overlap1,9
826,W85-2B08,Overlap2,2
1144,W85-2B08,Overlap3,1
1193,W85-2D08,Overlap1,9
871,W85-2D08,Overlap2,0
897,W85-2D08,Overlap3,17
930,W85-2E02,Overlap1,9
1039,W85-2E02,Overlap2,0
947,W85-2E02,Overlap3,14
1208,W85-2G05,Overlap1,0
984,W85-2G05,Overlap2,0
1340,W85-2G05,Overlap3,0
1024,W85-3F09,Overlap1,12
1388,W85-3F09,Overlap2,11
1311,W85-3F09,Overlap3,22
1174,W85-3G10,Overlap1,13
1429,W85-3G10,Overlap2,1
1071,W85-3G10,Overlap3,15
