ab	exp	time	status
16ND92	Control	8	1
16ND92	Control	8	1
16ND92	Control	8	1
16ND92	Control	8	1
16ND92	Control	9	1
16ND92	Protection	14	0
16ND92	Protection	14	0
16ND92	Protection	14	0
16ND92	Protection	14	0
16ND92	Protection	14	0
16ND92	Treatment	8	1
16ND92	Treatment	14	0
16ND92	Treatment	14	0
16ND92	Treatment	14	0
16ND92	Treatment	14	0
2F01	Control	8	1
2F01	Control	8	1
2F01	Control	8	1
2F01	Control	9	1
2F01	Control	10	1
2F01	Protection	14	0
2F01	Protection	14	0
2F01	Protection	14	0
2F01	Protection	14	0
2F01	Protection	14	0
2F01	Treatment	8	1
2F01	Treatment	8	1
2F01	Treatment	8	1
2F01	Treatment	8	1
2F01	Treatment	14	0
