mouse_id	ab	exp	dpi	weight_pct														
M1	2F01	Control	1	97.50795334														
M1	2F01	Control	2	98.46235419														
M1	2F01	Control	3	90.98621421														
M1	2F01	Control	4	80.54082715														
M1	2F01	Control	5	78.79109226														
M1	2F01	Control	6	75.55673383														
M1	2F01	Control	7	72.26935313														
M2	2F01	Control	1	99.08306365														
M2	2F01	Control	2	101.3484358														
M2	2F01	Control	3	92.93419633														
M2	2F01	Control	4	84.14239482														
M2	2F01	Control	5	79.66558792														
M2	2F01	Control	6	76.96871629														
M2	2F01	Control	7	73.08522114														
M3	2F01	Control	1	102.3822415														
M3	2F01	Control	2	101.6242555														
M3	2F01	Control	3	93.61126151														
M3	2F01	Control	4	86.03140227														
M3	2F01	Control	5	80.88792637														
M3	2F01	Control	6	77.1521386														
M3	2F01	Control	7	73.09149973														
M4	2F01	Control	1	100.9381898														
M4	2F01	Control	2	103.3112583														
M4	2F01	Control	3	96.30242826														
M4	2F01	Control	4	89.2384106														
M4	2F01	Control	5	83.94039735														
M4	2F01	Control	6	80.18763797														
M4	2F01	Control	7	76.26931567														
M4	2F01	Control	8	71.68874172														
M5	2F01	Control	1	98.16063765														
M5	2F01	Control	2	99.50950337														
M5	2F01	Control	3	98.52851012														
M5	2F01	Control	4	96.32127529														
M5	2F01	Control	5	94.35928878														
M5	2F01	Control	6	92.0294298														
M5	2F01	Control	7	89.14776211														
M5	2F01	Control	8	79.88963826														
M5	2F01	Control	9	74.18761496														
M6	2F01	Treatment	1	99.6646171														
M6	2F01	Treatment	2	100.5589715														
M6	2F01	Treatment	3	91.61542761														
M6	2F01	Treatment	4	83.95751817														
M6	2F01	Treatment	5	81.1626607														
M6	2F01	Treatment	6	76.80268306														
M6	2F01	Treatment	7	73.784237														
M7	2F01	Treatment	1	96.87163														
M7	2F01	Treatment	2	94.82201														
M7	2F01	Treatment	3	95.36138														
M7	2F01	Treatment	4	94.06688														
M7	2F01	Treatment	5	92.34088														
M7	2F01	Treatment	6	88.78101														
M7	2F01	Treatment	7	90.61489														
M7	2F01	Treatment	8	95.79288														
M7	2F01	Treatment	9	96.548														
