Antigen	Antibody	Competition_Index
SI06_H1	C2-3-G03	-0.288653100103609
SI06_H1	AG2-B02	-0.191490694127642
SI06_H1	034-100809-1F04	-0.207893326265702
SI06_H1	AG11-3F04	-0.663678516078334
SI06_H1	31.a.55	0.335421484665033
SI06_H1	041-102909-3G02	0.16450410119145
SI06_H1	045-09-1G05	-0.394254325614986
SI06_H1	009-10-1G06	-0.148680724456079
SI06_H1	C6-2-C01	-0.176389256813039
SI06_H1	220-14-IgG-1A03	-0.00124948675759846
SI06_H1	C1-2-C06	-0.134919937476924
SI06_H1	AG6-3E02	-0.264354397818027
SI06_H1	C6-2-2C06	-0.300137602524078
SI06_H1	051-09-5B06	0.112880000365191
SI06_H1	051-10-2B05	-0.603836968159464
SI06_H1	009-10-2F01	-0.528803988221211
SI06_H1	034-100809-1F06	-0.578042314295046
SI06_H1	051-10-2A05	0.709390539071601
SI06_H1	AG11-2F01	1.17758617499224
SI06_H1	028-10134-4D06	0.766524749371817
SI06_H1	C1-F02	0.770707991749525
SI06_H1	FISW-k.01	-0.89935124672354
SI06_H1	AG13-3B01	0.111797771361352
SI06_H1	K77-2D08	0.209037107501711
MI15_H1	051-09-5D01	-0.84154089790937
MI15_H1	008-10-5E02	-0.410159330911823
MI15_H1	029-09-3A02	-0.585366150829478
MI15_H1	SFV020-5C05	-0.218637676938144
MI15_H1	150055-023-2E04	-0.545807634270307
MI15_H1	014-10-3A02	-0.676725776258917
MI15_H1	31.a.55	1.7893909518851
MI15_H1	150055-029-2B03	-0.305337039564714
MI15_H1	017-10-5E01	0.155964985362116
MI15_H1	045-09-1G05	-0.417075027662965
MI15_H1	009-10-1G06	-0.415444696906621
MI15_H1	C7-3-C02	-0.598373821615417
MI15_H1	037-10-5E04	-0.237302040636308
MI15_H1	220-14-IgG-1A03	0.121230478560641
MI15_H1	236-14-IgG-1F03	-0.729171613297615
MI15_H1	01.d.04	1.06251644377294
MI15_H1	042-10-2D01	-0.589238972938418
MI15_H1	236-14-IgG-1A06	-0.469633230767343
MI15_H1	014-10-1B04	0.01490255472461
MI15_H1	009-10-2F01	-0.982663351155698
MI15_H1	013-10-3F02	-0.717793785761698
MI15_H1	028-10134-4D06	1.22867145285934
MI15_H1	FISW-k.01	-0.0871805857712878
MI15_H1	029-09-2A06	-0.221795872831735
MI15_H1	045-09-1A01	-0.556070760373378
MI15_H1	AG11-3C06	1.6552891120507
MI15_H1	2-12C	-0.565454906453584
QH_H5	AG13-3G01	-0.354581183987608
QH_H5	100F4	0.384101507487531
QH_H5	56.e.01	0.00913846929649246
QH_H5	C7-3-C02	-0.0857694570438429
QH_H5	3C11	0.217083813014648
QH_H5	01.z.01	0.234573842754078
SH_H7	K77-2E07	0.280748138651291
SH_H7	017-10-5E01	-0.26147348329287
SH_H7	045-09-1G05	-1.1119606415986
SH_H7	037-10-5E04	-0.723674329317035
SH_H7	01.z.01	-0.820096802398082
SH_H7	01.d.04	0.352903954560081
SH_H7	042-10-2D01	-1.23574599872508
SH_H7	W85-2E09	0.751449084153035
Phu_FluB	042-100809-3G04	0.664412727006689
Phu_FluB	R95-1D06	0.562900281469199
Phu_FluB	R95-2A07	1.05683419627749
Phu_FluB	019-10117-3C04	0.117539093553218
Phu_FluB	AG13-3G01	-0.429491243529114
Phu_FluB	011-10069-2G04	0.0342168995343469
Phu_FluB	C1-2D03	0.228349493267614
Phu_FluB	K77-2A04	0.838940521788203
Phu_FluB	AG2-B02	-0.161903650507979
Phu_FluB	AG11-2B01	-0.0607297177393626
Phu_FluB	R95-1C11	0.755300404049246
