name	Full_HA_input_Rep1_count	Full_HA_SI06_H1_Rep1_count	Full_HA_SP16_H3_Rep1_count	Full_HA_MI15_H1_Rep1_count	Full_HA_QH_H5_Rep1_count	Full_HA_SH_H7_Rep1_count	Full_HA_Phu_FluB_Rep1_count	Full_HA_Lee_FluB_Rep1_count	Full_HA_input_Rep2_count	Full_HA_SI06_H1_Rep2_count	Full_HA_SP16_H3_Rep2_count	Full_HA_MI15_H1_Rep2_count	Full_HA_QH_H5_Rep2_count	Full_HA_SH_H7_Rep2_count	Full_HA_Phu_FluB_Rep2_count	Full_HA_Lee_FluB_Rep2_count	4.12_Rep1_input_count	4.12_Rep2_input_count	4.12_Rep1_miniHA_count	4.12_Rep1_miniH3_count	4.12_Rep2_miniHA_count	4.12_Rep2_miniH3_count	CR9114_compitition_input_Rep1_count	CR9114_compitition_SI06_H1_Rep1_count	CR9114_compitition_MI15_H1_Rep1_count	CR9114_compitition_QH_H5_Rep1_count	CR9114_compitition_SH_H7_Rep1_count	CR9114_compitition_Phu_FluB_Rep1_count	CR9114_compitition_Lee_FluB_Rep1_count	CR9114_compitition_input_Rep2_count	CR9114_compitition_SI06_H1_Rep2_count	CR9114_compitition_MI15_H1_Rep2_count	CR9114_compitition_QH_H5_Rep2_count	CR9114_compitition_SH_H7_Rep2_count	CR9114_compitition_Phu_FluB_Rep2_count	CR9114_compitition_Lee_FluB_Rep2_count
W85-1F04	914	99	110	590	220	684	63	34	213	41	107	184	63	211	29	47	879	336	277	78	168	24	669	189	74	339	314	223	297	164	28	46	113	75	23	81
042-100809-3G04	220	7	10	133	485	76	2661	4001	46	19	45	20	131	25	506	879	136	45	41	6	9	2	130	35	13	93	67	251	103	31	0	12	24	17	87	19
C2-3-G03	203	1880	43	25	24	28	35	27	231	5105	59	79	68	53	68	6	103	278	14	27	72	42	220	7456	16	188	106	128	87	473	11815	241	223	316	324	220
R95-1D06	79	2	3	16	13	14	74	35	172	24	83	99	31	115	447	122	25	194	7	1	78	4	74	6	6	17	19	45	40	421	75	24	99	115	99	209
SFV019-4E01	1020	126	273	615	247	667	65	40	226	58	190	168	66	143	16	17	1103	297	251	83	141	22	669	92	77	219	225	104	194	186	36	23	93	51	6	83
051-09-5D01	204	50	21	91	45	42	5	52	906	141	53	493	164	326	53	16	144	1690	29	13	345	61	247	160	1660	134	81	32	62	2163	749	11986	966	729	135	776
024-10128-3E01	322	23	3	89	33	77	16	10	818	74	264	278	113	287	35	14	190	873	51	14	195	41	263	33	31	84	84	39	106	702	138	37	274	209	57	298
R95-2A07	47	0	0	6	5	7	49	75	2	0	0	3	5	1	6	21	12	3	4	1	0	0	60	7	0	14	30	6	44	6	0	1	1	0	0	11
K77-1F06	114	1	2	40	15	45	0	257	34	5	28	23	9	14	0	130	119	85	27	9	35	2	57	7	3	21	31	7	220	45	10	16	21	24	6	171
K77-1F11	920	75	238	473	208	671	77	54	161	49	177	183	48	201	27	22	1230	329	329	110	150	28	561	143	36	254	345	201	235	143	35	48	70	106	11	83
019-10117-3C04	90	0	0	10	29	11	86	19	8	0	1	3	0	0	9	7	39	7	4	1	0	0	113	1	1	28	33	67	51	13	0	0	7	8	11	5
AG13-3G01	2157	154	188	947	39378	572	39547	635	3094	370	739	771	56228	1778	59296	1866	1701	2291	288	71	552	57	915	488	975	43460	1908	45194	546	1120	206	506	35025	1825	51152	1514
01.i.01	400	31	155	203	48	212	20	5	36	5	58	19	3	27	6	1	360	53	74	20	20	5	315	56	18	115	170	87	147	42	10	3	17	21	1	28
W85-3B09	833	73	70	152	86	221	19	21	1546	113	567	547	223	621	90	41	608	1941	119	40	782	147	1299	131	187	368	448	183	449	4126	656	217	1365	1468	273	1588
008-10-5E02	179	46	38	90	33	35	5	4	98	29	61	64	17	27	3	0	71	111	38	74	51	56	301	292	988	163	68	29	115	278	242	568	141	79	30	154
029-09-3A02	275	6	11	173	38	55	4	7	164	24	65	173	35	72	6	19	160	223	33	14	136	17	305	48	2188	83	106	46	85	326	99	1355	117	91	13	125
014-10-1G06	89	21	1	88	19	94	10	14	13	0	20	19	15	19	3	0	107	37	19	14	18	3	58	20	3	30	24	23	22	11	2	1	6	1	6	11
AG11-2A01	416	20	30	51	16	44	136	7	68	0	0	26	3	17	31	1	72	23	5	1	2	3	479	14	29	54	152	143	153	175	30	19	36	50	48	105
150055-015-1D02	153	7	43	54	14	43	18	4106	168	11	135	137	188	81	22	7904	200	385	47	5	100	19	121	84	25	27	115	48	2627	224	71	54	80	89	71	3907
011-10069-2G04	39	10	1	28	226	15	402	399	9	0	23	1	33	5	72	86	32	4	5	1	7	1	22	4	2	61	5	240	8	6	0	5	10	5	37	6
SFV020-5C05	455	41	105	180	40	147	15	22	366	17	56	195	51	128	13	24	429	502	121	44	253	57	799	119	1114	259	363	193	278	1001	252	1305	389	295	94	331
C1-2D03	238	5	26	94	355	71	1894	2471	30	15	12	11	52	5	215	362	142	44	44	13	20	5	546	70	20	497	185	2003	297	95	14	6	75	31	450	103
R95-2G09	235	19	65	85	36	80	6	332	366	39	182	224	101	242	18	1025	97	307	25	4	139	17	105	17	9	31	16	16	141	161	50	18	99	79	27	234
K77-2A04	145	1	26	113	542	58	1988	1691	317	77	405	200	2084	288	6915	10842	76	353	19	3	84	21	48	22	10	96	33	138	30	167	12	30	171	68	309	70
36.d.02	499	62	125	183	59	285	40	4	87	8	3	68	43	74	4	2	428	138	97	47	59	12	575	40	34	157	207	149	172	162	16	8	72	70	11	78
W85-1D12	257	3	1	43	8	27	0	65	185	9	60	40	6	31	1	81	74	135	24	7	42	9	328	15	8	45	95	20	180	580	66	22	102	137	15	338
024-10128-3E06	195	45	70	125	48	135	8	21	800	103	813	688	230	726	107	63	172	965	55	14	436	69	208	30	31	85	98	69	63	908	184	109	557	348	159	416
AG2-B02	1312	37625	177	408	886	580	1625	235	1742	50172	444	630	1359	691	3001	146	898	1388	165	152	330	160	725	38659	155	1042	314	1566	301	1028	39910	1126	996	1273	1845	501
