name	Full_HA_SI06_H1_Rep1_enrich	Full_HA_SI06_H1_Rep2_enrich	Full_HA_MI15_H1_Rep1_enrich	Full_HA_MI15_H1_Rep2_enrich	Full_HA_SP16_H3_Rep1_enrich	Full_HA_SP16_H3_Rep2_enrich	Full_HA_QH_H5_Rep1_enrich	Full_HA_QH_H5_Rep2_enrich	Full_HA_SH_H7_Rep1_enrich	Full_HA_SH_H7_Rep2_enrich	Full_HA_Phu_FluB_Rep1_enrich	Full_HA_Phu_FluB_Rep2_enrich	Full_HA_Lee_FluB_Rep1_enrich	Full_HA_Lee_FluB_Rep2_enrich	Full_HA_SI06_H1_avg_enrich	Full_HA_MI15_H1_avg_enrich	Full_HA_SP16_H3_avg_enrich	Full_HA_QH_H5_avg_enrich	Full_HA_SH_H7_avg_enrich	Full_HA_Phu_FluB_avg_enrich	Full_HA_Lee_FluB_avg_enrich	Full_HA_H1_stem_Rep1_enrich	Full_HA_H1_stem_Rep2_enrich	Full_HA_H3_stem_Rep1_enrich	Full_HA_H3_stem_Rep2_enrich	Full_HA_H1_stem_avg_enrich	Full_HA_H3_stem_avg_enrich	CR9114_compitition_SI06_H1_Rep1_enrich	CR9114_compitition_SI06_H1_Rep2_enrich	CR9114_compitition_MI15_H1_Rep1_enrich	CR9114_compitition_MI15_H1_Rep2_enrich	CR9114_compitition_QH_H5_Rep1_enrich	CR9114_compitition_QH_H5_Rep2_enrich	CR9114_compitition_SH_H7_Rep1_enrich	CR9114_compitition_SH_H7_Rep2_enrich	CR9114_compitition_Phu_FluB_Rep1_enrich	CR9114_compitition_Phu_FluB_Rep2_enrich	CR9114_compitition_Lee_FluB_Rep1_enrich	CR9114_compitition_Lee_FluB_Rep2_enrich	CR9114_compitition_SI06_H1_avg_enrich	CR9114_compitition_MI15_H1_avg_enrich	CR9114_compitition_QH_H5_avg_enrich	CR9114_compitition_SH_H7_avg_enrich	CR9114_compitition_Phu_FluB_avg_enrich	CR9114_compitition_Lee_FluB_avg_enrich
W85-1F04	0.119388032	0.158008486	1.160170472	1.08106482	0.118006726	0.374108138	0.310229217	0.237339305	1.705896129	1.564847734	0.072426795	0.098519432	0.049305861	0.200666692	0.138698259	1.120617646	0.246057432	0.273784261	1.635371932	0.085473113	0.124986276	0.430615234	0.934038533	0.084806874	0.098050159	0.682326884	0.091428517	0.232639873	0.185715432	0.089196766	0.256536794	0.532211526	0.793562316	0.894933229	1.120206871	0.290777214	0.141212903	0.741251066	0.779162325	0.209177652	0.17286678	0.662886921	1.00757005	0.215995058	0.760206696
042-100809-3G04	0.039543909	0.342591855	1.089100471	0.558747015	0.048417826	0.725516254	2.82459062	2.228843316	0.793928803	0.873827057	12.47257611	7.580965484	23.34191102	16.75068767	0.191067882	0.823923743	0.38696704	2.526716968	0.83387793	10.0267708	20.04629935	0.417884237	0.40490222	0.048268534	0.086198879	0.411393229	0.067233706	0.225442898	0.033020524	0.085156811	0.365871957	0.752552355	0.89732581	0.988080889	1.368015792	1.673078816	2.669806452	1.323079417	0.979891644	0.129231711	0.225514384	0.824939082	1.178048341	2.171442634	1.15148553
C2-3-G03	10.07257511	17.71893932	0.228927835	0.431216909	0.20981058	0.191712504	0.157406027	0.236028568	0.323929825	0.367667949	0.182731205	0.209014071	0.176921031	0.026993418	13.89575721	0.330072372	0.200761542	0.196717298	0.345798887	0.195872638	0.101957225	0.196600757	0.487333926	0.254338045	0.203705356	0.341967342	0.2290217	27.68070981	26.34062528	0.061294188	0.459804031	0.896911705	0.54278746	0.921608319	1.626482911	0.507673614	0.665659453	0.663612057	0.730990897	27.01066755	0.260549109	0.719849583	1.274045615	0.586666533	0.697301477
R95-1D06	0.040965018	0.11634261	0.381693141	0.722849153	0.048637907	0.359931914	0.224775807	0.146793674	0.42725227	1.059160763	0.970759528	1.819894987	0.580048239	0.636072816	0.078653814	0.552271147	0.204284911	0.185784741	0.743206516	1.395327257	0.608060527	0.419414949	0.754571624	0.072668013	0.033890158	0.586993286	0.053279085	0.076567088	0.190298375	0.074370282	0.053353548	0.251704745	0.272174653	0.507602339	0.668519566	0.533437722	0.230056566	0.911058916	0.780198086	0.133432732	0.063861915	0.261939699	0.588060952	0.381747144	0.845628501
SFV019-4E01	0.135881354	0.20925269	1.083703288	0.931010603	0.261053606	0.623727199	0.311987688	0.234235336	1.490849578	1.002043632	0.066935819	0.052630498	0.051761841	0.070940538	0.172567022	1.007356946	0.442390403	0.273111512	1.246446605	0.059783158	0.061351189	0.311142068	0.887523926	0.071878143	0.102011649	0.599332997	0.086944896	0.113871096	0.209071125	0.092764637	0.11558604	0.344372164	0.57735958	0.642079078	0.676285882	0.136301819	0.036341556	0.485046838	0.704264369	0.16147111	0.104175338	0.460865872	0.65918248	0.086321687	0.594655604
051-09-5D01	0.271767927	0.126045096	0.806100865	0.681104017	0.104393557	0.044134036	0.288214275	0.144371053	0.477966767	0.569495718	0.030306639	0.041840888	0.333252647	0.016768316	0.198906511	0.743602441	0.074263796	0.216292664	0.523731243	0.036073763	0.175010482	0.282020397	0.381101344	0.091210885	0.04846032	0.33156087	0.069835602	0.532573494	0.366216533	5.336795986	4.988718501	0.5709029	0.513250459	0.629385965	0.820416125	0.115730922	0.061013893	0.423362842	0.562939599	0.449395014	5.162757243	0.54207668	0.724901045	0.088372408	0.493151221
024-10128-3E01	0.081169077	0.073726269	0.500490004	0.426004396	0.01204654	0.239855204	0.135203493	0.110464928	0.550269177	0.55546741	0.05449878	0.030891075	0.0438977	0.01638533	0.077447673	0.4632472	0.125950872	0.122834211	0.552868294	0.042694928	0.030141515	0.371105373	0.417688606	0.074189856	0.063514963	0.39439699	0.06885241	0.105652638	0.208926445	0.096584781	0.048681508	0.337672086	0.449301117	0.612872142	0.726494873	0.131778093	0.080097646	0.675466353	0.666828112	0.157289541	0.072633145	0.393486601	0.669683508	0.10593787	0.671147232
R95-2A07	0.022758344	0.268363619	0.261946273	1.667372046	0.020265795	0.247096116	0.160554148	1.587206604	0.379779795	1.053073632	1.078621697	1.639801213	2.04091047	6.560686006	0.145560981	0.96465916	0.133680955	0.873880376	0.716426714	1.359211455	4.300798238	0.524268686	0.465637553	0.145336026	0.330429036	0.494953119	0.237882531	0.107588414	0.150950967	0.013062696	0.257316541	0.257894206	0.328164868	0.967356917	0.347432582	0.099805703	0.138691244	1.229437762	2.687702795	0.12926969	0.135189619	0.293029537	0.65739475	0.119248474	1.958570278
K77-1F06	0.018998269	0.138015576	0.640385423	0.857505624	0.025376299	0.614210345	0.178703747	0.226743801	0.911471509	0.676975906	0.009004146	0.020079199	2.891834697	3.348505975	0.078506923	0.748945523	0.319793322	0.202723774	0.794223707	0.014541672	3.120170336	0.318056336	0.779672181	0.07872368	0.046106377	0.548864259	0.062415029	0.113153332	0.252678793	0.05495341	0.332833352	0.397809224	0.549319452	1.050211736	1.321754389	0.119963506	0.147736325	6.350210907	5.862308271	0.182916062	0.193893381	0.473564338	1.185983063	0.133849916	6.106259589
K77-1F11	0.090143797	0.248484833	0.924430216	1.420353965	0.252431266	0.814502011	0.291472894	0.240040505	1.662619038	1.96963772	0.087695106	0.121466756	0.076975879	0.127016648	0.169314315	1.172392091	0.533466639	0.265756699	1.816128379	0.104580931	0.101996264	0.365412293	0.852257824	0.085182731	0.116150813	0.608835058	0.100666772	0.210199428	0.264164192	0.052459972	0.306456853	0.475865288	0.566312289	1.171911094	1.807131973	0.312609527	0.080903226	0.699841282	0.914565534	0.23718181	0.179458413	0.521088788	1.489521534	0.196756376	0.807203408
019-10117-3C04	0.012004401	0.08945454	0.217123441	0.555790682	0.01068965	0.164730744	0.423439511	0.088178145	0.300485113	0.175512272	0.989961364	0.78085772	0.283295843	0.795234667	0.05072947	0.386457062	0.087710197	0.255808828	0.237998692	0.885409542	0.539265255	0.170387323	0.232818776	0.047234208	0.165214518	0.20160305	0.106224363	0.01439231	0.075475484	0.013979376	0.064329135	0.26679231	0.656329735	0.567713143	1.56344662	0.518789546	0.832147465	0.760190367	0.671925699	0.044933897	0.039154256	0.461561023	1.065579881	0.675468506	0.716058033
AG13-3G01	0.0784625	0.096506852	0.789064161	0.311925174	0.085195222	0.177238571	23.43822721	14.41793863	0.605043066	0.907957023	18.97638445	13.46438391	0.379889486	0.539673995	0.087484676	0.550494667	0.131216896	18.92808292	0.756500045	16.22038418	0.45978174	0.23145446	0.449384933	0.039963137	0.033446569	0.340419696	0.036704853	0.437944159	0.195118601	0.849018187	0.407322215	49.76046183	35.88765323	3.967028652	3.961537257	42.91232765	44.30090323	0.995212271	2.118873635	0.31653138	0.628170201	42.82405753	3.964282955	43.60661544	1.557042953
01.i.01	0.087174104	0.130555274	0.91377909	0.67596164	0.378429602	1.182054391	0.156950688	0.085794952	1.210370519	1.19538088	0.054226966	0.132956855	0.019286724	0.048358865	0.108864689	0.794870365	0.780241997	0.12137282	1.2028757	0.093591911	0.033822795	0.283192226	0.724325082	0.054953927	0.146857349	0.503758654	0.100905638	0.147976628	0.270307546	0.047910331	0.083777479	0.384991435	0.48079969	1.030063291	1.244293434	0.242204799	0.045155289	0.780546	1.057371449	0.209142087	0.065843905	0.432895562	1.137178363	0.143680044	0.918958724
W85-3B09	0.096927621	0.059327962	0.329519258	0.442979904	0.082812744	0.272173097	0.133987634	0.114910885	0.606554781	0.635111635	0.024831579	0.041339526	0.034002295	0.024288842	0.078127792	0.386249581	0.17749292	0.12444926	0.620833208	0.033085553	0.029145568	0.268590854	0.750966434	0.063599427	0.10072811	0.509778644	0.082163768	0.08329826	0.168215047	0.115233074	0.047572697	0.297689266	0.380168702	0.657442645	0.865677064	0.123101013	0.064455974	0.576890027	0.603653142	0.125756654	0.081402885	0.338928984	0.761559854	0.093778494	0.590271584
008-10-5E02	0.285237906	0.243966927	0.908080413	0.821054417	0.210764265	0.464241187	0.242615157	0.144291509	0.455735754	0.446758511	0.034515894	0.028394826	0.035805447	0.009036758	0.264602416	0.864567415	0.337502726	0.193453333	0.451247132	0.03145536	0.022421102	0.738345066	0.864755455	0.984046006	0.672659109	0.801550261	0.828352558	0.795913792	0.92031396	2.609468135	1.836723628	0.569530604	0.584580427	0.434907633	0.697355721	0.086397558	0.107870968	0.640139927	0.871014795	0.858113876	2.223095882	0.577055516	0.566131677	0.097134263	0.755577361
029-09-3A02	0.02770581	0.121983463	1.132388858	1.318739709	0.042293832	0.296515339	0.181495993	0.173149811	0.46234062	0.698857956	0.018758638	0.029814568	0.037362205	0.108441091	0.074844636	1.225564283	0.169404586	0.177322902	0.580599288	0.024286603	0.072901648	0.287859328	1.139149013	0.088014053	0.106209333	0.713504171	0.097111693	0.131365102	0.323136627	5.700159189	3.734630904	0.287897584	0.414471224	0.665606008	0.684240315	0.133586812	0.04156496	0.468382752	0.604116683	0.227250864	4.717395046	0.351184404	0.674923162	0.087575886	0.536249718
