sample_ID	sample_name
1	CR9114_compitition_input_Rep1
2	CR9114_compitition_SI06_H1_Rep1
3	CR9114_compitition_MI15_H1_Rep1
4	CR9114_compitition_QH_H5_Rep1
5	CR9114_compitition_SH_H7_Rep1
6	CR9114_compitition_Phu_FluB_Rep1
7	CR9114_compitition_Lee_FluB_Rep1
8	CR9114_compitition_input_Rep2
9	CR9114_compitition_SI06_H1_Rep2
10	CR9114_compitition_MI15_H1_Rep2
11	CR9114_compitition_QH_H5_Rep2
12	CR9114_compitition_SH_H7_Rep2
13	CR9114_compitition_Phu_FluB_Rep2
14	CR9114_compitition_Lee_FluB_Rep2
15	Full_HA_input_Rep1
16	Full_HA_SI06_H1_Rep1
17	Full_HA_SP16_H3_Rep1
18	Full_HA_MI15_H1_Rep1
19	Full_HA_QH_H5_Rep1
20	Full_HA_SH_H7_Rep1
21	Full_HA_Phu_FluB_Rep1
22	Full_HA_Lee_FluB_Rep1
23	Full_HA_input_Rep2
24	Full_HA_SI06_H1_Rep2
25	Full_HA_SP16_H3_Rep2
26	Full_HA_MI15_H1_Rep2
27	Full_HA_QH_H5_Rep2
28	Full_HA_SH_H7_Rep2
29	Full_HA_Phu_FluB_Rep2
30	Full_HA_Lee_FluB_Rep2
31	Assembly_25_Rep1
32	Assembly_50_Rep1
33	Assembly_75_Rep1
34	Assembly_100_Rep1
35	Assembly_125_Rep1
36	Assembly_150_Rep1
37	Assembly_25_Rep2
38	Assembly_50_Rep2
39	Assembly_75_Rep2
40	Assembly_100_Rep2
41	Assembly_125_Rep2
42	Assembly_150_Rep2
43	Assembly_150_Rep3
44	Assembly_150_Rep4
45	Assembly_200_Rep1
46	Assembly_200_Rep2
47	Stem_input_Rep1
48	Stem_input_Rep2
49	Stem_H1_stem_Rep1
50	Stem_H1_stem_Rep2
51	Stem_H3_stem_Rep1
52	Stem_H3_stem_Rep2
