,0,1,2
0,039_10_5C05,Overlap1,19
1,039_10_5C05,Overlap2,11
16,039_10_5C05,Overlap3,9
18,041-102909_3G02,Overlap1,19
17,041-102909_3G02,Overlap2,26
21,041-102909_3G02,Overlap3,17
36,051_10_2A05,Overlap1,0
34,051_10_2A05,Overlap2,0
59,051_10_2A05,Overlap3,11
78,150055-023_2E04,Overlap1,14
94,150055-023_2E04,Overlap2,0
116,150055-023_2E04,Overlap3,15
131,16.ND.93_Heavy,Overlap1,17
165,16.ND.93_Heavy,Overlap2,5
160,16.ND.93_Heavy,Overlap3,13
177,AG11-2C03,Overlap1,19
208,AG11-2C03,Overlap2,6
212,AG11-2C03,Overlap3,26
216,AG13-3G01,Overlap1,18
231,AG13-3G01,Overlap2,0
229,AG13-3G01,Overlap3,26
233,AG4-C01,Overlap1,19
239,AG4-C01,Overlap2,18
251,AG4-C01,Overlap3,19
262,C1-2-B02,Overlap1,16
293,C1-2-B02,Overlap2,0
291,C1-2-B02,Overlap3,19
302,C1-2B06,Overlap1,18
314,C1-2B06,Overlap2,0
344,C1-2B06,Overlap3,21
353,C8-B04,Overlap1,24
359,C8-B04,Overlap2,0
389,C8-B04,Overlap3,18
430,K77-2A09,Overlap1,23
401,K77-2A09,Overlap2,14
415,K77-2A09,Overlap3,15
466,K77-2B03,Overlap1,23
430,K77-2B03,Overlap2,14
443,K77-2B03,Overlap3,12
461,K77-2B11,Overlap1,21
463,K77-2B11,Overlap2,15
477,K77-2B11,Overlap3,18
552,K77-2C09,Overlap1,9
507,K77-2C09,Overlap2,0
527,K77-2C09,Overlap3,13
538,K77-2F07,Overlap1,19
547,K77-2F07,Overlap2,0
566,K77-2F07,Overlap3,1
595,R95-1D11,Overlap1,18
603,R95-1D11,Overlap2,0
633,R95-1D11,Overlap3,0
663,R95-1G07,Overlap1,28
665,R95-1G07,Overlap2,23
666,R95-1G07,Overlap3,13
678,R95-2A04,Overlap1,12
696,R95-2A04,Overlap2,0
726,R95-2A04,Overlap3,18
751,R95-2A08,Overlap1,6
837,R95-2A08,Overlap2,6
841,R95-2A08,Overlap3,14
790,R95-2B05,Overlap1,29
791,R95-2B05,Overlap2,20
801,R95-2B05,Overlap3,16
823,W85-1B04,Overlap1,12
832,W85-1B04,Overlap2,0
914,W85-1B04,Overlap3,14
861,W85-1G05,Overlap1,24
867,W85-1G05,Overlap2,0
887,W85-1G05,Overlap3,18
899,W85-2A10,Overlap1,16
908,W85-2A10,Overlap2,0
926,W85-2A10,Overlap3,16
940,W85-3B07,Overlap1,21
966,W85-3B07,Overlap2,7
969,W85-3B07,Overlap3,15
