,0,1,2
0,009_10_2F01,Overlap1,16
13,009_10_2F01,Overlap2,0
44,009_10_2F01,Overlap3,15
59,01.ac.01_Heavy,Overlap1,11
64,01.ac.01_Heavy,Overlap2,0
128,01.ac.01_Heavy,Overlap3,8
130,01.f.01_Heavy,Overlap1,16
106,01.f.01_Heavy,Overlap2,0
174,01.f.01_Heavy,Overlap3,10
194,01.i.01_Heavy,Overlap1,14
210,01.i.01_Heavy,Overlap2,10
230,01.i.01_Heavy,Overlap3,10
250,01.l.01_Heavy,Overlap1,14
283,01.l.01_Heavy,Overlap2,3
290,01.l.01_Heavy,Overlap3,10
310,01.q.01_Heavy,Overlap1,15
247,01.q.01_Heavy,Overlap2,0
302,01.q.01_Heavy,Overlap3,0
385,013_10_4A03,Overlap1,0
350,013_10_4A03,Overlap2,0
380,013_10_4A03,Overlap3,0
450,014_10_1B04,Overlap1,0
406,014_10_1B04,Overlap2,0
510,014_10_1B04,Overlap3,10
530,017-10116_3D04,Overlap1,0
364,017-10116_3D04,Overlap2,0
492,017-10116_3D04,Overlap3,0
620,019-10117_3C04,Overlap1,13
392,019-10117_3C04,Overlap2,0
667,019-10117_3C04,Overlap3,11
686,019-10117_3G01,Overlap1,11
604,019-10117_3G01,Overlap2,0
735,019-10117_3G01,Overlap3,13
752,024-10128_3F05,Overlap1,14
768,024-10128_3F05,Overlap2,13
785,024-10128_3F05,Overlap3,16
799,024-10128_4B04,Overlap1,0
849,024-10128_4B04,Overlap2,6
620,024-10128_4B04,Overlap3,0
761,051-10_2D06,Overlap1,0
933,051-10_2D06,Overlap2,4
939,051-10_2D06,Overlap3,0
951,240-14-IgG_1A06,Overlap1,0
981,240-14-IgG_1A06,Overlap2,0
1031,240-14-IgG_1A06,Overlap3,8
1053,56.b.16_Heavy,Overlap1,8
678,56.b.16_Heavy,Overlap2,0
1102,56.b.16_Heavy,Overlap3,8
1104,FISW-k.01,Overlap1,11
727,FISW-k.01,Overlap2,0
1153,FISW-k.01,Overlap3,0
1203,H1N1_300-16-IgG-2E02_,Overlap1,8
1033,H1N1_300-16-IgG-2E02_,Overlap2,0
1235,H1N1_300-16-IgG-2E02_,Overlap3,13
1079,K77-1E06,Overlap1,0
1302,K77-1E06,Overlap2,4
1308,K77-1E06,Overlap3,15
1323,K77-2F07,Overlap1,15
993,K77-2F07,Overlap2,0
1189,K77-2F07,Overlap3,0
1092,R95-1A10,Overlap1,0
949,R95-1A10,Overlap2,0
1147,R95-1A10,Overlap3,0
1482,R95-1C11,Overlap1,13
994,R95-1C11,Overlap2,0
1529,R95-1C11,Overlap3,10
1569,S5V2-52_Ig,Overlap1,8
1571,S5V2-52_Ig,Overlap2,0
1601,S5V2-52_Ig,Overlap3,19
1612,S8V1-146_Ig,Overlap1,0
1152,S8V1-146_Ig,Overlap2,0
1305,S8V1-146_Ig,Overlap3,0
1335,SFV018_4D01,Overlap1,0
1730,SFV018_4D01,Overlap2,0
1760,SFV018_4D01,Overlap3,19
